pmid,pmcid,title,journal,insert_time,label,caption,graphic
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 1,Asymptomatic skin colored papules and nodules on scrotum in Case 1,JCAS-03-25-g001
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 2,Mini-incisions are given on the cysts with the RF probe,JCAS-03-25-g002
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 3,Cyst contents are squeezed out,JCAS-03-25-g003
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 4,Extraction of the cyst by grasping the wall with forceps,JCAS-03-25-g004
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 5,Extracted cysts placed on the gauze-piece,JCAS-03-25-g005
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 6,Case 2: Before procedure,JCAS-03-25-g006
20606990,PMC2890132,A modified surgical technique for steatocystoma multiplex.,J Cutan Aesthet Surg,2024-02-14-09-13-26,Figure 7,Case 2: After procedure,JCAS-03-25-g007
20689635,PMC2914372,A Case of Multiple Pilosebaceous Cysts.,Case Rep Dermatol,2024-02-14-09-13-26,Fig. 1,"Clinical appearance of the neck (a), chest and upper abdomen (b).",cde0002-0116-f01
20689635,PMC2914372,A Case of Multiple Pilosebaceous Cysts.,Case Rep Dermatol,2024-02-14-09-13-26,Fig. 2,"Hematoxylin and eosin staining showed (a) a smaller cyst peripherally from the spindle biopsy specimen and (b) a larger cyst centrally. Both cysts were present in the mid-dermis. a The wall of the smaller cyst was composed of three to five layers of squamous epithelium. The smaller cyst contained many vellus hairs. b The larger cyst had a wall of two to three layers of squamous epithelium, and contained several vellus hairs (original magnification ×40).",cde0002-0116-f02
21063535,PMC2965929,Er: yag laser therapy for steatocystoma multiplex.,Indian J Dermatol,2024-02-14-09-13-26,Figure 1,"Multiple flesh-coloured to yellow papules, varying in size between 2 and 4 mm on forehead",IJD-55-300-g001
21063535,PMC2965929,Er: yag laser therapy for steatocystoma multiplex.,Indian J Dermatol,2024-02-14-09-13-26,Figure 2,Oily and creamy material drained from Er: Yag laser created punctum,IJD-55-300-g002
22148065,PMC3229080,Steatocystoma multiplex confined to the scalp with concurrent alopecia.,Ann Dermatol,2024-02-14-09-13-26,Fig. 1,A 50-year-old man presented with asymptomatic multiple cystic nodules (ranging in size from 2 mm to 4 cm) and alopecic patches on his scalp.,ad-23-S258-g001
