pmcid,figure_name,width,height
PMC2847136,JIAPS-14-113-g001.jpg,558,419
PMC2847136,JIAPS-14-113-g002.jpg,620,295
PMC2593632,nihms-69200-f0002.jpg,749,936
PMC2593632,nihms-69200-f0004.jpg,748,988
PMC2593632,nihms-69200-f0001.jpg,750,937
PMC2593632,nihms-69200-f0005.jpg,679,942
PMC2593632,nihms-69200-f0003.jpg,739,874
PMC3259074,1756-8722-4-54-5.jpg,600,750
PMC3259074,1756-8722-4-54-2.jpg,600,801
PMC3259074,1756-8722-4-54-1.jpg,600,798
PMC3259074,1756-8722-4-54-3.jpg,600,800
PMC3259074,1756-8722-4-54-4.jpg,600,799
PMC3189131,2045-824X-3-19-1.jpg,600,880
PMC3189131,2045-824X-3-19-6.jpg,600,260
PMC3189131,2045-824X-3-19-5.jpg,600,258
PMC3189131,2045-824X-3-19-4.jpg,600,336
PMC3189131,2045-824X-3-19-8.jpg,600,231
PMC3189131,2045-824X-3-19-7.jpg,600,258
PMC3189131,2045-824X-3-19-3.jpg,600,702
PMC3189131,2045-824X-3-19-2.jpg,250,410
PMC3249815,MEAJO-18-298-g006.jpg,682,520
PMC3249815,MEAJO-18-298-g002.jpg,616,501
PMC3249815,MEAJO-18-298-g001.jpg,560,702
PMC3249815,MEAJO-18-298-g005.jpg,683,520
PMC3249815,MEAJO-18-298-g003.jpg,684,520
PMC3249815,MEAJO-18-298-g004.jpg,683,520
PMC3249815,MEAJO-18-298-g007.jpg,711,585
PMC3213330,nihms320011f1.jpg,1047,1050
PMC3213330,nihms320011ig1.jpg,11,12
PMC3213330,nihms320011f2.jpg,1045,1050
PMC3213330,nihms320011f5.jpg,766,1050
PMC3213330,nihms320011ig2.jpg,13,12
PMC3213330,nihms320011f6.jpg,1050,889
PMC3213330,nihms320011f3.jpg,584,1050
PMC3213330,nihms320011f4.jpg,1050,942
PMC3388230,cddis201258f2.jpg,746,571
PMC3388230,cddis201258f7.jpg,729,448
PMC3388230,cddis201258f6.jpg,746,772
PMC3388230,cddis201258f1.jpg,750,689
PMC3388230,cddis201258f5.jpg,752,514
PMC3388230,cddis201258f3.jpg,761,939
PMC3388230,cddis201258f4.jpg,746,780
PMC3388230,cddis201258f8.jpg,747,491
PMC3513911,ott-5-391f1.jpg,753,572
PMC3501380,ETM-04-04-0594-g00.jpg,680,443
PMC3501380,ETM-04-04-0594-g01.jpg,708,572
PMC3501380,ETM-04-04-0594-g03.jpg,708,684
PMC3501380,ETM-04-04-0594-g04.jpg,688,1123
PMC3501380,ETM-04-04-0594-g02.jpg,708,410
PMC3657346,383_2013_3283_Fig3_HTML.jpg,767,207
PMC3657346,383_2013_3283_Fig1_HTML.jpg,767,587
PMC3657346,383_2013_3283_Fig2_HTML.jpg,767,576
PMC3657346,383_2013_3283_Fig4_HTML.jpg,708,475
PMC3573992,1747-1028-8-1-7.jpg,600,605
PMC3573992,1747-1028-8-1-4.jpg,600,214
PMC3573992,1747-1028-8-1-1.jpg,600,320
PMC3573992,1747-1028-8-1-5.jpg,600,374
PMC3573992,1747-1028-8-1-2.jpg,600,419
PMC3573992,1747-1028-8-1-6.jpg,600,387
PMC3573992,1747-1028-8-1-3.jpg,600,760
PMC3655845,2045-824X-5-6-1.jpg,600,817
PMC3655845,2045-824X-5-6-2.jpg,600,948
PMC3570459,pone.0056211.g003.jpg,670,451
PMC3570459,pone.0056211.g005.jpg,754,490
PMC3570459,pone.0056211.g001.jpg,672,669
PMC3570459,pone.0056211.g006.jpg,671,394
PMC3570459,pone.0056211.g002.jpg,753,347
PMC3570459,pone.0056211.g004.jpg,689,260
PMC3786814,ETM-06-02-0574-g03.jpg,688,418
