pmid,pmcid,title,journal,insert_time,has_targz
21063529,PMC2965923,Subcutaneous panniculitis-like T-cell lymphoma.,Indian J Dermatol,2023-12-17-22-07-51,True
21461360,PMC3065054,An illustrative case of subcutaneous panniculitis-like T-cell lymphoma.,J Skin Cancer,2023-12-17-22-07-51,True
21909203,PMC3162262,Subcutaneous panniculitis-like T-cell lymphoma: a clinical and pathologic study of 14 korean patients.,Ann Dermatol,2023-12-17-22-07-51,True
22184522,PMC3222267,Treatment relapsed subcutaneous panniculitis-like T-cell lymphoma together HPS by Cyclosporin A.,Hematol Rep,2023-12-17-22-07-51,True
22247712,PMC3253869,Cyclosporine in Relapsed Subcutaneous Panniculitis-like T-Cell Lymphoma after Autologous Hematopoietic Stem Cell Transplantation.,Cancer Res Treat,2023-12-17-22-07-51,True
22548037,PMC3339687,Successful Treatment of a Panniculitis-Like Primary Cutaneous T-Cell Lymphoma of the α/β Type with Bexarotene.,Case Rep Dermatol,2023-12-17-22-07-51,True
22606445,PMC3350120,Subcutaneous Panniculitis-Like T-Cell Lymphoma (SPTL) in a Child with Spontaneous Resolution.,Case Rep Oncol Med,2023-12-17-22-07-51,True
22783363,PMC3389065,Cyclosporine A treatment for relapsed subcutaneous panniculitis-like T-cell lymphoma: a case with long-term follow-up.,Korean J Hematol,2023-12-17-22-07-51,True
23412422,PMC3572891,Usefulness of F-18 FDG PET/CT in subcutaneous panniculitis-like T cell lymphoma: disease extent and treatment response evaluation.,Radiol Oncol,2023-12-17-22-07-51,True
23690702,PMC3655289,Subcutaneous panniculitis-like T-cell lymphoma of the breast.,Korean J Radiol,2023-12-17-22-07-51,True
24049298,PMC3764727,Subcutaneous panniculitis-like T-cell lymphoma in a case of carcinoma cervix.,Indian J Med Paediatr Oncol,2023-12-17-22-07-51,True
24524345,PMC3974103,"Cytophagic histiocytic panniculitis, hemophagocytic lymphohistiocytosis and undetermined autoimmune disorder: reconciling the puzzle.",Ital J Pediatr,2023-12-17-22-07-51,True
24815502,PMC4317912,Clinicopathological analysis of 17 primary cutaneous T-cell lymphoma of the γδ phenotype from Japan.,Cancer Sci,2023-12-17-22-07-51,True
24868225,PMC4026803,Characteristics of Cutaneous Lymphomas in Korea According to the New WHO-EORTC Classification: Report of a Nationwide Study.,Korean J Pathol,2023-12-17-22-07-51,True
25038767,PMC4132451,Cyclosporine A as a Primary Treatment for Panniculitis-like T Cell Lymphoma: A Case with a Long-Term Remission.,Cancer Res Treat,2023-12-17-22-07-51,True
25506440,PMC4259071,Successful treatment of disseminated subcutaneous panniculitis-like T-cell lymphoma with single agent oral cyclosporine as a first line therapy.,Case Rep Dermatol Med,2023-12-17-22-07-51,True
25928531,PMC4320460,Molecular characterization of subcutaneous panniculitis-like T-cell lymphoma reveals upregulation of immunosuppression- and autoimmunity-associated genes.,Orphanet J Rare Dis,2023-12-17-22-07-51,True
26288445,PMC4533575,A dramatic presentation of an unusual form of cutaneous lymphoma.,Indian J Dermatol,2023-12-17-22-07-51,True
27342380,PMC4922834,Subcutaneous Panniculitis-like T Cell Lymphoma Mimicking Early-Onset Nodular Panniculitis.,Am J Case Rep,2023-12-17-22-07-51,True
27440138,PMC4955135,Case report of subcutaneous panniculitis-like T-cell lymphoma complicated by eyelid swelling.,BMC Ophthalmol,2023-12-17-22-07-51,True
27672640,PMC5018622,Fluorine-18 fluorodeoxyglucose positron emission tomography/computed tomography evaluation of subcutaneous panniculitis-like T cell lymphoma and treatment response.,World J Clin Cases,2023-12-17-22-07-51,True
27990393,PMC5134172,Subcutaneous panniculitis-like T-cell lymphoma with macrophage activation syndrome treated by cyclosporine and prednisolone.,Indian Dermatol Online J,2023-12-17-22-07-51,True
28261650,PMC5315091,Cutaneous CD8+ Cytotoxic T-Cell Lymphoma Infiltrates: Clinicopathological Correlation and Outcome of 35 Cases.,Oncol Ther,2023-12-17-22-07-51,True
28361107,PMC5359675,Remission of subcutaneous panniculitis-like T-cell lymphoma in a pregnant woman after treatment with oral corticosteroids as monotherapy.,JAAD Case Rep,2023-12-17-22-07-51,True
28405495,PMC5384345,Biological and clinical significance of tryptophan-catabolizing enzymes in cutaneous T-cell lymphomas.,Oncoimmunology,2023-12-17-22-07-51,True
28858104,PMC5585498,Oral and maxillofacial non-Hodgkin lymphomas: Case report with review of literature.,Medicine (Baltimore),2023-12-17-22-07-51,True
