pmcid,figure_name,width,height
PMC2965923,IJD-55-290-g003.jpg,570,539
PMC2965923,IJD-55-290-g004.jpg,744,539
PMC2965923,IJD-55-290-g002.jpg,405,539
PMC2965923,IJD-55-290-g001.jpg,405,539
PMC2965923,IJD-55-290-g005.jpg,630,539
PMC3162262,ad-23-329-i002.jpg,766,411
PMC3162262,ad-23-329-g002.jpg,632,477
PMC3162262,ad-23-329-g003.jpg,632,466
PMC3162262,ad-23-329-i001.jpg,491,1098
PMC3162262,ad-23-329-i003.jpg,662,250
PMC3162262,ad-23-329-i005.jpg,662,481
PMC3162262,ad-23-329-i004.jpg,491,250
PMC3162262,ad-23-329-g001.jpg,469,582
PMC3253869,crt-43-255-g001.jpg,663,329
PMC3253869,crt-43-255-g002.jpg,663,497
PMC3339687,cde-0004-0056-g02.jpg,529,420
PMC3339687,cde-0004-0056-g01.jpg,529,175
PMC3065054,JSC2011-824528.003.jpg,756,582
PMC3065054,JSC2011-824528.002.jpg,669,361
PMC3065054,JSC2011-824528.001.jpg,480,203
PMC3389065,kjh-47-146-g001.jpg,789,594
PMC3389065,kjh-47-146-g002.jpg,607,708
PMC3655289,kjr-14-391-g001.jpg,694,452
PMC3572891,rado-46-04-278f1.jpg,787,1137
PMC3572891,rado-46-04-278f2.jpg,787,759
PMC3572891,rado-46-04-278f3.jpg,738,1540
PMC3974103,1824-7288-40-17-2.jpg,600,903
PMC3974103,1824-7288-40-17-1.jpg,600,451
PMC3350120,CRIM.ONCMED2011-639240.002.jpg,600,2070
PMC3350120,CRIM.ONCMED2011-639240.001.jpg,600,517
PMC3764727,IJMPO-34-104-g004.jpg,718,537
PMC3764727,IJMPO-34-104-g001.jpg,716,537
PMC3764727,IJMPO-34-104-g002.jpg,783,590
PMC3764727,IJMPO-34-104-g003.jpg,742,859
PMC4026803,kjpathol-48-126-i001.jpg,1200,980
PMC4026803,kjpathol-48-126-i002.jpg,1200,846
PMC4026803,kjpathol-48-126-i004.jpg,1200,1053
PMC4026803,kjpathol-48-126-g001.jpg,789,287
PMC4026803,kjpathol-48-126-i003.jpg,1200,897
PMC4026803,kjpathol-48-126-g002.jpg,766,355
PMC4259071,CRIDM2014-201836.001.jpg,775,351
