pmid,pmcid,title,journal,insert_time,has_targz
17684426,PMC6074293,Primary superficial basal cell carcinoma of the nipple.,Ann Saudi Med,2023-12-17-22-12-54,True
20409337,PMC2877028,The SINS trial: a randomised controlled trial of excisional surgery versus imiquimod 5% cream for nodular and superficial basal cell carcinoma.,Trials,2023-12-17-22-12-54,True
21436969,PMC3047930,Management of superficial basal cell carcinoma: focus on imiquimod.,Clin Cosmet Investig Dermatol,2023-12-17-22-12-54,True
21850019,PMC3229834,Immunomodulation by imiquimod in patients with high-risk primary melanoma.,J Invest Dermatol,2023-12-17-22-12-54,True
22028585,PMC3199435,Large superficial Basal cell carcinoma arising in the scalp.,Ann Dermatol,2023-12-17-22-12-54,True
22371758,PMC3281351,Risk factors in Central Poland for the development of superficial and nodular basal cell carcinomas.,Arch Med Sci,2023-12-17-22-12-54,True
23035730,PMC3532314,What determines patient preferences for treating low risk basal cell carcinoma when comparing surgery vs imiquimod? A discrete choice experiment survey from the SINS trial.,BMC Dermatol,2023-12-17-22-12-54,True
23162757,PMC3489745,Trial watch: FDA-approved Toll-like receptor agonists for cancer therapy.,Oncoimmunology,2023-12-17-22-12-54,True
23259087,PMC3505933,Chronicle of a pigmented superficial Basal cell carcinoma.,Case Rep Dermatol Med,2023-12-17-22-12-54,True
24137440,PMC3796394,Photodynamic therapy combined with cryotherapy for the treatment of nodular basal cell carcinoma.,Oncol Lett,2023-12-17-22-12-54,True
24173177,PMC3798348,"Differences in age and topographic distribution of the different histological subtypes of basal cell carcinoma, Taubaté (SP), Brazil.",An Bras Dermatol,2023-12-17-22-12-54,True
24396719,PMC3881082,Saved by step sections: an unusual presentation of basal cell carcinoma.,Dermatol Pract Concept,2023-12-17-22-12-54,True
24900953,PMC4037597,Visualization and treatment of subclinical actinic keratoses with topical imiquimod 5% cream: an observational study.,Biomed Res Int,2023-12-17-22-12-54,True
25097557,PMC4105643,Non-melanoma skin cancer treated with HDR Valencia applicator: clinical outcomes.,J Contemp Brachytherapy,2023-12-17-22-12-54,True
25313350,PMC4193954,The effect of microneedles on the skin permeability and antitumor activity of topical 5-fluorouracil.,Acta Pharm Sin B,2023-12-17-22-12-54,True
25386311,PMC4212671,"Clinical, dermoscopic and histological features of a combined tumor composed of a melanoma in situ, a basal cell carcinoma and an intradermal naevus.",Dermatol Reports,2023-12-17-22-12-54,True
25484387,PMC4248494,Successful Treatment of Giant Basal Cell Carcinoma with Topical Imiquimod 5% Cream with Long Term Follow-up.,Indian J Dermatol,2023-12-17-22-12-54,True
26207112,PMC4499517,Efficacy and safety of electronic brachytherapy for superficial and nodular basal cell carcinoma.,J Contemp Brachytherapy,2023-12-17-22-12-54,True
26602517,PMC4642494,The importance of superficial basal cell carcinoma in a retrospective study of 139 patients who underwent Mohs micrographic surgery in a Brazilian university hospital.,Clinics (Sao Paulo),2023-12-17-22-12-54,True
26677309,PMC4681235,Subcutaneous Sarcoidal Granuloma Underlying Superficial Basal Cell Carcinoma.,Indian J Dermatol,2023-12-17-22-12-54,True
26734866,PMC4689073,Long-term recurrence of nonmelanoma skin cancer after topical methylaminolevulinate photodynamic therapy in a dermato-oncology department.,An Bras Dermatol,2023-12-17-22-12-54,True
26968156,PMC4788900,Lack of efficacy of imiquimod in patients with basal cell carcinoma previously treated with rituximab for B cell lymphoma: two case reports.,J Med Case Rep,2023-12-17-22-12-54,True
27057051,PMC4817476,Superficial Basal Cell Carcinoma on the Face is a Diagnostic Challenge.,Indian J Dermatol,2023-12-17-22-12-54,True
27123056,PMC4840988,"Reflectance confocal microscopy and dermoscopy for in vivo, non-invasive skin imaging of superficial basal cell carcinoma.",Oncol Lett,2023-12-17-22-12-54,True
27574458,PMC4993252,"Treatment of superficial basal cell carcinoma with ingenol mebutate gel, 0.05%.",Clin Cosmet Investig Dermatol,2023-12-17-22-12-54,True
27782043,PMC5082380,Photodynamic Therapy for Non-Melanoma Skin Cancers.,Cancers (Basel),2023-12-17-22-12-54,True
27867740,PMC5108639,Regressing basal-cell carcinoma masquerading as benign lichenoid keratosis.,Dermatol Pract Concept,2023-12-17-22-12-54,True
27904293,PMC5125975,Superficial Basal Cell Carcinoma Treated with Two Cycles of Ingenol Mebutate Gel 0.015.,Ann Dermatol,2023-12-17-22-12-54,True
28260938,PMC5327847,Superficial basal cell carcinoma treated with 70% trichloroacetic acid applied topically: a case study.,Clin Cosmet Investig Dermatol,2023-12-17-22-12-54,True
28465868,PMC5408973,Red Dot Basal Cell Carcinoma: Report of Cases and Review of This Unique Presentation of Basal Cell Carcinoma.,Cureus,2023-12-17-22-12-54,True
29085717,PMC5661163,Reticulated acanthoma with sebaceous differentiation mimicking melanoma.,Dermatol Pract Concept,2023-12-17-22-12-54,True
29414904,PMC5874675,Photodynamic Therapy Activated by Intense Pulsed Light in the Treatment of Nonmelanoma Skin Cancer.,Biomedicines,2023-12-17-22-12-54,True
29507844,PMC5832390,Acquired Elastotic Hemangioma: Case Series and Comprehensive Literature Review.,Cureus,2023-12-17-22-12-54,True
29599671,PMC5872246,Trends in basal cell carcinoma incidence rates: a 16-year retrospective study of a population in central Poland.,Postepy Dermatol Alergol,2023-12-17-22-12-54,True
30634715,PMC6356372,Regression Analysis of Protoporphyrin IX Measurements Obtained During Dermatological Photodynamic Therapy.,Cancers (Basel),2023-12-17-22-12-54,True
30899630,PMC6420332,Basal Cell Carcinoma Associated with Secondary Localized Cutaneous Amyloid Deposits: Case Report and Review.,Cureus,2023-12-17-22-12-54,True
32349762,PMC7191775,Development of a patient decision aid for the management of superficial basal cell carcinoma (BCC) in adults with a limited life expectancy.,BMC Med Inform Decis Mak,2023-12-17-22-12-54,True
32516426,PMC9175047,Giant Superficial Basal Cell Carcinoma Diagnosed and Treated as Psoriasis: Report of Two Cases and a Literature Review.,Acta Derm Venereol,2023-12-17-22-12-54,True
33131075,PMC8246791,Development of a patient decision aid for superficial basal cell carcinoma.,Br J Dermatol,2023-12-17-22-12-54,True
34575553,PMC8469695,Improvement of Imiquimod Solubilization and Skin Retention via TPGS Micelles: Exploiting the Co-Solubilizing Effect of Oleic Acid.,Pharmaceutics,2023-12-17-22-12-54,True
34638396,PMC8507996,Line-Field Confocal Optical Coherence Tomography May Enhance Monitoring of Superficial Basal Cell Carcinoma Treated with Imiquimod 5% Cream: A Pilot Study.,Cancers (Basel),2023-12-17-22-12-54,True
35051169,PMC8775292,"Superficial basal cell carcinoma, think deeper: Step sectioning of skin biopsy specimens yields 14% more aggressive subtypes.",PLoS One,2023-12-17-22-12-54,True
35543079,PMC9544261,"Curettage vs. cryosurgery for superficial basal cell carcinoma: a prospective, randomised and controlled trial.",J Eur Acad Dermatol Venereol,2023-12-17-22-12-54,True
35598594,PMC9677860,Long-Term Efficacy of Photodynamic Therapy with Fractionated 5-Aminolevulinic Acid 20% versus Conventional Two-Stage Topical Methyl Aminolevulinate for Superficial Basal-Cell Carcinoma.,Dermatology,2023-12-17-22-12-54,True
35942364,PMC9350373,Management of patients with giant basal cell carcinoma during SARS COV2 outbreak in Italy.,Transl Biophotonics,2023-12-17-22-12-54,True
36299923,PMC9588167,Cutaneous Basal Cell Carcinoma In Situ: A Case Series.,Cureus,2023-12-17-22-12-54,True
36507544,PMC9729728,Case report: A rare case of imiquimod-induced atypical pemphigus vulgaris.,Front Med (Lausanne),2023-12-17-22-12-54,True
36534551,PMC9681225,Reflectance Confocal Microscopy Follow-up of Multifocal Superficial Basal Cell Carcinomas Treated With Imiquimod 5% Cream.,Dermatol Pract Concept,2023-12-17-22-12-54,True
36855538,PMC9968428,Development and Optimization of Imiquimod-Loaded Nanostructured Lipid Carriers Using a Hybrid Design of Experiments Approach.,Int J Nanomedicine,2023-12-17-22-12-54,True
