pmcid,figure_name,width,height
PMC2877028,1745-6215-11-42-1.jpg,600,291
PMC6074293,asm-4-296f1.jpg,753,756
PMC6074293,asm-4-296f2.jpg,672,540
PMC3281351,AMS-6-14659-g003.jpg,466,272
PMC3281351,AMS-6-14659-g002.jpg,467,272
PMC3281351,AMS-6-14659-g001.jpg,548,200
PMC3199435,ad-23-S96-g001.jpg,469,352
PMC3199435,ad-23-S96-g002.jpg,632,413
PMC3532314,1471-5945-12-19-3.jpg,600,718
PMC3532314,1471-5945-12-19-4.jpg,600,706
PMC3532314,1471-5945-12-19-2.jpg,600,776
PMC3532314,1471-5945-12-19-1.jpg,600,281
PMC3229834,nihms311849f1.jpg,1050,327
PMC3229834,nihms311849f3.jpg,1050,498
PMC3229834,nihms311849f2.jpg,867,1050
PMC3229834,nihms311849f4.jpg,947,1050
PMC3505933,CRIM.DM2012-693041.001.jpg,600,413
PMC3505933,CRIM.DM2012-693041.002.jpg,600,1821
PMC3796394,OL-06-04-0939-g02.jpg,688,480
PMC3796394,OL-06-04-0939-g01.jpg,688,539
PMC3796394,OL-06-04-0939-g00.jpg,700,329
PMC3796394,OL-06-04-0939-g03.jpg,688,417
PMC4105643,JCB-6-22877-g001.jpg,722,173
PMC4105643,JCB-6-22877-g002.jpg,722,792
PMC4037597,BMRI2014-135916.003.jpg,600,317
PMC4037597,BMRI2014-135916.002.jpg,600,1402
PMC4037597,BMRI2014-135916.001.jpg,600,561
PMC3881082,dp0101a10g003.jpg,666,1790
PMC3881082,dp0101a10g001.jpg,666,500
PMC3881082,dp0101a10g002.jpg,666,1756
PMC3881082,dp0101c10g004.jpg,800,600
PMC4212671,dr-2012-1-e11-g003.jpg,711,792
PMC4212671,dr-2012-1-e11-g001.jpg,657,495
PMC4212671,dr-2012-1-e11-g002.jpg,652,592
PMC4499517,JCB-7-25225-g004.jpg,722,538
PMC4499517,JCB-7-25225-g003.jpg,722,538
PMC4499517,JCB-7-25225-g002.jpg,787,493
PMC4499517,JCB-7-25225-g001.jpg,721,267
PMC4248494,IJD-59-575-g006.jpg,788,587
PMC4248494,IJD-59-575-g008.jpg,784,586
PMC4248494,IJD-59-575-g003.jpg,472,587
PMC4248494,IJD-59-575-g007.jpg,689,587
PMC4248494,IJD-59-575-g001.jpg,537,391
PMC4248494,IJD-59-575-g004.jpg,438,587
PMC4248494,IJD-59-575-g002.jpg,782,587
PMC4248494,IJD-59-575-g005.jpg,680,587
PMC4193954,fx00.jpg,796,123
PMC4193954,gr2.jpg,649,588
PMC4193954,gr4.jpg,725,243
PMC4193954,gr3.jpg,735,659
PMC4193954,gr1.jpg,630,646
PMC4193954,fx1.jpg,790,443
PMC4681235,IJD-60-638b-g001.jpg,782,587
PMC4689073,abd-90-06-0846-g01.jpg,771,1157
PMC4642494,cln-70-11-721-g001.jpg,650,635
PMC4642494,cln-70-11-721-g002.jpg,700,338
PMC4817476,IJD-61-236e-g003.jpg,586,586
PMC4817476,IJD-61-236e-g002.jpg,736,586
PMC4817476,IJD-61-236e-g001.jpg,352,586
PMC4817476,IJD-61-236e-g004.jpg,352,586
PMC4993252,ccid-9-205Fig1.jpg,760,595
PMC4840988,ol-11-05-3019-g00.jpg,756,511
PMC4840988,ol-11-05-3019-g02.jpg,768,500
PMC4840988,ol-11-05-3019-g01.jpg,768,507
PMC5108639,dp0604a03g002a.jpg,666,501
PMC5108639,dp0604a03g001b.jpg,666,496
PMC5108639,dp0604a03g001a.jpg,666,496
PMC5108639,dp0604a03g002b.jpg,666,501
PMC5125975,ad-28-796-g001.jpg,789,458
PMC5125975,ad-28-796-g002.jpg,622,795
PMC5327847,ccid-10-067Fig1.jpg,646,879
PMC5661163,dp0703a07g003.jpg,700,525
PMC5661163,dp0703a07g001.jpg,700,933
PMC5661163,dp0703a07g002.jpg,700,933
PMC5874675,biomedicines-06-00018-g002.jpg,758,753
PMC5874675,biomedicines-06-00018-g001.jpg,769,769
PMC5874675,biomedicines-06-00018-g003.jpg,783,358
PMC5874675,biomedicines-06-00018-g004.jpg,765,336
PMC5872246,PDIA-35-31637-g002.jpg,767,571
PMC5872246,PDIA-35-31637-g004.jpg,765,573
PMC5872246,PDIA-35-31637-g005.jpg,767,632
PMC5872246,PDIA-35-31637-g001.jpg,771,568
PMC5872246,PDIA-35-31637-g003.jpg,766,574
PMC5832390,cureus-0009-00000001994-i04.jpg,640,360
PMC5832390,cureus-0009-00000001994-i02.jpg,800,800
PMC5832390,cureus-0009-00000001994-i01.jpg,800,800
PMC5832390,cureus-0009-00000001994-i03.jpg,800,800
PMC6420332,cureus-0011-00000003879-i01.jpg,800,450
