pmid,pmcid,title,journal,insert_time,label,caption,graphic
17684426,PMC6074293,Primary superficial basal cell carcinoma of the nipple.,Ann Saudi Med,2023-12-17-22-12-54,Figure 1,"Skin of the nipple shows several superficial islands of basaloid cells arising from the epidermis into dermis. Note: all these superficial lobules are confined to the papillary dermis (H&E, ×100).",asm-4-296f1
17684426,PMC6074293,Primary superficial basal cell carcinoma of the nipple.,Ann Saudi Med,2023-12-17-22-12-54,Figure 2,"Higher magnification demonstrating the characteristic peripheral palisading of basal cells. (H&E, ×400)",asm-4-296f2
20409337,PMC2877028,The SINS trial: a randomised controlled trial of excisional surgery versus imiquimod 5% cream for nodular and superficial basal cell carcinoma.,Trials,2023-12-17-22-12-54,Figure 1,SINS study design overview.,1745-6215-11-42-1
21436969,PMC3047930,Management of superficial basal cell carcinoma: focus on imiquimod.,Clin Cosmet Investig Dermatol,2023-12-17-22-12-54,,,
21850019,PMC3229834,Immunomodulation by imiquimod in patients with high-risk primary melanoma.,J Invest Dermatol,2023-12-17-22-12-54,Figure 1,"Melanoma site of ""responder"", pre- and post-treatment with imiquimodPatient applied topical imiquimod to tumor site starting on day -14, and ending on day -1, before surgery on day 0.",nihms311849f1
21850019,PMC3229834,Immunomodulation by imiquimod in patients with high-risk primary melanoma.,J Invest Dermatol,2023-12-17-22-12-54,Figure 2,"Immune biomarkers in local tumor sitesSkin sections from placebo-treated (closed circles) and imiquimod-treated (open squares) patients were assessed by IHC. Percent areas staining positive for lymphocyte markers (a) and monocyte/macrophage/dendritic cell lineage markers (b) were quantitated using Image Pro software. Means +/− SEM are shown, N=7 for all groups except CD8-imiquimod (6), HLA-DR-placebo (6), and HLA-DR-imiquimod (3). P values for CD3=0.01, CD4=0.03, CD8=0.01.",nihms311849f2
21850019,PMC3229834,Immunomodulation by imiquimod in patients with high-risk primary melanoma.,J Invest Dermatol,2023-12-17-22-12-54,Figure 3,"Immune biomarkers in primary sentinel lymph nodes, by flow cytometry or IHCLymph node sections and single cell suspensions from placebo-treated (closed circles) and imiquimod-treated (open squares) patients were assessed by IHC and flow cytometry, respectively. Lymphocytes were quantitated by flow cytometry (a), monocyte/macrophage/DC lineage cells were quantitated by IHC (b) or flow cytometry (c), and activation markers on monocyte/DC cells were quantitated by flow cytometry (d). Means +/− SEM are shown, N=6 for all groups except in: (b) CD14-placebo (5), HLA-DR-placebo (5), and HLA-DR-imiquimod (2); (c) all subgroups were 4 or 3; (d) CD209/CD83 was 4 and 3. P values in (a) for CD3=0.02, CD4=0.04, CD8=0.12.",nihms311849f3
21850019,PMC3229834,Immunomodulation by imiquimod in patients with high-risk primary melanoma.,J Invest Dermatol,2023-12-17-22-12-54,Figure 4,"Tetramer staining of PBMC CD8+ lymphocytes following imiquimod or placebo treatmentLymphocyte-enriched PBMC fractions from HLA-A*0201-positive patients (4 placebo-treated, 5 imiquimod-treated) were assessed for recognition of HLA-A*0201-binding melanoma epitopes derived from MART-1, tyrosinase, or gp100, by tetramer staining. Differences between pre- and post-treatment were assessed per individual, and placebo- and imiquimod-treated group differences compared using the Wilcoxon signed-rank test.",nihms311849f4
22028585,PMC3199435,Large superficial Basal cell carcinoma arising in the scalp.,Ann Dermatol,2023-12-17-22-12-54,Fig. 1,"(A) Localized mild tender violaceous to blackish 6.5×6.5 cm-sized plaque with a slightly raised and irregular border. (B) Clinical improvement was noted after 12 weeks of imiquimod treatment. (C) Targeted biopsy (green circle) performed on the blackish area after application of imiquimod for 16 weeks. (D) Three months after the termination of additional photodynamic therapy with methyl 5-aminolevulinic acid, the lesion showed clinically complete remission.",ad-23-S96-g001
22028585,PMC3199435,Large superficial Basal cell carcinoma arising in the scalp.,Ann Dermatol,2023-12-17-22-12-54,Fig. 2,"(A) Initial biopsy specimen prior to imiquimod application, showing irregular proliferation of tumor tissue with palisading peripheral cells (H&E, ×100). (B) Marked reduction of tumor tissue after 12 weeks of imiquimod treatment (H&E, ×40). (C) Targeted biopsy specimen after 16 weeks of treatment showing excised tumor tissue with a free margin (H&E, ×40). (D) No tumor cells were found 3 months after the photodynamic therapy with methyl 5-aminolevulinic acid (H&E, ×100).",ad-23-S96-g002
