pmid,pmcid,title,journal,insert_time,has_targz
17728526,PMC2693836,Syringocystadenocarcinoma papilliferum: a case report.,J Korean Med Sci,2023-12-17-22-02-39,True
20596992,PMC2807533,Mucoepidermoid carcinoma arising in a background of sialadenoma papilliferum: a case report.,Head Neck Pathol,2023-12-17-22-02-39,True
21031072,PMC2956952,Circumscribed congenital alopecias harbouring dual lesions.,J Cutan Aesthet Surg,2023-12-17-22-02-39,True
21152125,PMC2990122,A case of giant squamous cell carcinoma of the buttock possibly arose from syringocystadenoma and invaded to the rectum.,J Skin Cancer,2023-12-17-22-02-39,True
21572788,PMC3088931,"A clinico-histopathological study of appendageal skin tumors, affecting head and neck region in patients attending the dermatology opd of a tertiary care centre in eastern India.",Indian J Dermatol,2023-12-17-22-02-39,True
21854651,PMC3169502,Lipomatous apocrine adenoma with syringocystadenoma papilliferum arising from the external auditory canal.,Head Neck Oncol,2023-12-17-22-02-39,True
22148038,PMC3229053,Syringocystadenoma papilliferum of the back combined with a tubular apocrine adenoma.,Ann Dermatol,2023-12-17-22-02-39,True
22148043,PMC3229058,Syringocystadenoma Papilliferum in Co-existence with Tubular Apocrine Adenoma on the Calf.,Ann Dermatol,2023-12-17-22-02-39,True
23569386,PMC3615882,Syringocystadenoma papilliferum in the right lower abdomen: a case report and review of literature.,Onco Targets Ther,2023-12-17-22-02-39,True
23762705,PMC3676980,Syringocystadenoma papilliferum of the bony external auditory canal: a rare tumor in a rare location.,Case Rep Otolaryngol,2023-12-17-22-02-39,True
24082194,PMC3778789,A case of syringocystadenoma papilliferum on lower leg: a rare location.,Indian J Dermatol,2023-12-17-22-02-39,True
24082219,PMC3778814,Linear syringocystadenoma papilliferum: a case report with review of literature.,Indian J Dermatol,2023-12-17-22-02-39,True
24421851,PMC3887160,Development of six tumors in a sebaceus nevus of jadassohn: report of a case.,Korean J Pathol,2023-12-17-22-02-39,True
24765470,PMC3981319,Carcino-sarcoma in a case of syringocystadenoma papilliferum: a rare entity.,Clin Pract,2023-12-17-22-02-39,True
24959179,PMC4052556,A new case of syringocystadenocarcinoma papilliferum: a rare pathology for a wide-ranging comprehension.,Case Rep Med,2023-12-17-22-02-39,True
25634571,PMC4894802,KIT (CD117) Expression in Benign and Malignant Sweat Gland Tumors.,Am J Dermatopathol,2023-12-17-22-02-39,True
