pmcid,label,caption,graphic,disease,modality
PMC2956952,Figure 1,A circumscibed area of alopecia on the vertex of scalp covered with yellowish exudate,JCAS-3-111-g001,NotMatch,NotMatch
PMC2956952,Figure 2,"Skin with adnexal tumour syringocystadenoma papilliferum, showing abundant plasma cells in the stroma (H and E ×40); inset shows fungal spores within the hair follicle (Periodic acid Schiff ×100)",JCAS-3-111-g002,Match,Match
PMC2956952,Figure 3,Scalp with an irregular patch of hair loss showing mild nodularity,JCAS-3-111-g003,NotMatch,NotMatch
PMC2956952,Figure 4,"Skin shows irregular acanthosis, papillomatosis and hyperkeratosis of the epidermis with immature hair follicles (arrow) and hypertrophied sebaceous glands (H and E ×40); inset shows occasional polymorph and many fungal spores in the stratum corneum (Periodic Schiff stain ×200)",JCAS-3-111-g004,NotMatch,NotMatch
PMC2807533,Fig. 1,"a Sialadenoma papilliferum. Exophytic portion. 20×; hemotoxylin-eosin stain. Boxed area is shown in higher magnification in illustration b. b Excretory salivary duct in direct connection with squamous epithelium. Arrow indicates the connection between squamous surface epithelium and salivary excretory duct columnar epithelium. 200×; hemotoxylin-eosin stain. c Mucoepidermoid carcinoma with intermixed components of squamoid, mucous and intermediate cells. 200×; hemotoxylin-eosin stain",12105_2009_106_Fig1_HTML,NotMatch,NotMatch
PMC2807533,Fig. 2,"a Mucoepidermoid carcinoma arising in a background of sialadenoma papilliferum. Arrow, superficial component of sialadenoma papilliferum. Arrowhead, deep portion of the lesion with mucoepidermoid carcinoma intermixed with sialadenoma papilliferum. 10×, hemotoxylin-eosin stain. b Mucoepidermoid carcinoma. Predominantly squamous component with high grade nuclear features. 400×; hemotoxylin-eosin stain. c Mucicarmine stain for mucoepidermoid carcinoma, demonstrating both intraglandular and intracellular mucin. 400×; Mucicarmine stain (Sigma-Aldrich, St. Louis, MO)",12105_2009_106_Fig2_HTML,NotMatch,NotMatch
PMC2693836,Fig. 1,A single 3.4×3.5 cm-sized erythematous dome-shaped nodule covered with bloody crust on the right suprapubic area.,jkms-22-762-g001,NotMatch,NotMatch
PMC2693836,Fig. 2,"A low-power view of the lesion shows a tumor with a solid and cystic pattern in the upper dermis and diffusely infiltrating the lower dermis (H&E, ×1).",jkms-22-762-g002,NotMatch,Match
PMC2693836,Fig. 3,"Tumor cells of strand or cord structures in the deep reticular dermis with desmoplastic stroma (H&E, ×40).",jkms-22-762-g003,NotMatch,Match
PMC2693836,Fig. 4,"(A) Cystic invagination connected to the infundibular portion extends downward (H&E, ×40). (B) Inferior portion of cystic invagination lined by multiple layered epithelium with decapitation on the luminal surface of the cells, numerous plasma cells and lymphocytes in the stroma (H&E, ×100).",jkms-22-762-g004,NotMatch,Match
PMC2693836,Fig. 5,"(A) Tumor cells having large and hyperchromatic nuclei (H&E, ×200). (B) Hyperchromatic nuclei and mitotic figures were observed in these tumor cells (H&E, ×200).",jkms-22-762-g005,NotMatch,Match
PMC3088931,Figure 1,The bar diagram showing the site of occurrence of different appendageal tumors. (It is to be noted that there were patients with more than one site of affection.),IJD-56-33-g003,NotMatch,NotMatch
PMC3088931,Figure 2,"(a) Syringoma in a 26-year-old female;(b) Histopathology of syringoma showing cords of epithelial cells resembling tadpole (H & E stain, 100×).",IJD-56-33-g004,NotMatch,Match
PMC3088931,Figure 3,"(a) Multiple trichoepitheliomas over the nasolabial fold in 30-year-old male; (b) Histopathology of trichoepithelioma showing variably sized tumor masses with cribriform appearance and horn cyst (H & E stain, 100×)",IJD-56-33-g005,NotMatch,Match
