pmcid,figure_name,width,height
PMC2956952,JCAS-3-111-g001.jpg,669,559
PMC2956952,JCAS-3-111-g003.jpg,670,589
PMC2956952,JCAS-3-111-g004.jpg,744,556
PMC2956952,JCAS-3-111-g002.jpg,669,500
PMC2807533,12105_2009_106_Fig1_HTML.jpg,484,1098
PMC2807533,12105_2009_106_Fig2_HTML.jpg,484,1024
PMC2693836,jkms-22-762-i001.jpg,421,369
PMC2693836,jkms-22-762-g003.jpg,472,472
PMC2693836,jkms-22-762-g005.jpg,635,303
PMC2693836,jkms-22-762-g004.jpg,511,303
PMC2693836,jkms-22-762-g001.jpg,472,472
PMC2693836,jkms-22-762-g002.jpg,473,473
PMC3088931,IJD-56-33-g005.jpg,740,394
PMC3088931,IJD-56-33-g003.jpg,744,391
PMC3088931,IJD-56-33-g001.jpg,774,91
PMC3088931,IJD-56-33-g007.jpg,745,289
PMC3088931,IJD-56-33-g004.jpg,742,325
PMC3088931,IJD-56-33-g006.jpg,742,292
PMC3088931,IJD-56-33-g002.jpg,774,178
PMC3088931,IJD-56-33-g008.jpg,743,301
PMC3169502,1758-3284-3-36-1.jpg,600,447
PMC3169502,1758-3284-3-36-2.jpg,600,447
PMC3169502,1758-3284-3-36-3.jpg,600,448
PMC3229053,ad-23-S151-i001.jpg,672,286
PMC3229053,ad-23-S151-g002.jpg,647,486
PMC3229053,ad-23-S151-g001.jpg,482,365
PMC3615882,ott-6-233Fig2.jpg,633,236
PMC3615882,ott-6-233Fig1.jpg,633,474
PMC3229058,ad-23-S175-g003.jpg,644,250
PMC3229058,ad-23-S175-i001.jpg,429,107
PMC3229058,ad-23-S175-g002.jpg,476,275
PMC3229058,ad-23-S175-g001.jpg,632,831
PMC3229058,ad-23-S175-g004.jpg,647,249
PMC3778789,IJD-58-405b-g001.jpg,684,538
PMC3778789,IJD-58-405b-g004.jpg,718,538
PMC3778789,IJD-58-405b-g002.jpg,718,538
PMC3778789,IJD-58-405b-g003.jpg,718,538
PMC3778814,IJD-58-409e-g002.jpg,742,537
PMC3778814,IJD-58-409e-g001.jpg,706,538
PMC3676980,CRIM.OTOLARYNGOLOGY2013-541679.003.jpg,600,548
PMC3676980,CRIM.OTOLARYNGOLOGY2013-541679.001.jpg,600,2168
PMC3676980,CRIM.OTOLARYNGOLOGY2013-541679.002.jpg,600,975
PMC3981319,cp-2012-3-e71-g003.jpg,500,111
PMC3981319,cp-2012-3-e71-g002.jpg,500,286
PMC3981319,cp-2012-3-e71-g001.jpg,500,188
PMC2990122,JSC2011-213406.005.jpg,775,642
PMC2990122,JSC2011-213406.006.jpg,501,250
PMC2990122,JSC2011-213406.004.jpg,411,558
PMC2990122,JSC2011-213406.003.jpg,763,565
PMC2990122,JSC2011-213406.001.jpg,420,453
PMC2990122,JSC2011-213406.007.jpg,496,190
PMC2990122,JSC2011-213406.002.jpg,510,408
PMC4894802,ajd-37-0898-g004.jpg,653,488
PMC4894802,ajd-37-0898-g001.jpg,1200,744
PMC4894802,ajd-37-0898-g005.jpg,681,654
PMC4894802,ajd-37-0898-g007.jpg,653,422
PMC4894802,ajd-37-0898-g012.jpg,598,516
PMC4894802,ajd-37-0898-g011.jpg,653,487
PMC4894802,ajd-37-0898-g003.jpg,681,249
PMC4894802,ajd-37-0898-g009.jpg,653,426
PMC4894802,ajd-37-0898-g008.jpg,653,428
PMC4894802,ajd-37-0898-g006.jpg,653,428
PMC4894802,ajd-37-0898-g002.jpg,653,492
PMC4894802,ajd-37-0898-g010.jpg,653,427
PMC3887160,kjpathol-47-569-g005.jpg,793,194
PMC3887160,kjpathol-47-569-g003.jpg,794,572
