pmid,pmcid,title,journal,insert_time,has_targz,disease
24937830,PMC4056714,Clouston syndrome associated with eccrine syringofibroadenoma.,An Bras Dermatol,2023-12-17-22-02-40,True,Match
25657422,PMC4318028,Solitary eccrine syringofibroadenoma with nail involvement: A rare entity.,Indian J Dermatol,2023-12-17-22-02-40,True,Match
26288415,PMC4533545,Reactive Eccrine Syringofibroadenomatosis Presenting as Bilateral Plantar Hyperkeratosis.,Indian J Dermatol,2023-12-17-22-02-40,True,Match
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,True,Match
26937300,PMC4758438,Eccrine syringofibroadenoma (ESFA): a report of two cases.,Dermatol Pract Concept,2023-12-17-22-02-40,True,Match
27462220,PMC4943312,"Reactive Eccrine Syringofibroadenoma Associated with Neuropathy, Venous Stasis, and Diabetic Foot Ulcer.",Case Rep Dermatol,2023-12-17-22-02-40,True,Match
27559518,PMC4976423,Reactive eccrine syringofibroadenoma in hyperkeratotic eczema.,Indian Dermatol Online J,2023-12-17-22-02-40,True,Match
27625569,PMC5007923,A Solitary Facial Nodule with an Uncharacteristic Histopathology.,Int J Trichology,2023-12-17-22-02-40,True,NotMatch
27904279,PMC5125961,Eccrine Syringofibroadenoma in a Patient with Long-Standing Exfoliative Dermatitis.,Ann Dermatol,2023-12-17-22-02-40,True,Match
28217470,PMC5297268,A case report of reactive solitary eccrine syringofibroadenoma.,Indian Dermatol Online J,2023-12-17-22-02-40,True,Match
28979031,PMC5618856,Perianal Eccrine Syringofibroadenoma.,Indian J Dermatol,2023-12-17-22-02-40,True,Match
29563940,PMC5844689,Nodular Cystic Basal Cell Carcinoma of the Trunk: a Diagnostic Dilemma in an Unsuspecting Youth.,Iran J Pathol,2023-12-17-22-02-40,True,NotMatch
31885941,PMC6914982,"Reactive Eccrine Syringofibroadenoma on the Heel, Clinically Mimicking Squamous Cell Carcinoma.",Case Rep Dermatol Med,2023-12-17-22-02-40,True,Match
32685646,PMC7355208,Recalcitrant erosive plaques on the palms and soles: A rare manifestation of eccrine syringofibroadenoma.,JAAD Case Rep,2023-12-17-22-02-40,True,Match
33487730,PMC7810092,Solitary Eccrine Syringofibroadenoma of the Dorsum of Hand.,Indian J Dermatol,2023-12-17-22-02-40,True,Match
33593701,PMC8007491,Reactive eccrine syringofibroadenoma triggered by thermal damage: case report.,An Bras Dermatol,2023-12-17-22-02-40,True,Match
33911710,PMC7992643,Eccrine Syringofibroadenoma Associated with Bowen's Disease: A Case Report and Review of the Literature.,Ann Dermatol,2023-12-17-22-02-40,True,Match
36561398,PMC9764956,Eccrine Syringofibroadenoma: A Rare Skin Adnexal Tumor at a Rare Site.,J Cutan Aesthet Surg,2023-12-17-22-02-40,True,Match
37635860,PMC10448325,Palmar syringofibroadenoma-like lesions in Clouston syndrome treated with CO(2) ablative laser.,JAAD Case Rep,2023-12-17-22-02-40,True,Match
38046953,PMC10691370,A Case of Reactive Eccrine Syringofibroadenoma Associated with Dyshidrotic Eczema.,Clin Cosmet Investig Dermatol,2023-12-17-22-02-40,False,Match
