pmcid,figure_name,width,height
PMC4318028,IJD-60-103d-g002.jpg,539,202
PMC4318028,IJD-60-103d-g001.jpg,538,266
PMC4533545,IJD-60-403-g001.jpg,539,306
PMC4533545,IJD-60-403-g005.jpg,656,586
PMC4533545,IJD-60-403-g002.jpg,739,421
PMC4533545,IJD-60-403-g004.jpg,782,587
PMC4533545,IJD-60-403-g003.jpg,782,587
PMC4056714,abd-89-03-0504-g01.jpg,600,715
PMC4056714,abd-89-03-0504-g04.jpg,600,799
PMC4056714,abd-89-03-0504-g03.jpg,771,352
PMC4056714,abd-89-03-0504-g02.jpg,715,754
PMC4540561,abd-90-03-s1-0235-g01.jpg,600,536
PMC4540561,abd-90-03-s1-0235-g02.jpg,771,689
PMC4540561,abd-90-03-s1-0235-g06.jpg,600,536
PMC4540561,abd-90-03-s1-0235-g05.jpg,771,573
PMC4540561,abd-90-03-s1-0235-g03.jpg,600,536
PMC4540561,abd-90-03-s1-0235-g04.jpg,771,688
PMC4943312,cde-0008-0124-g04.jpg,708,471
PMC4943312,cde-0008-0124-g03.jpg,708,471
PMC4943312,cde-0008-0124-g02.jpg,472,839
PMC4943312,cde-0008-0124-g01.jpg,708,397
PMC4758438,dp0601a03g002b.jpg,666,501
PMC4758438,dp0601a03g001a.jpg,666,420
PMC4758438,dp0601a03g002c.jpg,666,501
PMC4758438,dp0601a03g001b.jpg,666,501
PMC4758438,dp0601a03g002a.jpg,666,1000
PMC4758438,dp0601a03g001c.jpg,666,501
PMC4976423,IDOJ-7-325-g002.jpg,539,404
PMC4976423,IDOJ-7-325-g004.jpg,539,404
PMC4976423,IDOJ-7-325-g003.jpg,539,405
PMC4976423,IDOJ-7-325-g001.jpg,539,634
PMC5007923,IJT-8-146-g006.jpg,1010,757
PMC5007923,IJT-8-146-g004.jpg,781,585
PMC5007923,IJT-8-146-g005.jpg,782,587
PMC5007923,IJT-8-146-g003.jpg,782,587
PMC5007923,IJT-8-146-g002.jpg,781,586
PMC5007923,IJT-8-146-g001.jpg,440,586
PMC5125961,ad-28-765-g002.jpg,789,293
PMC5125961,ad-28-765-g001.jpg,733,332
PMC5618856,IJD-62-548c-g002.jpg,539,404
PMC5618856,IJD-62-548c-g001.jpg,539,238
PMC5844689,ijp-12-410-g001.jpg,738,535
PMC6914982,CRIDM2019-4735739.003.jpg,777,653
PMC6914982,CRIDM2019-4735739.001.jpg,710,529
PMC6914982,CRIDM2019-4735739.002.jpg,728,310
PMC7810092,IJD-65-560-g002.jpg,539,196
PMC7810092,IJD-65-560-g003.jpg,539,203
PMC7810092,IJD-65-560-g001.jpg,471,587
PMC5297268,IDOJ-8-35-g003.jpg,539,526
PMC5297268,IDOJ-8-35-g001.jpg,539,838
PMC5297268,IDOJ-8-35-g004.jpg,539,618
PMC5297268,IDOJ-8-35-g002.jpg,539,813
PMC5297268,IDOJ-8-35-g005.jpg,539,566
PMC8007491,gr2.jpg,750,433
PMC8007491,gr3.jpg,750,547
PMC8007491,gr1.jpg,750,564
PMC7355208,gr2.jpg,747,945
PMC7355208,gr1.jpg,777,625
PMC9764956,JCAS-15-335-g001.jpg,663,886
PMC9764956,JCAS-15-335-g004.jpg,668,501
PMC9764956,JCAS-15-335-g003.jpg,666,499
PMC9764956,JCAS-15-335-g002.jpg,666,497
PMC7992643,ad-32-57-i001.jpg,764,885
PMC7992643,ad-32-57-g001.jpg,622,414
PMC7992643,ad-32-57-g002.jpg,789,397
PMC7992643,ad-32-57-g003.jpg,789,185
PMC10448325,gr2.jpg,711,304
PMC10448325,gr3.jpg,719,253
PMC10448325,gr1.jpg,719,351
