pmid,pmcid,title,journal,insert_time,label,caption,graphic
24937830,PMC4056714,Clouston syndrome associated with eccrine syringofibroadenoma.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 1,Clinical aspect of alopecia,abd-89-03-0504-g01
24937830,PMC4056714,Clouston syndrome associated with eccrine syringofibroadenoma.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 2,"A. clinical aspect of nail dystrophy; B. clinical
aspect of palmar hyperkeratosis",abd-89-03-0504-g02
24937830,PMC4056714,Clouston syndrome associated with eccrine syringofibroadenoma.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 3,"A. Clinical aspect of lesions demonstrating coalescent pinkish
papules forming plaques with cobblestone aspect on feet; B.
Clinical aspect of lesions demonstrating coalescent pinkish papules forming
plaques with cobblestone aspect on feet",abd-89-03-0504-g03
24937830,PMC4056714,Clouston syndrome associated with eccrine syringofibroadenoma.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 4,"Histopathologica l exam revealing thin cords of anastomosed epithelial cells
in continuity with the epidermis. Cords composed of round nucleated cells,
luminal structures which vary in size and walls with a single layer of
cells. (HE, 40X)",abd-89-03-0504-g04
25657422,PMC4318028,Solitary eccrine syringofibroadenoma with nail involvement: A rare entity.,Indian J Dermatol,2023-12-17-22-02-40,Figure 1,Warty keratotic plaque with secondary nail dystrophy,IJD-60-103d-g001
25657422,PMC4318028,Solitary eccrine syringofibroadenoma with nail involvement: A rare entity.,Indian J Dermatol,2023-12-17-22-02-40,Figure 2,"(a) Branching anastomosing strands of epithelial cells extending from multiple points in the epidermis (H and E, original magnification ×40. (b) Small ductules lined by cuboidal cells within the epithelial strands embedded in a fibrovascular stroma (H and E, original magnification ×400)",IJD-60-103d-g002
26288415,PMC4533545,Reactive Eccrine Syringofibroadenomatosis Presenting as Bilateral Plantar Hyperkeratosis.,Indian J Dermatol,2023-12-17-22-02-40,Figure 1,Bilateral plantar ulcers with surrounding skin hyperkeratosis and a pink verrucous growth at medial border of bilateral sole,IJD-60-403-g001
26288415,PMC4533545,Reactive Eccrine Syringofibroadenomatosis Presenting as Bilateral Plantar Hyperkeratosis.,Indian J Dermatol,2023-12-17-22-02-40,Figure 2,Pink verrucous growth over medial border of right sole,IJD-60-403-g002
26288415,PMC4533545,Reactive Eccrine Syringofibroadenomatosis Presenting as Bilateral Plantar Hyperkeratosis.,Indian J Dermatol,2023-12-17-22-02-40,Figure 3,"Photomicrograph showing anastomosing strands of epithelial cells embedded in a fibrovascular stroma (H and E, ×100)",IJD-60-403-g003
26288415,PMC4533545,Reactive Eccrine Syringofibroadenomatosis Presenting as Bilateral Plantar Hyperkeratosis.,Indian J Dermatol,2023-12-17-22-02-40,Figure 4,"Higher magnification photomicrograph showing thin epithelial strands with ductal structures (H and E, ×400)",IJD-60-403-g004
26288415,PMC4533545,Reactive Eccrine Syringofibroadenomatosis Presenting as Bilateral Plantar Hyperkeratosis.,Indian J Dermatol,2023-12-17-22-02-40,Figure 5,"Photomicrograph showing staining of eccrine ducts by S100 (S100, ×400)",IJD-60-403-g005
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 1,"Erythematous tumor with a small central ulceration on the right lateral
malleolus",abd-90-03-s1-0235-g01
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 2,"Tumor in greater detail, showing its granular surface and ill-defined edges.",abd-90-03-s1-0235-g02
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 3,"Histopathology showing epidermis-derived, intertwined epithelial cords, ending in
thin projections. Some of these projections have a typical 'crab claw' appearance
(arrow). Between the cords, a rich fibrovascular stroma was present. (HE, 40x)",abd-90-03-s1-0235-g03
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 4,"Light formations of the eccrine ducts were identified within some of the cords
(arrows). (HE, 200x)",abd-90-03-s1-0235-g04
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 5,"A) schematic drawing of the reverse-flow supramalleolar flap,
B) the making of the flap according to the surgical plan,
C) rotation of the flap for coverage of the surgical wound,
D) partial skin graft coverage of the flap donor site",abd-90-03-s1-0235-g05
26312727,PMC4540561,Solitary eccrine syringofibroadenoma--Case Report.,An Bras Dermatol,2023-12-17-22-02-40,FIGURE 6,result observed three months postoperatively,abd-90-03-s1-0235-g06
26937300,PMC4758438,Eccrine syringofibroadenoma (ESFA): a report of two cases.,Dermatol Pract Concept,2023-12-17-22-02-40,Figure 1A.,The lesions slowly extended from the middle of the soles to the heels and medial part of the feet. [Copyright: ©2016 Temnithikul et al.],dp0601a03g001a
26937300,PMC4758438,Eccrine syringofibroadenoma (ESFA): a report of two cases.,Dermatol Pract Concept,2023-12-17-22-02-40,Figure 1B.,Histopathologic findings. [Copyright: ©2016 Temnithikul et al.],dp0601a03g001b
26937300,PMC4758438,Eccrine syringofibroadenoma (ESFA): a report of two cases.,Dermatol Pract Concept,2023-12-17-22-02-40,Figure 1C.,Histopathologic findings. [Copyright: ©2016 Temnithikul et al.],dp0601a03g001c
