pmid,pmcid,title,journal,insert_time,has_targz
12784970,PMC2588787,"Vulvar syringoma, report of a case and review of the literature.",Yale J Biol Med,2023-12-17-22-02-41,True
17326243,PMC2628001,Syringoma: a clinicopathologic and immunohistologic study and results of treatment.,Yonsei Med J,2023-12-17-22-02-41,True
18452276,PMC2615316,Cutaneous syringoma: the status of hormonal receptors.,Yonsei Med J,2023-12-17-22-02-41,True
20049275,PMC2800876,Generalized eruptive syringomas.,Indian J Dermatol,2023-12-17-22-02-41,True
21572788,PMC3088931,"A clinico-histopathological study of appendageal skin tumors, affecting head and neck region in patients attending the dermatology opd of a tertiary care centre in eastern India.",Indian J Dermatol,2023-12-17-22-02-41,True
21716554,PMC3108528,Hyaline cell-rich chondroid syringoma of the finger.,Indian J Dermatol,2023-12-17-22-02-41,True
21941560,PMC3173968,Rapidly growing chondroid syringoma of the external auditory canal: report of a rare case.,Case Rep Med,2023-12-17-22-02-41,True
22355740,PMC3259128,Origin and differentiation of breast nipple syringoma.,Sci Rep,2023-12-17-22-02-41,True
22400975,PMC3375201,Benign chondroid syringoma of the orbit: a rare cause of exophtalmos.,Head Face Med,2023-12-17-22-02-41,True
23112529,PMC3483590,Chondroid syringoma: a diagnosis by fine needle aspiration cytology.,J Cutan Aesthet Surg,2023-12-17-22-02-41,True
23130299,PMC3481874,Vulval Syringoma: First report of a case in an Egyptian female.,Indian Dermatol Online J,2023-12-17-22-02-41,True
23188940,PMC3505290,Rare sweat gland tumors of vulva: Report of two cases.,Indian J Sex Transm Dis AIDS,2023-12-17-22-02-41,True
23275227,PMC3555002,Chondroid syringoma: a rare lid tumor.,Indian J Ophthalmol,2023-12-17-22-02-41,True
23476847,PMC3586475,Facial localization of malignant chondroid syringoma: a rare case report.,Case Rep Oncol Med,2023-12-17-22-02-41,True
23483813,PMC3591028,Chondroid syringoma with extensive ossification.,Ann Maxillofac Surg,2023-12-17-22-02-41,True
23569386,PMC3615882,Syringocystadenoma papilliferum in the right lower abdomen: a case report and review of literature.,Onco Targets Ther,2023-12-17-22-02-41,True
23716819,PMC3657229,Chondroid syringoma: a case with unusual cytological findings.,Indian J Dermatol,2023-12-17-22-02-41,True
23723512,PMC3667324,Giant chondroid syringoma radiologically mimicking malignancy.,Indian J Dermatol,2023-12-17-22-02-41,True
23919023,PMC3726900,Cutaneous syringoma: a clinicopathologic study of 34 new cases and review of the literature.,Indian J Dermatol,2023-12-17-22-02-41,True
23984246,PMC3752488,A rare case of malignant chondroid syringoma of scalp.,Indian Dermatol Online J,2023-12-17-22-02-41,True
24069540,PMC3771476,Vulvar nonclear cell syringoma associated with pruritus and diabetes mellitus.,Case Rep Dermatol Med,2023-12-17-22-02-41,True
24083150,PMC3783667,Giant chondroid syringoma with divergent differentiation: Cyto-histo-immuno correlation.,Int J Appl Basic Med Res,2023-12-17-22-02-41,True
24474117,PMC3900359,Case for diagnosis. Chondroid syringoma.,An Bras Dermatol,2023-12-17-22-02-41,True
24744935,PMC3972857,Chondroid syringoma of the medial canthus.,Case Rep Otolaryngol,2023-12-17-22-02-41,True
24966995,PMC4059222,Surgical excision of multiple penile syringomas with scrotal flap reconstruction.,Eplasty,2023-12-17-22-02-41,True
25284863,PMC4171926,Chondroid syringoma of the forearm: a case report of a rare localization.,Indian J Dermatol,2023-12-17-22-02-41,True
25386294,PMC4211507,Unilateral linear syringoma in a Japanese female: dermoscopic differentiation from lichen planus linearis.,Dermatol Reports,2023-12-17-22-02-41,True
25538390,PMC4274532,Fine-needle aspiration cytology of chondroid syringoma of fore arm: Report of a rare case.,J Cytol,2023-12-17-22-02-41,True
25814740,PMC4372944,Generalized eruptive syringoma.,Indian J Dermatol,2023-12-17-22-02-41,True
26171105,PMC4470423,Chondroid Syringoma: A Case Report.,Eplasty,2023-12-17-22-02-41,True
26273149,PMC4530143,Protease-Activated Receptor-2 Is Associated with Terminal Differentiation of Epidermis and Eccrine Sweat Glands.,Ann Dermatol,2023-12-17-22-02-41,True
26288433,PMC4533563,Unilateral Ulcerating Clear-Cell Syringomas Involving Left Groin in a Non-Diabetic Woman - Report of a Rare Presentation.,Indian J Dermatol,2023-12-17-22-02-41,True
26312728,PMC4540562,Late-onset of eruptive syringomas: a diagnostic challenge.,An Bras Dermatol,2023-12-17-22-02-41,True
26351426,PMC4560314,Incidental Syringomas of the Scalp in a Patient with Scarring Alopecia.,Case Rep Dermatol,2023-12-17-22-02-41,True
26430319,PMC4579620,Malignant chondroid syringoma of the pinna.,Indian J Nucl Med,2023-12-17-22-02-41,True
26865793,PMC4728910,Chondroid Syringoma of the Philtral Dimple.,J Cutan Aesthet Surg,2023-12-17-22-02-41,True
26904190,PMC4720717,Rare benign mixed tumour of the upper lip: A case report.,Ann Med Surg (Lond),2023-12-17-22-02-41,True
27047567,PMC4818383,Benign Vulvar Adnexal Tumours - A 5 year Study in a Tertiary Care Hospital.,J Family Reprod Health,2023-12-17-22-02-41,True
27057500,PMC4804586,Generalized eruptive syringoma: A clinical dilemma.,Indian Dermatol Online J,2023-12-17-22-02-41,True
27279688,PMC4881401,Emphasizing the pivotal role of fine-needle aspiration cytology in a case of recurrent malignant chondroid syringoma.,J Cytol,2023-12-17-22-02-41,True
27372026,PMC4929341,Malignant chondroid syringoma in a West African cancer institute: A case report.,Int J Surg Case Rep,2023-12-17-22-02-41,True
27757344,PMC5055010,Retroauricular Pleomorphic Adenoma Arising from Heterotopic Salivary Gland Tissue.,Plast Reconstr Surg Glob Open,2023-12-17-22-02-41,True
28761852,PMC5518587,A Case of Eruptive Syringoma Mimicking Plane Warts.,Indian Dermatol Online J,2023-12-17-22-02-41,True
28913219,PMC5556795,Microcystic Adnexal Carcinoma Misdiagnosed as Desmoplastic Trichoepithelioma on Preoperative Biopsy.,Arch Craniofac Surg,2023-12-17-22-02-41,True
28913251,PMC5556721,Recurrent Chondroid Syringoma of the Alar Rim.,Arch Craniofac Surg,2023-12-17-22-02-41,True
28913278,PMC5556809,Chondroid Syringoma on Face.,Arch Craniofac Surg,2023-12-17-22-02-41,True
28971181,PMC5613271,Coexistence of eruptive syringoma and bilateral nipple vitiligo: Could there be a common immunopathogenesis?,North Clin Istanb,2023-12-17-22-02-41,True
29118702,PMC5662976,Plaque-Type Syringoma: A Case Report.,Case Rep Dermatol,2023-12-17-22-02-41,True
29267461,PMC5726692,Melanoma in situ and syringoma: a rare collision tumor. Clinical-pathological report of a case.,An Bras Dermatol,2023-12-17-22-02-41,True
29384887,PMC5805459,A rare large cutaneous chondroid syringoma involving a toe: A case report.,Medicine (Baltimore),2023-12-17-22-02-41,True
29881510,PMC5989174,Penile eruptive syringoma.,Pan Afr Med J,2023-12-17-22-02-41,True
30345273,PMC6180261,Hyaline Cell-Rich Apocrine Mixed Tumor with Cytologic Atypia.,Dermatopathology (Basel),2023-12-17-22-02-41,True
30498290,PMC6210812,Cyto-Histopathological Correlation of Skin Adnexal Tumors: A Short Series.,J Cytol,2023-12-17-22-02-41,True
30651687,PMC6306603,Benign chondroid syringoma affecting the upper lip: Report of a rare case and review of literature.,J Oral Maxillofac Pathol,2023-12-17-22-02-41,True
