pmcid,label,caption,graphic,disease,modality
PMC2628001,Fig. 1,Age of onset distribution of 61 cases of syringoma patients shows two peaks in 3rd and 5th decades.,ymj-48-35-g001,Match,NotMatch
PMC2800876,Figure 1,Multiple skin-to tan-colored flat topped papules on the upper abdomen and anterior chest,IJD-54-65-g001,NotMatch,NotMatch
PMC2800876,Figure 2,"Section showing collections of cystic ducts and some epithelial cords with comma-like tails (H & E, ×240)",IJD-54-65-g002,NotMatch,Match
PMC2800876,Figure 3,Multiple skin- to tan-colored flat topped papules on the thighs,IJD-54-65-g003,NotMatch,NotMatch
PMC2800876,Figure 4,Multiple skin- to tan-colored flat topped papules on the anterior chest,IJD-54-65-g004,NotMatch,NotMatch
PMC2800876,Figure 5,Multiple skin- to tan-colored flat topped papules on the forearm,IJD-54-65-g005,NotMatch,NotMatch
PMC2800876,Figure 6,"Section, showing collections of cystic ducts and some epithelial cords with comma-like tails (H & E, ×80)",IJD-54-65-g006,NotMatch,Match
PMC3108528,Figure 1,(a)Well-circumscribed proliferation of epithelial cells interspersed with foci of fibrous and myxoid stroma (H and E; 100×) b: Proliferation of epithelial cells interspersed with foci of fibrous and myxoid stroma (H and E; 400×),IJD-56-217-g001,NotMatch,NotMatch
PMC3108528,Figure 2,Broad sheets of plasmacytoid ‘hyaline cells’ (H and E; 400×),IJD-56-217-g002,NotMatch,NotMatch
PMC3108528,Figure 3,Tubuloalveolar structures lined by bi layered epithelium (H and E; 400×),IJD-56-217-g003,NotMatch,NotMatch
PMC3088931,Figure 1,The bar diagram showing the site of occurrence of different appendageal tumors. (It is to be noted that there were patients with more than one site of affection.),IJD-56-33-g003,NotMatch,NotMatch
PMC3088931,Figure 2,"(a) Syringoma in a 26-year-old female;(b) Histopathology of syringoma showing cords of epithelial cells resembling tadpole (H & E stain, 100×).",IJD-56-33-g004,Match,Match
PMC3088931,Figure 3,"(a) Multiple trichoepitheliomas over the nasolabial fold in 30-year-old male; (b) Histopathology of trichoepithelioma showing variably sized tumor masses with cribriform appearance and horn cyst (H & E stain, 100×)",IJD-56-33-g005,NotMatch,Match
PMC3088931,Figure 4,"(a) Syringocystadenoma papilliferum over a pre-existing nevus-sebaceous; (b) Histopathology of syringocystadenoma papilliferum showing cystic invagination of surface epithelium with papillary folds (H & E stain, 100×)",IJD-56-33-g006,NotMatch,Match
PMC3088931,Figure 5,"(a) Sebaceous hyperplasia in a 28-year-old male; (b) Histopathology of sebaceous hyperplasia large mature sebaceous lobules (H & E stain, 400×)",IJD-56-33-g007,NotMatch,Match
PMC3088931,Figure 6,"(a) Multiple vellus hair cyst on the forehead of a 35-year-old male; (b) Histopathology of multiple vellus hair cyst showing cystic structure in the dermis with hair shafts and keratin material in the lumen (H & E stain, 50×).",IJD-56-33-g008,NotMatch,Match
PMC3375201,Figure 1,"(A): Cranial CT scan demontrated an intra-orbital tumor, well circumscribed with homogeneous enhancement without bone erosion. (B, C and D): MRI showed a round mass that was extraconal, isointensity on T1-weighted imaging, slightly hyperintensity on T2-weighted imaging and enhanced after intravenous contrast administration.",1746-160X-8-8-1,NotMatch,NotMatch
PMC3375201,Figure 2,"(a): gross pathologic analysis revealed well-encapsulated tan tissue measuring 2 × 3 × 1,5 cm. No areas of hemorrhage or necrosis were noted. (b): a photomicrograph of the surgical specimen shows an encapsulated proliferation of nonbranching ducts set in chondromyxoid stroma. (hematoxylin and eosin stain, ×100). (c): postoperative CT image schows complete removal with good orbital reconstruction.",1746-160X-8-8-2,NotMatch,Match
PMC3483590,Figure 1,This clinical photograph shows a small subcutaneous nodule over the mastoid region. (Two punctuation marks are post FNAC marks),JCAS-5-222-g001,NotMatch,NotMatch
PMC3483590,Figure 2,"(a) Cellular smear shows relatively small, bland, monomorphic epithelial cells embedded in the myxoid ground substance (MGG, × 40); (b) The MGG stain highlights the fibrillary nature of the metachromatic chondromyxoid ground substance (MGG, × 40)",JCAS-5-222-g002,NotMatch,NotMatch
