pmcid,figure_name,width,height
PMC2628001,ymj-48-35-i001.jpg,610,407
PMC2628001,ymj-48-35-i002.jpg,613,169
PMC2628001,ymj-48-35-g001.jpg,571,679
PMC3088931,IJD-56-33-g005.jpg,740,394
PMC3088931,IJD-56-33-g003.jpg,744,391
PMC3088931,IJD-56-33-g001.jpg,774,91
PMC3088931,IJD-56-33-g007.jpg,745,289
PMC3088931,IJD-56-33-g004.jpg,742,325
PMC3088931,IJD-56-33-g006.jpg,742,292
PMC3088931,IJD-56-33-g002.jpg,774,178
PMC3088931,IJD-56-33-g008.jpg,743,301
PMC2800876,IJD-54-65-g001.jpg,527,454
PMC2800876,IJD-54-65-g002.jpg,543,683
PMC2800876,IJD-54-65-g004.jpg,561,454
PMC2800876,IJD-54-65-g005.jpg,533,455
PMC2800876,IJD-54-65-g006.jpg,543,683
PMC2800876,IJD-54-65-g003.jpg,510,454
PMC3108528,IJD-56-217-g003.jpg,774,561
PMC3108528,IJD-56-217-g002.jpg,779,585
PMC3108528,IJD-56-217-g001.jpg,646,234
PMC3375201,1746-160X-8-8-2.jpg,600,187
PMC3375201,1746-160X-8-8-1.jpg,600,502
PMC3483590,JCAS-5-222-g004.jpg,674,506
PMC3483590,JCAS-5-222-g003.jpg,605,226
PMC3483590,JCAS-5-222-g001.jpg,600,448
PMC3483590,JCAS-5-222-g002.jpg,605,224
PMC3259128,srep00226-f2.jpg,630,778
PMC3259128,srep00226-f4.jpg,630,715
PMC3259128,srep00226-f1.jpg,630,860
PMC3259128,srep00226-f3.jpg,630,842
PMC3481874,IDOJ-3-157-g001.jpg,632,860
PMC3481874,IDOJ-3-157-g002.jpg,579,433
PMC3481874,IDOJ-3-157-g003.jpg,741,548
PMC3505290,IJSTD-33-124-g005.jpg,514,538
PMC3505290,IJSTD-33-124-g003.jpg,717,538
PMC3505290,IJSTD-33-124-g006.jpg,726,538
PMC3505290,IJSTD-33-124-g001.jpg,365,539
PMC3505290,IJSTD-33-124-g004.jpg,401,535
PMC3505290,IJSTD-33-124-g002.jpg,365,538
PMC3555002,IJO-61-43-g002.jpg,742,536
PMC3555002,IJO-61-43-g001.jpg,743,537
PMC3173968,CRIM2011-589680.003.jpg,600,488
PMC3173968,CRIM2011-589680.004.jpg,600,487
PMC3173968,CRIM2011-589680.002.jpg,600,637
PMC3173968,CRIM2011-589680.001.jpg,600,482
PMC3173968,CRIM2011-589680.005.jpg,600,488
PMC3586475,CRIM.ONCMED2013-907980.001.jpg,600,379
PMC3586475,CRIM.ONCMED2013-907980.002.jpg,600,1107
PMC3591028,AMS-1-91-g003.jpg,709,567
PMC3591028,AMS-1-91-g002.jpg,582,567
PMC3591028,AMS-1-91-g001.jpg,582,567
PMC3615882,ott-6-233Fig2.jpg,633,236
PMC3615882,ott-6-233Fig1.jpg,633,474
PMC3657229,IJD-58-157e-g001.jpg,741,213
PMC3657229,IJD-58-157e-g003.jpg,670,488
PMC3657229,IJD-58-157e-g002.jpg,652,488
PMC3667324,IJD-58-245a-g003.jpg,504,538
PMC3667324,IJD-58-245a-g005.jpg,718,538
PMC3667324,IJD-58-245a-g004.jpg,715,538
PMC3667324,IJD-58-245a-g001.jpg,713,537
PMC3667324,IJD-58-245a-g006.jpg,716,538
PMC3667324,IJD-58-245a-g002.jpg,469,533
PMC3752488,IDOJ-4-236-g002.jpg,545,408
PMC3752488,IDOJ-4-236-g003.jpg,558,700
PMC3752488,IDOJ-4-236-g004.jpg,545,374
PMC3752488,IDOJ-4-236-g001.jpg,723,873
PMC3726900,IJD-58-326e-g007.jpg,742,507
PMC3726900,IJD-58-326e-g013.jpg,742,523
PMC3726900,IJD-58-326e-g010.jpg,720,538
PMC3726900,IJD-58-326e-g011.jpg,741,524
PMC3726900,IJD-58-326e-g005.jpg,743,536
PMC3726900,IJD-58-326e-g009.jpg,741,443
PMC3726900,IJD-58-326e-g003.jpg,558,351
PMC3726900,IJD-58-326e-g004.jpg,560,420
PMC3726900,IJD-58-326e-g008.jpg,741,517
PMC3726900,IJD-58-326e-g012.jpg,741,522
PMC3726900,IJD-58-326e-g001.jpg,1157,1006
PMC3726900,IJD-58-326e-g006.jpg,744,542
PMC3726900,IJD-58-326e-g002.jpg,560,675
PMC3900359,abd-88-06-0997-g02.jpg,600,363
PMC3900359,abd-88-06-0997-g03.jpg,600,295
PMC3900359,abd-88-06-0997-g01.jpg,600,489
PMC3771476,CRIM.DM2013-418794.002.jpg,600,460
PMC3771476,CRIM.DM2013-418794.001.jpg,600,528
PMC3783667,IJABMR-3-129-g003.jpg,742,277
PMC3783667,IJABMR-3-129-g001.jpg,742,553
PMC3783667,IJABMR-3-129-g002.jpg,742,555
PMC4171926,IJD-59-507-g003.jpg,438,403
PMC4171926,IJD-59-507-g002.jpg,556,361
PMC4171926,IJD-59-507-g001.jpg,556,398
PMC4211507,dr-2011-3-e42-g001.jpg,683,1432
PMC4274532,JCytol-31-171-g002.jpg,460,361
PMC4274532,JCytol-31-171-g001.jpg,239,361
PMC4372944,IJD-60-214a-g002.jpg,740,504
PMC4372944,IJD-60-214a-g001.jpg,741,304
PMC3972857,CRIOT2014-158527.003.jpg,600,459
PMC3972857,CRIOT2014-158527.006.jpg,600,459
PMC3972857,CRIOT2014-158527.008.jpg,600,458
PMC3972857,CRIOT2014-158527.005.jpg,600,459
PMC3972857,CRIOT2014-158527.007.jpg,600,458
PMC3972857,CRIOT2014-158527.001.jpg,600,459
PMC3972857,CRIOT2014-158527.002.jpg,600,461
PMC3972857,CRIOT2014-158527.004.jpg,600,458
PMC4470423,eplasty15ic30_fig1.jpg,430,1059
PMC4533563,IJD-60-420f-g001.jpg,782,586
PMC4533563,IJD-60-420f-g003.jpg,782,586
PMC4533563,IJD-60-420f-g002.jpg,784,586
PMC4533563,IJD-60-420f-g004.jpg,782,586
PMC4530143,ad-27-364-g002.jpg,789,289
PMC4530143,ad-27-364-g001.jpg,789,581
PMC4530143,ad-27-364-g003.jpg,788,893
PMC4540562,abd-90-03-s1-0242-g01.jpg,771,597
PMC4540562,abd-90-03-s1-0242-g02.jpg,771,282
PMC4560314,cde-0007-0171-g01.jpg,789,559
