pmid,pmcid,title,journal,insert_time,has_targz
16287511,PMC1310517,Cytokine responses during chronic denervation.,J Neuroinflammation,2023-12-17-22-15-41,True
17554193,PMC2627419,Traumatic neuroma around the celiac trunk after gastrectomy mimicking a nodal metastasis: a case report.,Korean J Radiol,2023-12-17-22-15-41,True
19126190,PMC2631532,Neuroma of a double gallbladder: a case report.,Cases J,2023-12-17-22-15-41,True
21887004,PMC3162863,Oral traumatic neuroma with mature ganglion cells: A case report and review of the literature.,J Oral Maxillofac Pathol,2023-12-17-22-15-41,True
22330690,PMC3296625,Traumatic neuroma in a patient with breast cancer after mastectomy: a case report and review of the literature.,World J Surg Oncol,2023-12-17-22-15-41,True
23637668,PMC3623102,Traumatic neuroma in continuity injury model in rodents: a preliminary report.,Evid Based Spine Care J,2023-12-17-22-15-41,True
24350162,PMC3860672,Spontaneous radial nerve palsy subsequent to non-traumatic neuroma.,Trauma Mon,2023-12-17-22-15-41,True
24380072,PMC3873321,Cone beam CT findings of retromolar canals: Report of cases and literature review.,Imaging Sci Dent,2023-12-17-22-15-41,True
24724117,PMC3927670,Mucocele accompanied by a traumatic neuroma: a case report.,J Dent (Shiraz),2023-12-17-22-15-41,True
25136440,PMC4134868,Traumatic neuroma of the mandible: A case report with spontaneous remission.,J Clin Exp Dent,2023-12-17-22-15-41,True
25276318,PMC4178271,"Squamoid cystosis of pancreatic ducts: a variant of a newly-described cystic lesion, with evidence for an obstructive etiology.",Rare Tumors,2023-12-17-22-15-41,True
25489531,PMC4236993,The healing effect of silicone gel on sciatic nerve injuries in experimental rat.,World J Plast Surg,2023-12-17-22-15-41,True
25972959,PMC4421965,Rare case report of Traumatic neuroma of anterior superior alveolar nerve associated with high frenal attachment.,Asian J Neurosurg,2023-12-17-22-15-41,True
26092572,PMC5193054,Case report of a traumatic rectal neuroma.,Gastroenterol Rep (Oxf),2023-12-17-22-15-41,True
26131873,PMC4516113,Traumatic neuroma of the penis after circumcision--Case report.,An Bras Dermatol,2023-12-17-22-15-41,True
26816636,PMC4669023,Promotion of peripheral nerve regeneration and prevention of neuroma formation by PRGD/PDLLA/β-TCP conduit: report of two cases.,Regen Biomater,2023-12-17-22-15-41,True
27165640,PMC4863315,A diffuse traumatic neuroma in the palate: a case report.,J Med Case Rep,2023-12-17-22-15-41,True
27234319,PMC5005295,Penile Traumatic Neuroma: A Late Complication of Penile Dorsal Neurotomy to Treat Premature Ejaculation.,Sex Med,2023-12-17-22-15-41,True
27298917,PMC4719255,Post-traumatic Median Nerve Neuroma in Wrist. A Case Report and brief review of Literature.,J Orthop Case Rep,2023-12-17-22-15-41,True
27302763,PMC4940206,Histopathological Characterization of Tail Injury and Traumatic Neuroma Development after Tail Docking in Piglets.,J Comp Pathol,2023-12-17-22-15-41,True
27567272,PMC5637302,"Corrigendum to ""Histopathological Characterization of Tail Injury and Traumatic Neuroma Development after Tail Docking in Piglets"" [J Comp Pathol 155 (1) (2016) 40-49].",J Comp Pathol,2023-12-17-22-15-41,True
27613606,PMC5018173,Traumatic neuroma of the superficial peroneal nerve in a patient: a case report and review of the literature.,World J Surg Oncol,2023-12-17-22-15-41,True
28178983,PMC5299774,Management of painful clitoral neuroma after female genital mutilation/cutting.,Reprod Health,2023-12-17-22-15-41,True
28239543,PMC5315432,Endobronchial neurogenic tumor: A combination of traumatic neuroma and neurofibroma.,Respir Med Case Rep,2023-12-17-22-15-41,True
28265395,PMC5331255,Orbital rhabdomyosarcoma and traumatic neuroma following enucleation for a uveal schwannoma in a dog: a case report.,Clin Case Rep,2023-12-17-22-15-41,True
28774160,PMC5964281,Post-transplant Amputation Traumatic Neuroma of the Hilum and Extrahepatic Duct in a Liver Donor.,J Pathol Transl Med,2023-12-17-22-15-41,True
28915703,PMC5593675,Treatments of traumatic neuropathic pain: a systematic review.,Oncotarget,2023-12-17-22-15-41,True
