pmcid,figure_name,width,height
PMC2631532,1757-1626-2-11-1.jpg,348,263
PMC2631532,1757-1626-2-11-2.jpg,600,401
PMC1310517,1742-2094-2-26-4.jpg,600,748
PMC1310517,1742-2094-2-26-3.jpg,600,774
PMC1310517,1742-2094-2-26-2.jpg,600,202
PMC1310517,1742-2094-2-26-1.jpg,600,272
PMC3162863,JOMFP-13-67-g003.jpg,558,391
PMC3162863,JOMFP-13-67-g001.jpg,557,391
PMC3162863,JOMFP-13-67-g002.jpg,558,391
PMC3296625,1477-7819-10-35-1.jpg,600,453
PMC3296625,1477-7819-10-35-2.jpg,600,453
PMC3860672,traumamon-18-98-g002.jpg,732,300
PMC3860672,traumamon-18-98-g001.jpg,656,243
PMC2627419,kjr-8-242-g001.jpg,579,1305
PMC3873321,isd-43-309-g002.jpg,798,820
PMC3873321,isd-43-309-g001.jpg,735,663
PMC3927670,jds-14-046-g002.jpg,698,264
PMC3927670,jds-14-046-g001.jpg,778,554
PMC3623102,ebsj01052-1.jpg,737,429
PMC3623102,ebsj01052-2.jpg,674,252
PMC3623102,ebsj01052-3.jpg,498,253
PMC4178271,rt-2014-3-5286-g002.jpg,606,227
PMC4178271,rt-2014-3-5286-g001.jpg,500,188
PMC4178271,rt-2014-3-5286-g003.jpg,500,380
PMC4236993,wjps-3-093-g001.jpg,728,912
PMC4134868,jced-6-e317-g002.jpg,752,1093
PMC4134868,jced-6-e317-g001.jpg,752,1110
PMC4134868,jced-6-e317-g003.jpg,797,363
PMC4516113,abd-90-03-0397-g04.jpg,600,820
PMC4516113,abd-90-03-0397-g01.jpg,600,440
PMC4516113,abd-90-03-0397-g02.jpg,600,429
PMC4516113,abd-90-03-0397-g03.jpg,600,819
PMC5193054,gov023f3p.jpg,700,529
PMC5193054,gov023f2p.jpg,678,511
PMC5193054,gov023f1p.jpg,633,476
PMC4421965,AJNS-10-169-g001.jpg,661,586
PMC4421965,AJNS-10-169-g003.jpg,658,586
PMC4421965,AJNS-10-169-g002.jpg,662,586
PMC4669023,rbv006f4p.jpg,640,475
PMC4669023,rbv006f2p.jpg,640,439
PMC4669023,rbv006f3p.jpg,640,222
PMC4669023,rbv006f1p.jpg,640,165
PMC5005295,gr2.jpg,747,271
PMC5005295,gr1.jpg,772,614
PMC4863315,13256_2016_908_Fig2_HTML.jpg,567,424
PMC4863315,13256_2016_908_Fig3_HTML.jpg,358,239
PMC4863315,13256_2016_908_Fig1_HTML.jpg,778,274
PMC4719255,JOCR-3-38-g001.jpg,600,400
PMC4719255,JOCR-3-38-g004.jpg,600,400
PMC4719255,JOCR-3-38-g003.jpg,600,400
PMC4719255,JOCR-3-38-g002.jpg,600,400
PMC5299774,12978_2017_288_Fig3_HTML.jpg,567,212
PMC5299774,12978_2017_288_Fig2_HTML.jpg,358,475
PMC5299774,12978_2017_288_Fig1_HTML.jpg,358,480
PMC4940206,gr2.jpg,787,581
PMC4940206,gr4.jpg,787,580
PMC4940206,gr3.jpg,787,581
PMC4940206,gr5.jpg,787,580
PMC4940206,gr1.jpg,787,286
PMC5018173,12957_2016_990_Fig4_HTML.jpg,358,202
PMC5018173,12957_2016_990_Fig3_HTML.jpg,567,426
PMC5018173,12957_2016_990_Fig2_HTML.jpg,358,236
PMC5018173,12957_2016_990_Fig5_HTML.jpg,472,354
PMC5018173,12957_2016_990_Fig1_HTML.jpg,358,358
PMC5315432,gr1.jpg,787,766
PMC5593675,oncotarget-08-57670-g002.jpg,648,504
PMC5593675,oncotarget-08-57670-g001.jpg,648,422
PMC5964281,jptm-2017-01-20f1.jpg,690,1018
PMC5331255,CCR3-5-300-g002.jpg,709,679
PMC5331255,CCR3-5-300-g001.jpg,709,516
PMC5331255,CCR3-5-300-g003.jpg,709,597
PMC5331255,CCR3-5-300-g004.jpg,709,420
PMC5331255,CCR3-5-300-g005.jpg,709,530
PMC5732010,cureus-0009-00000001781-i03.jpg,636,886
PMC5732010,cureus-0009-00000001781-i01.jpg,678,937
PMC5732010,cureus-0009-00000001781-i02.jpg,753,443
PMC5727004,40792_2017_396_Fig3_HTML.jpg,358,229
PMC5727004,40792_2017_396_Fig2_HTML.jpg,358,199
PMC5727004,40792_2017_396_Fig1_HTML.jpg,567,209
PMC5727004,40792_2017_396_Fig4_HTML.jpg,567,210
PMC6371719,JCAS-11-245-g002.jpg,653,468
PMC6371719,JCAS-11-245-g003.jpg,654,491
PMC6371719,JCAS-11-245-g001.jpg,653,574
PMC6443534,10-1055-s-0039-1685212-i180012-2.jpg,800,475
PMC6443534,10-1055-s-0039-1685212-i180012-1.jpg,800,243
PMC6443534,10-1055-s-0039-1685212-i180012-3.jpg,800,201
PMC6328080,pone.0209491.g003.jpg,740,459
PMC6328080,pone.0209491.g004.jpg,750,360
PMC6328080,pone.0209491.g001.jpg,699,1007
PMC6328080,pone.0209491.g002.jpg,740,526
PMC6485883,medi-98-e15142-g004.jpg,800,277
PMC6485883,medi-98-e15142-g001.jpg,800,508
PMC6485883,medi-98-e15142-g002.jpg,800,552
PMC6485883,medi-98-e15142-g005.jpg,800,467
PMC6485883,medi-98-e15142-g003.jpg,800,252
PMC6687426,cureus-0011-00000004871-i02.jpg,800,658
PMC6687426,cureus-0011-00000004871-i03.jpg,800,657
PMC6687426,cureus-0011-00000004871-i01.jpg,800,311
PMC6728252,ahbps-23-282-g001.jpg,773,701
PMC6728252,ahbps-23-282-i001.jpg,757,507
PMC6728252,ahbps-23-282-g002.jpg,780,202
PMC6776406,jced-11-e721-g001.jpg,761,394
PMC6776406,jced-11-e721-t004.jpg,760,495
PMC6776406,jced-11-e721-t002.jpg,767,559
PMC6776406,jced-11-e721-t001.jpg,766,442
PMC6776406,jced-11-e721-t003.jpg,768,686
PMC6855018,CRIGM2019-8328456.005.jpg,771,442
PMC6855018,CRIGM2019-8328456.006.jpg,710,533
PMC6855018,CRIGM2019-8328456.003.jpg,710,571
PMC6855018,CRIGM2019-8328456.002.jpg,664,486
PMC6855018,CRIGM2019-8328456.004.jpg,710,575
PMC6855018,CRIGM2019-8328456.001.jpg,710,579
PMC6934634,40902_2019_244_Fig2_HTML.jpg,780,268
PMC6934634,40902_2019_244_Fig1_HTML.jpg,709,430
PMC7015600,gox-8-e2383-g002.jpg,666,500
PMC7015600,gox-8-e2383-g001.jpg,800,1201
PMC7569598,ACTA-91-122-g001.jpg,468,636
PMC7569598,ACTA-91-122-g003.jpg,657,504
PMC7569598,ACTA-91-122-g002.jpg,467,644
PMC8380124,CCR3-9-e04619-g002.jpg,709,388
PMC8380124,CCR3-9-e04619-g003.jpg,709,266
PMC8380124,CCR3-9-e04619-g001.jpg,120,45
PMC6047790,pone.0200548.g003.jpg,740,547
PMC6047790,pone.0200548.g004.jpg,628,942
PMC6047790,pone.0200548.g001.jpg,740,381
PMC6047790,pone.0200548.g002.jpg,747,845
PMC6047790,pone.0200548.g005.jpg,740,541
PMC8617452,JIPS-21-430-g002.jpg,539,465
PMC8617452,JIPS-21-430-g001.jpg,539,405
PMC8527191,etm-22-06-10850-g00.jpg,716,970
PMC8527191,etm-22-06-10850-g01.jpg,716,744
PMC8648149,cureus-0013-00000019256-i04.jpg,750,343
PMC8648149,cureus-0013-00000019256-i05.jpg,750,321
PMC8648149,cureus-0013-00000019256-i02.jpg,750,223
PMC8648149,cureus-0013-00000019256-i03.jpg,750,472
PMC8648149,cureus-0013-00000019256-i01.jpg,750,269
PMC8715291,gr2.jpg,666,1127
PMC8715291,gr4.jpg,666,718
PMC8715291,gr3.jpg,666,1374
PMC8715291,gr5.jpg,769,1477
