pmid,pmcid,title,journal,insert_time,has_targz
11417304,PMC4531700,A case of malignant proliferating trichilemmoma of the scalp with multiple metastases.,Korean J Intern Med,2023-12-17-22-03-29,True
25071248,PMC4103265,Human Papillomavirus Deoxyribonucleic Acid may not be Detected in Non-genital Benign Papillomatous Skin Lesions by Polymerase Chain Reaction.,Indian J Dermatol,2023-12-17-22-03-29,True
25184920,PMC4155959,A rare clinical presentation of Desmoplastic Trichilemmoma mimicking Invasive Carcinoma.,An Bras Dermatol,2023-12-17-22-03-29,True
26114053,PMC4462900,Trichilemmoma in continuity with pigmented basal cell carcinoma; with dermatoscopy and dermatopathology.,Dermatol Pract Concept,2023-12-17-22-03-29,True
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-03-29,True
26734858,PMC4689065,Benign follicular tumors.,An Bras Dermatol,2023-12-17-22-03-29,True
28578364,PMC6150578,Xeroderma pigmentosum at a tertiary care center in Saudi Arabia.,Ann Saudi Med,2023-12-17-22-03-29,True
28913303,PMC5556743,"Simultaneous Development of Three Different Neoplasms of Trichilemmoma, Desmoplastic Trichilemmoma and Basal Cell Carcinoma Arising from Nevus Sebaceus.",Arch Craniofac Surg,2023-12-17-22-03-29,True
29364442,PMC5786400,Rare desmoplastic trichilemmoma associated with sebaceous nevus.,An Bras Dermatol,2023-12-17-22-03-29,True
31304849,PMC6726769,Desmoplastic trichilemmoma of the scalp: case report and literature review of immunohistochemical staining features.,J Int Med Res,2023-12-17-22-03-29,True
32477993,PMC7247632,Trichilemmoma Coexisting with Sebaceous Nevus.,Indian Dermatol Online J,2023-12-17-22-03-29,True
32617416,PMC7319780,Eyelid skin trichilemmoma and underlying local malignancy: is an aggressive treatment necessary?,BMJ Open Ophthalmol,2023-12-17-22-03-29,True
32854184,PMC7583597,Clear Cell Acanthoma: A Review of Clinical and Histologic Variants.,Dermatopathology (Basel),2023-12-17-22-03-29,True
34386506,PMC8353102,PTEN Hamartoma Tumor Syndrome: Skin Manifestations and Insights Into Their Molecular Pathogenesis.,Front Med (Lausanne),2023-12-17-22-03-29,True
35173451,PMC8835982,Trichilemmoma Arising in a Sebaceous Nevus Successfully Treated with Cryotherapy.,Clin Cosmet Investig Dermatol,2023-12-17-22-03-29,True
35198703,PMC8841502,Congenital tumors arising from nevus sebaceous in 2 neonates.,JAAD Case Rep,2023-12-17-22-03-29,True
35350087,PMC9081419,Development of seven secondary neoplasms in a nevus sebaceous: a case report and literature review.,Arch Craniofac Surg,2023-12-17-22-03-29,True
36196321,PMC9525134,Neurofibroma Within a Nevus Sebaceus: A Case Report.,Cureus,2023-12-17-22-03-29,True
37275796,PMC10238983,"Expression of BerEP4 and CD10 IHC Markers in Basal Cell Carcinoma, Squamous Cell Carcinoma and Adnexal Tumours of Follicular Differentiation: A Comparative Study.",Indian J Dermatol,2023-12-17-22-03-29,True
37680909,PMC10481842,A young female of Cowden syndrome presenting with Lhermitte-Duclos disease: An illustrative case.,Surg Neurol Int,2023-12-17-22-03-29,True
