pmcid,label,caption,graphic
PMC4531700,Figure 1.,"Brain CT shows a relatively iso-dense lobulated mass at the outside of the skull in the right occipital area without intracranial involvement. However, tumor invasion to the periosteum and bone is questionable.",kjim-16-1-40-8f1
PMC4531700,Figure 2.,"A. Brain CT shows a right superior cerebral, right inferior temporal-parietal parenchymal mass and a left superior scalp mass.B. Chest CT shows an enhancing mass in the right side of the pulmonary artery.",kjim-16-1-40-8f2
PMC4531700,Figure 3.,"A,B : The mass lesion in skull and chest has much improved as compared to the previous CT scan.",kjim-16-1-40-8f3
PMC4531700,Figure 4.,The epithelium in the center of the lobules abruptly changes into eosinophilic amorphous keratin(trichilemmal keratinization) (H-E stain × 200).,kjim-16-1-40-8f4
PMC4531700,Figure 5.,"The tumor consists of irregular shaped lobules of squamous epithelium. (H-E strain, × 100).",kjim-16-1-40-8f5
PMC4103265,Figure 1,"Gel electrophoresis (7 is the positive control, 8 is a negative control, 6 is the block of 88-775 (wart) 1,5,9 are seborrheic keratosis (negative result), 2,10,11 are nevus sebaceous (negative result), 3,4 are inverted follicular keratosis (negative result), 12 is trichilemmoma (negative result))",IJD-59-334-g002
PMC4103265,Figure 2,"Gel electrophoresis (1 is a negative control, 2 is a positive control, 3,4,10 are inverted follicular keratosis negative result, 5,6,7,13 are seborrheic keratosis (negative result), 8,11,12 are nevus sebaceous (negative result) 9 is trichilemmoma (negative result))",IJD-59-334-g003
PMC4155959,FIGURE 1,"Erythematous growth with shiny edges and central ulceration, measuring
approximately 2 cm along its biggest diameter in the right retroauricular
region",abd-89-05-0796-g01
PMC4155959,FIGURE 2,Detail of lesion in the right retroauricular region,abd-89-05-0796-g02
PMC4155959,FIGURE 3,"HE. 40x. Panoramic view, evidencing the connection of the lesion to a hair
follicle",abd-89-05-0796-g03
PMC4155959,FIGURE 4,"HE 400x. Histological aspect of clear cells, with the peripheral palisade",abd-89-05-0796-g04
PMC4155959,FIGURE 5,"HE 40x. Adjacent epidermis with papillomatosis, sebaceous hyperplasia",abd-89-05-0796-g05
PMC4155959,FIGURE 6,"HE 400x. Epithelial basaloid projections of epidermis, involved by fibroblasts",abd-89-05-0796-g06
PMC4462900,Figure 1.,Clinical image of a focally pigmented nodular lesion on the left cheek of a 75-year-old man. [Copyright: ©2015 Al Kaptan et al.],dp0502a08g001
PMC4462900,Figure 2.,"Dermatoscopy images (polarized left, non-polarized right) of the lesion shown in Figure 1. There is a focal pigmented macular component with lines radial converging and a larger non-pigmented nodule with a radial arrangement of vessels peripherally and a centered arrangement of vessels centrally. [Copyright: ©2015 Al Kaptan et al.]",dp0502a08g002
PMC4462900,Figure 3A and B.,"Dermatopathology images of the lesion shown in figures 1 and 2. A1: Low power view of the trichilemmoma component showing a well-circumscribed, sharply demarcated lesion with surface papillomatosis, three horn cysts and a degree of desmoplasia centrally. A2: Higher power view) shows a thickened basement membrane (black arrow), peripheral palisading (yellow arrow) and clear cells (green arrow). B1: Low power view of the BCC component showing superficial BCC at the dermo-epidermal junction. B2: Higher power view of the BCC with low light, showing melanin pigment (arrow). [Copyright: ©2015 Al Kaptan et al.]",dp0502a08g003
PMC4894790,FIGURE 1,"GATA3 expression in normal skin. Epidermis (×200): positive staining for GATA3 is present in the basal and spinous layers of the epidermis but is absent in the granular cell layer. Pilosebaceous unit (×100): positive staining for GATA3 is seen in both the outer root sheath of the hair follicle and in the sebaceous glands. Hair bulb and root sheath (×100): strong positive staining for GATA3 is present in some layers of the inner root sheath, with less intense staining also present in the outer root sheath, whereas the matrix cells of the hair bulb are negative for GATA3. Sweat glands (×200): apocrine glands (left) exhibit positive staining for GATA3, whereas eccrine glands (right) are negative for GATA3.",ajd-37-0885-g001
PMC4894790,FIGURE 2,"GATA3 expression in benign cutaneous epithelial neoplasms. Positive staining for GATA3 is demonstrated in these examples of trichofolliculoma (×200), sebaceous adenoma (×200), and hidradenoma papilliferum (×200), whereas the spiradenoma (×200) is negative for GATA3.",ajd-37-0885-g003
PMC4894790,FIGURE 3,"GATA3 expression in malignant cutaneous epithelial neoplasms. Positive staining for GATA3 is demonstrated in these examples of basal cell carcinoma (×200), apocrine carcinoma (×200), and mucinous carcinoma (×200), whereas the adenoid cystic carcinoma (×200) is negative for GATA3.",ajd-37-0885-g005
PMC6150578,Figure 1,Clinical presentation of some patients with xeroderma pigmentosum. All showing multiple lentigines. White arrow: basal cell carcinoma; Black arrow: actinic cheilitis; Red arrow: hypertrophic actinic keratosis and squamous cell carcinoma,asm-37-3-240-g001
PMC5786400,Figure 1,Erythematous and keratotic nodule arising from the nevus sebaceous,abd-92-06-0836-g01
PMC5786400,Figure 2,"Proliferation of cells with clear cytoplasm in the midst of epidermal
hyperplasia (Hematoxylin & eosin, X40)",abd-92-06-0836-g02
PMC5786400,Figure 3,"Cytoarchitectural features of the neoplasia: cells exhibiting trichilemal
differentiation in a desmoplastic stroma (Hematoxylin & eosin,
X400)",abd-92-06-0836-g03
PMC4689065,Figure 1:,"Different segments of the hair follicle. A. Infundibulum.
Keratinization similar to the epidermis, including a granular layer and
basket-weave orthokeratosis. B. Isthmus. Trichilemmal keratinization,
characterized by absence of granular layer and abrupt compact orthokeratosis.
C. Stem. Pale outer root sheath cells surrounded by a hyaline
membrane. D. Bulb. Closely packed basophilic keratocytes and
interspersed pigmented melanocytes characteristic of the hair matrix",abd-90-06-0780-g01
PMC4689065,Figure 2:,"Pilar sheath acanthoma. A. This is a particularly large and solid example; note
the multilobular architecture. B. Predominantly isthmic differentiation with
abrupt compact keratinization",abd-90-06-0780-g02
PMC4689065,Figure 3,"Trichilemmoma. A. Typical lobular architecture in close relation with the
neighboring hair follicles. B. Detail of the pale cells with a hint of
peripheral palisading and surrounding hyaline membrane. C. Detail of a
desmoplastic trichilemmoma, with sclerotic stroma and apparently infiltrative
architecture. D. CD34 immunohistochemistry, demonstrating positivity in the
tumor cells",abd-90-06-0780-g03
PMC4689065,Figure 4,"Multiple tumors of follicular infundibulum (infundibulomatosis). A. Multiple
hypopigmented macular or slightly papular lesions in the submandibular
region. B. Plate-like proliferation of monomorphous pale keratinocytes,
well-demarcated from the adjacent epidermis. C. PAS stain is positive in the
cells. D. Condensation of elastic fibers around the base of the
proliferation (arrow)",abd-90-06-0780-g04
PMC4689065,Figure 5,"Proliferating trichilemmal cyst/tumor. Partially cystic and solid lesion
with keratinocytes increasing in size from the basal layer to the lumen,
displaying abrupt keratinization without granular layer",abd-90-06-0780-g05
PMC4689065,Figure 6,"Trichoblastoma. A. Basaloid proliferation with dense stroma separated by
clefts from the adjacent dermis. B. Detail of the cellular stroma forming
condensations near the basaloid islands (papillary mesenchymal bodies)",abd-90-06-0780-g06
PMC4689065,Figure 7,"Trichoblastoma. A. Trichoblastoma. A. Basaloid proliferation with dense
stroma separated by clefts from the adjacent dermis. B. Detail of the
cellular stroma forming condensations near the basaloid islands (papillary
mesenchymal bodies)",abd-90-06-0780-g07
PMC4689065,Figure 8,"A. Trichoepithelioma. Basaloid proliferation with abundant infundibular
keratinization; note the dense stroma separated by clefts from the adjacent
dermis. B. Desmoplastic trichoepithelioma. Thin basaloid strands in a dense
stroma, and a few A B keratocysts",abd-90-06-0780-g08
PMC4689065,Figure 9,"Trichogerminoma. A. Well-circumscribed intradermal multinodular lesion
separated from the adjacent dermis by clefts. B. Detail of the “cell balls”
composed of concentrically arranged pale cells surrounded by an outer layer
of darker cells",abd-90-06-0780-g09
PMC4689065,Figure 10,"Pilomatrixoma. A. Nodule on the upper arm of a young patient; lesions are
typically hard upon palpation, and a bluish color, as seen in this example,
is not a rare feature. B. Well circumscribed dermal nodule with a biphasic
appearance (basaloid and eosinophilic areas). C. Sharp transition between
basaloid cells and keratinized strands. D. Detail of ghost cells, in which
only the outline of the nuclei and cytoplasmic borders are discernible",abd-90-06-0780-g10
PMC4689065,Figure 11,"A. Birt-Hogg-Dubé syndrome. Multiple papules distributed on the face and a
larger nodular lesion on the right nasal ala. B. Trichodiscoma. Papule
containing a centrally located dense stroma that pushes the epithelial
component to the periphery; note the small sebaceous lobules (arrows). C.
Fibrofolliculoma. Vertically oriented distorted follicular structure with
thin anastomosing strands surrounded by a dense stroma",abd-90-06-0780-g11
PMC4689065,Figure 12,"Trichofolliculoma. Cystic cavity from which numerous vellus hair follicles
radiate",abd-90-06-0780-g12
PMC6726769,Figure 1.,"A mass lesion around the hairline of the left scalp of a 67-year-old man. A solitary, round, 15-mm neoplasm is present, with hyperplasia in the surrounding area and a small amount of brown pigmentation and crusting at the margin.",10.1177_0300060519859739-fig1
PMC6726769,Figure 2.,"Histopathological examination of skin biopsies. a) The mass is centered with desmoplastic stroma, and surrounded by lobules of epithelial cells (hematoxylin and eosin [H&E] stain, 40×). (continued)b) The tumor is lobulated and continuous with the epidermis (H&E stain, 40×). c) The tumor is composed of small cells and hyaline degeneration in stroma, with focal infiltration of lymphocytes, plasma cells, and eosinophilic granulocytes in the dermis (H&E stain, 100×). d) A few of the tumor cells showing clear cytoplasm with palisading of low columnar cells in the periphery of a tumor lobule surrounded by a thickened basement membrane (H&E stain, 200×). e) Stroma in the center of the mass displaying solid, hyaline degeneration and an eosinophilic pattern, streaked with epithelial cords or islands (H&E stain, 200×). f) Desmoplastic stroma with periodic acid–Schiff (PAS)-positive staining (PAS stain, 200×). g) Desmoplastic stroma with PAS diastase-positive staining (PAS diastase stain, 200×). h) CD34-positive expression on peripheral tumor cell membrane, but not in desmoplastic stroma (immunohistochemistry, 400×). i) Bcl-2 positive expression in tumor cell cytoplasm and membrane (immunohistochemistry, 100×). j) Ber-EP4-negative staining (immunohistochemistry, 200×).",10.1177_0300060519859739-fig2
PMC5556743,Fig. 1,Preoperative appearance. A 4 cm×2.5 cm verrucous nodule in the post auricle arising from the congenital nevus in a 61 year old male patient.,acfs-18-46-g001
PMC5556743,Fig. 2,"Intraoperative view. Following Mohs surgery, the skin defect of 5 cm×3.5 cm was repaired via rotational flap.",acfs-18-46-g002
PMC5556743,Fig. 3,Postoperative appearance. Postoperative photograph showing a mild depressed and erythematous scar without recurrence at 6 months after surgery.,acfs-18-46-g003
PMC5556743,Fig. 4,"Histopathologic findings. (A). Trichilemmoma (asterisk) shows well-defined lobulated proliferation of polyhedral cells with clear or eosinophilic cytoplasm within the open circle (H&E, ×100). (B) Desmoplastic trichilemmoma reveals interdigitating strands of tumor cells in the hyalinized fibrous stroma (vertical arrows) with trichilemmoma (asterisk) (H&E, ×100). (C) Basal cell carcinoma shows elongated branching strands of basaloid cells and keratinocytes in reticulated arrays with hyperpigmentation (horizontal arrows) (H&E, ×100).",acfs-18-46-g004
PMC7319780,Figure 1,"In those without coexisting BCC, 19 patients (57%) did not achieve clear surgical margin for trichilemmoma following the first operation and only seven patients (21%) underwent further surgical intervention to achieve clear margin. Twelve patients (36%) opted to be discharged without clear surgical margin. SOS, Self-referral of symptoms.",bmjophth-2020-000513f01
PMC7319780,Figure 2,"This trichilemmomal lesion displayed clinical features of BCC such as pearly rolled edge, telangiectasia with loss of lashes and was subsequently proven to coexist with BCC.",bmjophth-2020-000513f02
PMC7319780,Figure 3,"Image on the right displays H&E-stained section showing DT indicated by the top black circle and BCC indicated by the lower black circle. (A) H&E. Higher power of DT, showing strands of tumour cells surrounded by pink basement membrane-like material. (B) CD34 immunohistochemistry staining showing positivity in DT (brown colour=positive staining). (C) H&E of higher power of BCC. (D) BerEP4 immunohistochemistry staining showing focal positivity of BCC (brown colour=positive staining) (Images adapted from Ung et al15).",bmjophth-2020-000513f03
PMC7247632,Figure 1,(Original) Well-defined skin-coloured plaque over the scalp with a hyperpigmented verrucous nodule,IDOJ-11-253-g001
PMC7247632,Figure 2,"(Original) Histopathology of excision biopsy showing hyperkeratosis, acanthosis, focal prominence of granular layer. Well-defined collection tumor cells in the dermis. Few sebaceous structures are also seen. (H and E, ×100)",IDOJ-11-253-g002
PMC7247632,Figure 3,"(Original) Histopathology of excision biopsy. Peripheral palisading is notable. (H and E, ×400)",IDOJ-11-253-g003
PMC7247632,Figure 4,"(Original) Histopathology of excision biopsy. Vacuolated tumor cells with thick hyaline cuticle. (H and E, ×400)",IDOJ-11-253-g004
PMC7583597,Figure 1,A dome-shaped lesion exhibits pale keratinocytes with a large perinuclear vacuole reminiscent of trichilemmal differentiation.,dermatopathology-07-00005-g001
PMC7583597,Figure 2,High-power view demonstrating distinct large perinuclear vacuoles and peripheral palisading of basal keratinocytes.,dermatopathology-07-00005-g002
PMC7583597,Figure 3,"With PAS staining, the lesion is sharply demarcated from the normal epidermis, suggesting glycogen accumulation in lesional keratinocytes.",dermatopathology-07-00005-g003
