pmcid,figure_name,width,height
PMC4531700,kjim-16-1-40-8f1.jpg,464,567
PMC4531700,kjim-16-1-40-8f4.jpg,591,358
PMC4531700,kjim-16-1-40-8f2.jpg,591,358
PMC4531700,kjim-16-1-40-8f5.jpg,591,358
PMC4531700,kjim-16-1-40-8f3.jpg,591,358
PMC4103265,IJD-59-334-g003.jpg,556,314
PMC4103265,IJD-59-334-g004.jpg,1157,353
PMC4103265,IJD-59-334-g002.jpg,556,343
PMC4103265,IJD-59-334-g001.jpg,560,191
PMC4155959,abd-89-05-0796-g01.jpg,600,678
PMC4155959,abd-89-05-0796-g05.jpg,600,411
PMC4155959,abd-89-05-0796-g03.jpg,600,389
PMC4155959,abd-89-05-0796-g06.jpg,600,801
PMC4155959,abd-89-05-0796-g04.jpg,600,810
PMC4155959,abd-89-05-0796-g02.jpg,600,666
PMC4462900,dp0502a08g001.jpg,666,476
PMC4462900,dp0502a08g002.jpg,666,316
PMC4462900,dp0502a08g003.jpg,800,710
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC6150578,asm-37-3-240-g001.jpg,672,808
PMC4689065,abd-90-06-0780-g04.jpg,771,578
PMC4689065,abd-90-06-0780-g08.jpg,771,286
PMC4689065,abd-90-06-0780-g07.jpg,771,287
PMC4689065,abd-90-06-0780-g10.jpg,771,579
PMC4689065,abd-90-06-0780-g03.jpg,771,577
PMC4689065,abd-90-06-0780-g11.jpg,771,533
PMC4689065,abd-90-06-0780-g12.jpg,600,799
PMC4689065,abd-90-06-0780-g02.jpg,771,288
PMC4689065,abd-90-06-0780-g06.jpg,771,290
PMC4689065,abd-90-06-0780-g09.jpg,771,288
PMC4689065,abd-90-06-0780-g01.jpg,771,580
PMC4689065,abd-90-06-0780-g05.jpg,600,450
PMC5786400,abd-92-06-0836-g02.jpg,600,399
PMC5786400,abd-92-06-0836-g01.jpg,600,730
PMC5786400,abd-92-06-0836-g03.jpg,600,400
PMC6726769,10.1177_0300060519859739-table1.jpg,653,724
PMC6726769,10.1177_0300060519859739-fig1.jpg,685,583
PMC6726769,10.1177_0300060519859739-fig2.jpg,670,1438
PMC5556743,acfs-18-46-g003.jpg,746,1120
PMC5556743,acfs-18-46-g002.jpg,746,1119
PMC5556743,acfs-18-46-g004.jpg,717,1611
PMC5556743,acfs-18-46-g001.jpg,746,1119
PMC7319780,bmjophth-2020-000513f03.jpg,765,639
PMC7319780,bmjophth-2020-000513f02.jpg,747,493
PMC7319780,bmjophth-2020-000513f01.jpg,594,483
PMC7247632,IDOJ-11-253-g002.jpg,539,527
PMC7247632,IDOJ-11-253-g004.jpg,539,467
PMC7247632,IDOJ-11-253-g003.jpg,539,513
PMC7247632,IDOJ-11-253-g001.jpg,539,624
PMC8353102,fmed-08-688105-g0001.jpg,708,396
PMC8353102,fmed-08-688105-g0002.jpg,630,286
PMC8353102,fmed-08-688105-g0003.jpg,630,460
PMC7583597,dermatopathology-07-00005-g004.jpg,693,492
PMC7583597,dermatopathology-07-00005-g003.jpg,768,585
PMC7583597,dermatopathology-07-00005-g001.jpg,689,444
PMC7583597,dermatopathology-07-00005-g005.jpg,717,546
PMC7583597,dermatopathology-07-00005-g006.jpg,670,527
PMC7583597,dermatopathology-07-00005-g008.jpg,789,486
PMC7583597,dermatopathology-07-00005-g002.jpg,673,513
PMC7583597,dermatopathology-07-00005-g007.jpg,714,750
PMC7583597,dermatopathology-07-00005-g009.jpg,686,489
PMC8841502,gr2.jpg,776,192
PMC8841502,gr4.jpg,747,278
PMC8841502,gr3.jpg,747,282
PMC8841502,gr1.jpg,776,285
PMC8835982,CCID-15-185-g0002.jpg,715,598
