pmid,pmcid,title,journal,insert_time
1008993,PMC2025219,Selective promoting activity of phorbol myristate acetate in experimental skin carcinogenesis.,Br J Cancer,2023-12-17-22-03-30
18852997,PMC9442239,Solitary nasal trichoepithelioma.,Braz J Otorhinolaryngol,2023-12-17-22-03-30
19032739,PMC2607262,Nevoid basal cell carcinoma syndrome (Gorlin syndrome).,Orphanet J Rare Dis,2023-12-17-22-03-30
19841702,PMC2763070,Treatment of cutaneous tumors with topical 5% imiquimod cream.,Clinics (Sao Paulo),2023-12-17-22-03-30
20300338,PMC2840895,Radiosurgical ablation of solitary trichoepithelioma.,J Cutan Aesthet Surg,2023-12-17-22-03-30
20972631,PMC3036809,Identification of a large rearrangement in CYLD as a cause of familial cylindromatosis.,Fam Cancer,2023-12-17-22-03-30
21187885,PMC2983083,The cytology of giant solitary trichoepithelioma.,J Cytol,2023-12-17-22-03-30
21572788,PMC3088931,"A clinico-histopathological study of appendageal skin tumors, affecting head and neck region in patients attending the dermatology opd of a tertiary care centre in eastern India.",Indian J Dermatol,2023-12-17-22-03-30
22279463,PMC3263108,CD10 expression helps to differentiate basal cell carcinoma from trichoepithelioma.,J Res Med Sci,2023-12-17-22-03-30
22628987,PMC3358935,Brooke-spiegler syndrome: a rare entity.,Int J Trichology,2023-12-17-22-03-30
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-30
23716857,PMC3657267,A case of desmoplastic trichoepithelioma with ossification.,Indian J Dermatol,2023-12-17-22-03-30
23825889,PMC3700055,Value of CD10 Expression in Differentiating Cutaneous Basal from Squamous Cell Carcinomas and Basal Cell Carcinoma from Trichoepithelioma.,Iran J Med Sci,2023-12-17-22-03-30
24082173,PMC3778768,The rate and pattern of bcl-2 and cytokeratin 15 expression in trichoepithelioma and nodular Basal cell carcinoma: a comparative study.,Indian J Dermatol,2023-12-17-22-03-30
24082215,PMC3778810,Multiple familial trichoepithelioma with malignant transformation.,Indian J Dermatol,2023-12-17-22-03-30
24238087,PMC4225685,Causes of mortality and pathological lesions observed post-mortem in red squirrels (Sciurus vulgaris) in Great Britain.,BMC Vet Res,2023-12-17-22-03-30
24455549,PMC3876652,Multiple trichoepitheliomas: A rare occurrence.,South Asian J Cancer,2023-12-17-22-03-30
24855576,PMC4029256,"Solitary trichoepithelioma in an 8-year-old child: clinical, dermoscopic and histopathologic findings.",Dermatol Pract Concept,2023-12-17-22-03-30
25181405,PMC4152244,Immunohistochemical analysis of the mechanistic target of rapamycin and hypoxia signalling pathways in basal cell carcinoma and trichoepithelioma.,PLoS One,2023-12-17-22-03-30
