pmcid,figure_name,width,height
PMC9442239,gr1.jpg,710,623
PMC2840895,JCAS-01-27-g001.jpg,555,858
PMC2840895,JCAS-01-27-g002.jpg,565,859
PMC2983083,JCytol-27-99-g001.jpg,744,355
PMC2983083,JCytol-27-99-g002.jpg,744,511
PMC2983083,JCytol-27-99-g006.jpg,744,498
PMC2983083,JCytol-27-99-g004.jpg,744,312
PMC2983083,JCytol-27-99-g005.jpg,744,597
PMC2983083,JCytol-27-99-g003.jpg,744,468
PMC3036809,10689_2010_9393_Fig3_HTML.jpg,484,324
PMC3036809,10689_2010_9393_Fig1_HTML.jpg,484,362
PMC3036809,10689_2010_9393_Fig2_HTML.jpg,484,493
PMC3088931,IJD-56-33-g005.jpg,740,394
PMC3088931,IJD-56-33-g003.jpg,744,391
PMC3088931,IJD-56-33-g001.jpg,774,91
PMC3088931,IJD-56-33-g007.jpg,745,289
PMC3088931,IJD-56-33-g004.jpg,742,325
PMC3088931,IJD-56-33-g006.jpg,742,292
PMC3088931,IJD-56-33-g002.jpg,774,178
PMC3088931,IJD-56-33-g008.jpg,743,301
PMC3358935,IJT-4-29-g003.jpg,625,866
PMC3358935,IJT-4-29-g001.jpg,610,166
PMC3358935,IJT-4-29-g002.jpg,562,327
PMC3657267,IJD-58-164b-g001.jpg,668,730
PMC3657267,IJD-58-164b-g002.jpg,741,497
PMC3661046,10006_2012_341_Fig1_HTML.jpg,397,264
PMC3661046,10006_2012_341_Fig3_HTML.jpg,709,274
PMC3661046,10006_2012_341_Fig4_HTML.jpg,520,209
PMC3661046,10006_2012_341_Fig2_HTML.jpg,520,199
PMC3661046,10006_2012_341_Fig5_HTML.jpg,520,631
PMC3263108,JRMS-16-938-g003.jpg,765,572
PMC3263108,JRMS-16-938-g002.jpg,758,571
PMC3263108,JRMS-16-938-g001.jpg,788,591
PMC3263108,JRMS-16-938-g004.jpg,798,697
PMC3700055,ijms-038-100-g002.jpg,739,372
PMC3700055,ijms-038-100-g005.jpg,785,288
PMC3700055,ijms-038-100-g003.jpg,785,288
PMC3700055,ijms-038-100-g001.jpg,754,330
PMC3700055,ijms-038-100-g004.jpg,785,287
PMC3778768,IJD-58-331-g006.jpg,558,247
PMC3778768,IJD-58-331-g002.jpg,742,970
PMC3778768,IJD-58-331-g001.jpg,742,279
PMC3778768,IJD-58-331-g005.jpg,742,496
PMC3778768,IJD-58-331-g004.jpg,1157,222
PMC3778768,IJD-58-331-g003.jpg,742,496
PMC3778810,IJD-58-409a-g007.jpg,559,385
PMC3778810,IJD-58-409a-g004.jpg,742,268
PMC3778810,IJD-58-409a-g003.jpg,742,845
PMC3778810,IJD-58-409a-g006.jpg,559,412
PMC3778810,IJD-58-409a-g002.jpg,742,554
PMC3778810,IJD-58-409a-g001.jpg,742,278
PMC3778810,IJD-58-409a-g005.jpg,741,801
PMC3876652,SAJC-2-54b-g004.jpg,741,186
PMC3876652,SAJC-2-54b-g003.jpg,686,536
PMC3876652,SAJC-2-54b-g006.jpg,741,242
PMC3876652,SAJC-2-54b-g005.jpg,740,213
PMC3876652,SAJC-2-54b-g002.jpg,747,739
PMC3876652,SAJC-2-54b-g001.jpg,765,805
PMC4029256,dp0402a11g001.jpg,666,440
PMC4029256,dp0402a11g003.jpg,666,494
PMC4029256,dp0402a11g005.jpg,666,500
PMC4029256,dp0402a11g002.jpg,666,565
PMC4029256,dp0402a11g004.jpg,666,500
PMC4152244,pone.0106427.g001.jpg,755,518
PMC4152244,pone.0106427.t002.jpg,746,402
PMC4152244,pone.0106427.g004.jpg,705,514
PMC4152244,pone.0106427.t003.jpg,799,637
PMC4152244,pone.0106427.g002.jpg,722,532
PMC4152244,pone.0106427.g003.jpg,643,901
PMC4152244,pone.0106427.t001.jpg,746,277
PMC4236999,wjps-3-142-g003.jpg,782,585
PMC4236999,wjps-3-142-g001.jpg,780,519
PMC4236999,wjps-3-142-g002.jpg,780,582
PMC4225685,1746-6148-9-229-9.jpg,600,401
PMC4225685,1746-6148-9-229-14.jpg,600,211
PMC4225685,1746-6148-9-229-3.jpg,600,790
PMC4225685,1746-6148-9-229-6.jpg,600,195
PMC4225685,1746-6148-9-229-10.jpg,600,398
PMC4225685,1746-6148-9-229-12.jpg,600,811
PMC4225685,1746-6148-9-229-15.jpg,600,398
PMC4225685,1746-6148-9-229-11.jpg,600,720
PMC4225685,1746-6148-9-229-4.jpg,600,198
PMC4225685,1746-6148-9-229-1.jpg,600,972
PMC4225685,1746-6148-9-229-5.jpg,600,350
PMC4225685,1746-6148-9-229-16.jpg,600,197
PMC4225685,1746-6148-9-229-17.jpg,600,401
PMC4225685,1746-6148-9-229-13.jpg,600,197
PMC4225685,1746-6148-9-229-8.jpg,600,401
PMC4225685,1746-6148-9-229-2.jpg,600,1118
PMC4225685,1746-6148-9-229-7.jpg,600,401
PMC4339271,Figure-1c.jpg,635,428
PMC4339271,Figure-1-b.jpg,472,468
PMC4339271,Figure-1-a.jpg,496,468
PMC4230253,dp0404a03g006a.jpg,666,522
PMC4230253,dp0404a03g007b.jpg,800,627
PMC4230253,dp0404a03g006c.jpg,666,522
PMC4230253,dp0404a03g007c.jpg,666,522
PMC4230253,dp0404a03g005c.jpg,666,444
PMC4230253,dp0404a03g007a.jpg,666,522
PMC4230253,dp0404a03g004a.jpg,666,522
PMC4230253,dp0404a03g002c.jpg,666,522
PMC4230253,dp0404a03g002b.jpg,666,522
PMC4230253,dp0404a03g005a.jpg,666,444
PMC4230253,dp0404a03g006b.jpg,666,522
PMC4230253,dp0404a03g001.jpg,666,432
PMC4230253,dp0404a03g002a.jpg,666,522
PMC4230253,dp0404a03g005b.jpg,666,444
PMC4230253,dp0404a03g003.jpg,666,426
PMC4230253,dp0404a03g004b.jpg,666,522
PMC4382785,SAJC-4-41-g002.jpg,742,492
PMC4382785,SAJC-4-41-g001.jpg,1200,619
PMC4502481,IJT-7-80-g001.jpg,534,391
PMC4458941,IJD-60-280-g004.jpg,539,359
PMC4458941,IJD-60-280-g001.jpg,440,586
PMC4458941,IJD-60-280-g003.jpg,539,359
PMC4458941,IJD-60-280-g002.jpg,539,358
PMC4561144,PAMJ-21-19-g001.jpg,561,546
PMC4533542,IJD-60-394-g005.jpg,488,501
PMC4533542,IJD-60-394-g004.jpg,540,209
PMC4533542,IJD-60-394-g001.jpg,540,207
PMC4533542,IJD-60-394-g002.jpg,776,587
PMC4533542,IJD-60-394-g003.jpg,760,586
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC4665148,ol-10-06-3466-g01.jpg,630,477
PMC4665148,ol-10-06-3466-g00.jpg,630,456
PMC4665148,ol-10-06-3466-g02.jpg,630,475
PMC4763700,IJD-61-78-g003.jpg,785,587
PMC4763700,IJD-61-78-g004.jpg,782,586
PMC4763700,IJD-61-78-g001.jpg,468,586
PMC4763700,IJD-61-78-g002.jpg,412,586
PMC4803810,238_2015_1103_Fig7_HTML.jpg,788,569
PMC4803810,238_2015_1103_Fig2_HTML.jpg,788,1509
PMC4803810,238_2015_1103_Fig1_HTML.jpg,742,412
