pmid,pmcid,title,journal,insert_time,has_targz
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,True
22148046,PMC3229061,Folliculosebaceous cystic hamartoma in a patient with neurofibromatosis type I.,Ann Dermatol,2023-12-17-22-03-31,True
22168923,PMC3262035,Inhibition of BMP signaling in P-Cadherin positive hair progenitor cells leads to trichofolliculoma-like hair follicle neoplasias.,J Biomed Sci,2023-12-17-22-03-31,True
23919042,PMC3726919,Nevus lipomatosus cutaneous superficialis associated with trichofolliculoma on the lower leg.,Indian J Dermatol,2023-12-17-22-03-31,True
25114448,PMC4124687,Trichofolliculoma presenting as lobulated mass: a rare presentation.,Int J Trichology,2023-12-17-22-03-31,True
25126458,PMC4131998,Dermatoscopy of folliculosebaceous cystic hamartoma.,Dermatol Pract Concept,2023-12-17-22-03-31,True
26375221,PMC4560541,"Three different clinical faces of the same histopathological entity: hair follicle nevus, trichofolliculoma and accessory tragus.",An Bras Dermatol,2023-12-17-22-03-31,True
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-03-31,True
26734858,PMC4689065,Benign follicular tumors.,An Bras Dermatol,2023-12-17-22-03-31,True
26955332,PMC4777908,Hair Follicle Nevus with Sebaceous Hyperplasia: A Dermoscopic Observation.,Case Rep Dermatol,2023-12-17-22-03-31,True
27489442,PMC4969489,A Case of Late Stage Sebaceous Trichofolliculoma Showing Overlapping Features with Folliculosebaceous Cystic Hamartoma.,Ann Dermatol,2023-12-17-22-03-31,True
29118524,PMC5655628,Collision Tumor between Trichofolliculoma and Melanocytic Nevus.,Int J Trichology,2023-12-17-22-03-31,True
31591861,PMC7141992,Umbilicated Hairy Auricular Mass Mimicking Accessory Tragus.,J Audiol Otol,2023-12-17-22-03-31,True
33223741,PMC7659742,Nevus Lipomatosus Cutaneous Superficialis Associated with Trichofolliculoma: An Uncommon Duet of Rare Pathologies.,Int J Trichology,2023-12-17-22-03-31,True
33911666,PMC7992593,"Hair Follicle Nevus Located on the Neck: Comparison with Accessory Tragus, Cervical Chondrocutaneous Branchial Remnants and Trichofolliculoma.",Ann Dermatol,2023-12-17-22-03-31,True
35039208,PMC9073312,In vivo reflectance confocal microscopic findings in a case of trichofolliculoma.,An Bras Dermatol,2023-12-17-22-03-31,True
35223170,PMC8824812,Trichofolliculoma Mimicking Squamous Cell Carcinoma.,Dermatol Pract Concept,2023-12-17-22-03-31,True
35422986,PMC9005210,Trichofolliculoma of the external auditory canal: a case report and review of the literature.,J Surg Case Rep,2023-12-17-22-03-31,True
35454212,PMC9028556,Cutaneous and Subcutaneous Tumours of Small Pet Mammals-Retrospective Study of 256 Cases (2014-2021).,Animals (Basel),2023-12-17-22-03-31,True
35743912,PMC9225048,Panfolliculoma: Report of the Youngest Case and Literature Review of Its Histopathologic Variants.,Life (Basel),2023-12-17-22-03-31,True
35997349,PMC9397042,Genital Folliculosebaceous Cystic Hamartoma: A Case Report and Concise Review of the Literature.,Dermatopathology (Basel),2023-12-17-22-03-31,True
36483235,PMC9724720,Primary cutaneous adenoid cystic carcinoma of the scalp: dermatosurgical approach with favourable outcome.,Dermatol Reports,2023-12-17-22-03-31,True
36865871,PMC9971758,Sebaceous Trichofolliculoma of the Scrotum: A Rare Occurrence.,Indian J Dermatol,2023-12-17-22-03-31,True
37151248,PMC10162728,A Case of Trichofolliculoma with Dermoscopy.,Indian J Dermatol,2023-12-17-22-03-31,True
