pmcid,figure_name,width,height
PMC3229061,ad-23-S185-g001.jpg,485,356
PMC3229061,ad-23-S185-g002.jpg,641,255
PMC3726919,IJD-58-330b-g002.jpg,742,312
PMC3726919,IJD-58-330b-g003.jpg,742,363
PMC3726919,IJD-58-330b-g001.jpg,742,301
PMC4124687,IJT-6-19-g002.jpg,540,403
PMC4124687,IJT-6-19-g001.jpg,406,404
PMC3090010,PRI2011-105973.001.jpg,432,396
PMC3090010,PRI2011-105973.003.jpg,429,351
PMC3090010,PRI2011-105973.004.jpg,438,351
PMC3090010,PRI2011-105973.002.jpg,738,936
PMC3090010,PRI2011-105973.006.jpg,441,360
PMC3090010,PRI2011-105973.005.jpg,438,354
PMC3262035,1423-0127-18-92-4.jpg,600,601
PMC3262035,1423-0127-18-92-2.jpg,600,917
PMC3262035,1423-0127-18-92-1.jpg,600,404
PMC3262035,1423-0127-18-92-7.jpg,600,1177
PMC3262035,1423-0127-18-92-6.jpg,600,445
PMC3262035,1423-0127-18-92-3.jpg,600,464
PMC3262035,1423-0127-18-92-5.jpg,600,554
PMC4131998,dp0403a08g002.jpg,800,410
PMC4131998,dp0403a08g003.jpg,800,602
PMC4131998,dp0403a08g001.jpg,800,1190
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC4560541,abd-90-04-0519-g04.jpg,600,429
PMC4560541,abd-90-04-0519-g01.jpg,771,1120
PMC4560541,abd-90-04-0519-g02.jpg,600,429
PMC4560541,abd-90-04-0519-g03.jpg,771,1124
PMC4777908,cde-0007-0358-g03.jpg,565,211
PMC4777908,cde-0007-0358-g01.jpg,520,480
PMC4777908,cde-0007-0358-g02.jpg,520,408
PMC5655628,IJT-9-181-g002.jpg,539,318
PMC5655628,IJT-9-181-g001.jpg,538,486
PMC4689065,abd-90-06-0780-g04.jpg,771,578
PMC4689065,abd-90-06-0780-g08.jpg,771,286
PMC4689065,abd-90-06-0780-g07.jpg,771,287
PMC4689065,abd-90-06-0780-g10.jpg,771,579
PMC4689065,abd-90-06-0780-g03.jpg,771,577
PMC4689065,abd-90-06-0780-g11.jpg,771,533
PMC4689065,abd-90-06-0780-g12.jpg,600,799
PMC4689065,abd-90-06-0780-g02.jpg,771,288
PMC4689065,abd-90-06-0780-g06.jpg,771,290
PMC4689065,abd-90-06-0780-g09.jpg,771,288
PMC4689065,abd-90-06-0780-g01.jpg,771,580
PMC4689065,abd-90-06-0780-g05.jpg,600,450
PMC7659742,IJT-12-132-g001.jpg,539,733
PMC7659742,IJT-12-132-g002.jpg,539,403
PMC7141992,jao-2019-00283f2.jpg,744,147
PMC7141992,jao-2019-00283f1.jpg,743,302
PMC9073312,gr2.jpg,751,394
PMC9073312,gr4.jpg,751,277
PMC9073312,gr3.jpg,721,4174
PMC9073312,gr1.jpg,751,281
PMC8824812,dp1201a26g001.jpg,657,571
PMC4969489,ad-28-511-g001.jpg,556,828
PMC4969489,ad-28-511-g002.jpg,789,218
PMC9005210,rjac147f1.jpg,500,667
PMC9005210,rjac147f2.jpg,666,346
PMC7992593,ad-31-662-g001.jpg,733,426
PMC7992593,ad-31-662-g002.jpg,733,275
PMC7992593,ad-31-662-g003.jpg,733,556
PMC7992593,ad-31-662-i001.jpg,795,254
PMC9225048,life-12-00881-g003.jpg,785,488
PMC9225048,life-12-00881-g001.jpg,746,417
PMC9225048,life-12-00881-g002.jpg,724,563
PMC9397042,dermatopathology-09-00032-g003.jpg,704,532
PMC9397042,dermatopathology-09-00032-g001.jpg,735,512
PMC9397042,dermatopathology-09-00032-g002.jpg,779,589
PMC9971758,IJD-67-625a-g002.jpg,539,201
PMC9971758,IJD-67-625a-g001.jpg,539,359
PMC10162728,IJD-68-107-g001.jpg,605,168
PMC9028556,animals-12-00965-g001.jpg,753,570
PMC9028556,animals-12-00965-g008.jpg,784,587
PMC9028556,animals-12-00965-g007.jpg,729,550
PMC9028556,animals-12-00965-g002.jpg,692,523
PMC9028556,animals-12-00965-g006.jpg,763,576
PMC9028556,animals-12-00965-g005.jpg,722,543
PMC9028556,animals-12-00965-g003.jpg,713,541
PMC9028556,animals-12-00965-g004.jpg,705,533
PMC9724720,dr-14-4-9505-g004.jpg,500,326
PMC9724720,dr-14-4-9505-g003.jpg,500,387
PMC9724720,dr-14-4-9505-g002.jpg,500,378
PMC9724720,dr-14-4-9505-g001.jpg,500,432
