pmid,pmcid,title,journal,insert_time,label,caption,graphic
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,Figure 1,Case 1. A skin-colored cutaneous plaque composed of confluent nodules on the right lumbar region.,PRI2011-105973.001
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,Figure 2,Case 1. A nodule formed by clusters of mature fat cells amongst thick collagen dermal bundles. This nodule lacked an epithelial component.,PRI2011-105973.002
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,Figure 3,Case 1. Two follicular structures with numerous radiating mature sebaceous glands. One of the follicles is dilated and connects with the epidermal surface.,PRI2011-105973.003
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,Figure 4,Case 1. A folliculosebaceous unit embedded in a mucinous stroma with small vessels and scarce mature fat cells. The lesion is separated from normal dermis by a linear cleft (on the right).,PRI2011-105973.004
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,Figure 5,Case 2. Low magnification view of the lesion composed of confluent groups of mature fat cells among the dermal collagen and a distorted pilosebaceous structure.,PRI2011-105973.005
21559190,PMC3090010,Nevus lipomatosus superficialis with a folliculosebaceous component: report of 2 cases.,Patholog Res Int,2023-12-17-22-03-31,Figure 6,Case 2. Numerous sebaceous lobules and a small hair follicle (on the top) arising from a cystic cavity limited by squamous epithelium with epidermoid keratinization.,PRI2011-105973.006
22148046,PMC3229061,Folliculosebaceous cystic hamartoma in a patient with neurofibromatosis type I.,Ann Dermatol,2023-12-17-22-03-31,Fig. 1,(A) A patient with neurofibromatosis type I. (B) A 0.8×1.2 cm sized skin colored nodule on his Lt. earlobe.,ad-23-S185-g001
22148046,PMC3229061,Folliculosebaceous cystic hamartoma in a patient with neurofibromatosis type I.,Ann Dermatol,2023-12-17-22-03-31,Fig. 2,"(A, B) This hematoxylin-eosin-stained section shows dilated follicular structures, adjacent multiple sebaceous lobules and surrounding fibrovascular stroma (A: ×5, B: ×200).",ad-23-S185-g002
22168923,PMC3262035,Inhibition of BMP signaling in P-Cadherin positive hair progenitor cells leads to trichofolliculoma-like hair follicle neoplasias.,J Biomed Sci,2023-12-17-22-03-31,Figure 1,"The Noggin transgene is expressed in P-cadherin positive hair progenitor cells in Nse-Noggin mice from late embryonic stages onward. (A) Schematic structure of Nse-Noggin transgene. (B-D) typical images of tail skin of Nse-Noggin mice show the specific transgene (GFP) expression pattern. GFP positive cells are detected in hair buds from E16 (B) In postnatal animals (P0(C) & P6(D)) transgene expression is also observed only in subpopulations of hair follicles (C&D). (E-F) double staining confirms that the transgene is expressed in hair progenitors (P-cadherin Positive, E-E"") but not in fully differentiated epithelium (K14 positive, F). (E) shows typical GFP/P-cadherin double staining of a hair follicle from an adult Nse-Noggin animal. E'& E"" are the split channels of P-cadherin and GFP, respectively. (F) shows typical GFP/K14 double staining of a hair follicle from an E18 Nse-Noggin mouse. (G) shows typical NSE staining of a hair follicle from an adult WT animal. Note that NSE is highly expressed in a subpopulation of hair follicle cells. (H-H"") shows typical GFP/NSE double staining of well developed tumor section. H'& H"" are the split channels of NSE and GFP, respectively. Bar = 40 μm.",1423-0127-18-92-1
22168923,PMC3262035,Inhibition of BMP signaling in P-Cadherin positive hair progenitor cells leads to trichofolliculoma-like hair follicle neoplasias.,J Biomed Sci,2023-12-17-22-03-31,Figure 2,"Blocking BMP signaling in hair progenitor cells induces benign hair follicle-derived neoplasias resembling trichofolliculomas. (A) Gross image show the sizes and locations of neoplasias in three different mice. Note that the sizes and locations vary in different mice. Black arrows point to neoplasias. (B-C) typical low power H&E images from a fully developed neoplasia from back skin (B) and tail (C). Note the well-formed fibrous sheath that surrounds the outer surface of tumor. Also note that a fully developed neoplasia from back skin was over 1 cm in diameter. Neoplasias that grow on the tail are relatively small, and are not well wrapped(C), but nevertheless both show typical histological features of trichofolliculomas. (D) High power H&E image from a tail tumor shows multiple abnormal secondary hair follicle-like structures surrounded by fibroblast-like stroma cells. (E-H) two independent alkaline phosphatase assays indicated that dermal papillae are present in tumor. (E&F) tested the enzymatic activity of alkaline phosphatase in WT tail skin (E) and tumor (F). Note the strong blue ALP staining in WT hair follicle and tumor (yellow to brown in (E&F) is background staining). (G&H) detect the alkaline phosphatase antigen in WT tail skin (G) and tumor (H) through standard IHC. Note, similar to (E&F), strong ALP staining was detected in both WT hair follicle and tumor. Bar = 40 μm in (D-H).",1423-0127-18-92-2
