pmcid,label,caption,graphic,disease,modality
PMC4230666,FIGURE 1,Overview of posterior face of lower limbs,abd-89-06-0964-g01,NotMatch,NotMatch
PMC4230666,FIGURE 2,"Star-shaped hypochromic lesions with hyperchromia on the edges, located on the
posterior face of lower right limb",abd-89-06-0964-g02,NotMatch,NotMatch
PMC4230666,FIGURE 3,"Overview of neoplasm constituted of anastomosed epithelial cords, which protrude
into the dermis. (HE staining – 100x magnification)",abd-89-06-0964-g03,NotMatch,Match
PMC4230666,FIGURE 4,"Transition area between the lesion and normal epidermis. The cytoplasm of
neoplastic cells is larger and clearer than epidermal ones. (HE staining – 200x
magnification)",abd-89-06-0964-g04,NotMatch,Match
PMC4230666,FIGURE 5,"Cytoplasm of cells strongly stained by PAS due to accumulation of glycogen (100x
magnification)",abd-89-06-0964-g05,NotMatch,Match
PMC6369462,Figure 1,Low power (2x) view of the entire biopsy demonstrating a classic plate-like proliferation of keratinocytes parallel to the epidermis (a). Higher power (10x) of another section of the tumor shows the presence of numerous keratocysts (b) and a net-like architecture with frequent connections of the plate to the above epidermis (c).,CRIPA2019-4606493.001,NotMatch,Match
PMC6369462,Figure 2,Higher power (20x) shows a keratocyst with no visible granular layer and abrupt keratinization (a). The pale pink cytoplasm of tumor cells is evidence of tumor glycogenation and the characteristic differentiation (b).,CRIPA2019-4606493.002,NotMatch,Match
PMC6282444,Fig 1,Dysplastic nevus with associated TIF. A 6-mm brown papule with a pink corner is present on the right upper back of this 69-year-old man with a history of melanoma and BCC.,gr1,NotMatch,NotMatch
PMC6282444,Fig 2,"Biopsy of a lesion. A, A dysplastic nevus with single melanocytic hyperplasia at the dermoepidermal junction is seen with an associated tumor of the follicular infundibulum. B, Platelike proliferation of anastomosing strands of pale staining cells consistent with a tumor of the follicular infundibulum. (A and B, Hematoxylin-eosin stain; original magnifications: A, ×4; B, ×20.)",gr2,NotMatch,NotMatch
PMC9081419,Fig. 1.,"A linear, skin-colored, alopecic verrucous plaque measuring 7×1.5 cm on the scalp. The plaque contained three erythematous ulcerated nodules (white arrows and arrowhead) and several grayish-yellow papules.",acfs-2022-00101f1,NotMatch,NotMatch
PMC9081419,Fig. 2.,"Syringocystadenoma papilliferum demonstrating papillary structures lined by double layers of cuboidal epithelium and stroma containing numerous plasma cells (H&E, ×20).",acfs-2022-00101f2,NotMatch,Match
PMC9081419,Fig. 3.,"Desmoplastic trichilemmoma comprising a well-defined lobular tumor with dense desmoplastic stroma occupying the central portion of the lesion. There is focal clear cell differentiation (black arrow) surrounded by a basement membrane. The irregular epithelial strands without cellular atypia are admixed in a desmoplastic stroma (white arrow) (H&E, ×40).",acfs-2022-00101f3,NotMatch,Match
PMC9081419,Fig. 4.,"Sebaceoma demonstrating a basaloid dermal tumor with cyst formation, superficial ulceration, and hemorrhage. Ductal structures lined by an eosinophilic cuticle are visible. Note the random admixture of basaloid cells and mature sebocytes (black arrow) (H&E, ×40). ",acfs-2022-00101f4,NotMatch,Match
PMC9081419,Fig. 5.,"Trichoblastoma demonstrating basaloid proliferations with peripheral palisading emanating from the epidermis. Note the presence of papillary mesenchymal bodies (black arrow) and adjacent fibrotic stroma (H&E, ×40).",acfs-2022-00101f5,NotMatch,Match
PMC9081419,Fig. 6.,"Pigmented trichoblastoma exhibiting melanin pigmentation within a typical trichoblastoma (H&E, ×200).",acfs-2022-00101f6,NotMatch,Match
PMC9081419,Fig. 7.,"Sebaceous adenoma demonstrating a circumscribed tumor composed of irregular sebaceous lobules with surrounding basaloid cells more than two layers thick (black arrows). A few mitotic figures (black circle) are present in the central sebaceous lobule (H&E, ×100).",acfs-2022-00101f7,NotMatch,Match
PMC9081419,Fig. 8.,"Tumor of follicular infundibulum comprising an epithelial tumor with a plate-like growth pattern. Note the anastomosing islands of basophilic cells with peripheral palisading and multifocal attachment to the overlying epithelium (H&E, ×200).",acfs-2022-00101f8,Match,Match
PMC9525134,Figure 1,30 x 15-mm mamillated pink plaque on the patient's left vertex scalp with demarcated incisional margin,cureus-0014-00000028645-i01,NotMatch,NotMatch
PMC9525134,Figure 2,"This image shows epidermal papillomatosis (black arrow) with numerous large sebaceous glands (red arrow) directly attached to the overlying acanthotic epidermis (blue arrow) consistent with a nevus sebaceus. Neurofibroma is seen (green arrow)Hematoxylin and eosin (H&E) staining, 20x magnification",cureus-0014-00000028645-i02,NotMatch,Match
PMC9525134,Figure 3,"A proliferation of bland-appearing spindled cells within the dermis surrounded by loose collagenous stroma is noted, consistent with neurofibroma (black arrows) in conjunction with the nevus sebaceusH&E staining, 40x magnification",cureus-0014-00000028645-i03,NotMatch,Match
PMC9525134,Figure 4,"Higher power view of the bland-appearing spindled cells within the dermis surrounded by loose collagenous stroma and admixed mast cells (noted by arrows) was identified, consistent with a neurofibromaH&E staining, 100x magnification",cureus-0014-00000028645-i04,NotMatch,Match
PMC9525134,Figure 5,"Tumor of follicular infundibulum demonstrating inter-anastomosing strands of the basaloid epithelium (arrow) emerging from the underside of the epidermisH&E staining, 40x magnification",cureus-0014-00000028645-i05,Match,Match
PMC9525134,Figure 6,"Desmoplastic trichilemmoma demonstrating peripheral palisade of nuclei surrounded by a hyaline cuticle with areas of desmoplasiaH&E staining, 40x magnification",cureus-0014-00000028645-i06,NotMatch,Match
