pmcid,figure_name,width,height
PMC4230666,abd-89-06-0964-g01.jpg,600,799
PMC4230666,abd-89-06-0964-g03.jpg,600,423
PMC4230666,abd-89-06-0964-g02.jpg,600,801
PMC4230666,abd-89-06-0964-g05.jpg,600,414
PMC4230666,abd-89-06-0964-g04.jpg,600,396
PMC6369462,CRIPA2019-4606493.002.jpg,752,389
PMC6369462,CRIPA2019-4606493.001.jpg,767,551
PMC6282444,gr2.jpg,602,858
PMC6282444,gr1.jpg,722,1223
PMC9081419,acfs-2022-00101f8.jpg,757,497
PMC9081419,acfs-2022-00101f1.jpg,759,500
PMC9081419,acfs-2022-00101f7.jpg,759,498
PMC9081419,acfs-2022-00101f5.jpg,758,497
PMC9081419,acfs-2022-00101f4.jpg,759,497
PMC9081419,acfs-2022-00101f3.jpg,763,500
PMC9081419,acfs-2022-00101f2.jpg,761,497
PMC9081419,acfs-2022-00101f6.jpg,761,495
PMC9525134,cureus-0014-00000028645-i05.jpg,750,563
PMC9525134,cureus-0014-00000028645-i02.jpg,750,624
PMC9525134,cureus-0014-00000028645-i01.jpg,750,464
PMC9525134,cureus-0014-00000028645-i03.jpg,750,563
PMC9525134,cureus-0014-00000028645-i04.jpg,750,563
PMC9525134,cureus-0014-00000028645-i06.jpg,750,563
