pmcid,figure_name,width,height
PMC5803851,IJT-10-31-g002.jpg,368,615
PMC5803851,IJT-10-31-g003.jpg,539,402
PMC5803851,IJT-10-31-g001.jpg,356,586
PMC8923142,IJT-14-31-g002.jpg,539,358
PMC8923142,IJT-14-31-g001.jpg,605,174
PMC3752480,IDOJ-4-213-g001.jpg,724,407
PMC3752480,IDOJ-4-213-g003.jpg,618,464
PMC3752480,IDOJ-4-213-g002.jpg,724,543
PMC7644350,acfs-2020-00374f1.jpg,634,452
PMC7644350,acfs-2020-00374f2.jpg,635,320
PMC7644350,acfs-2020-00374f4.jpg,635,455
PMC7644350,acfs-2020-00374f3.jpg,633,934
PMC10362007,gr2.jpg,759,570
PMC10362007,gr4.jpg,602,675
PMC10362007,gr3.jpg,602,1005
PMC10362007,gr1.jpg,602,656
