pmcid,figure_name,width,height
PMC4248532,IJD-59-633b-g004.jpg,539,389
PMC4248532,IJD-59-633b-g003.jpg,539,304
PMC4248532,IJD-59-633b-g002.jpg,539,303
PMC4248532,IJD-59-633b-g001.jpg,539,375
PMC6209377,pone.0206768.g002.jpg,714,271
PMC6209377,pone.0206768.t003.jpg,752,266
PMC6209377,pone.0206768.t002.jpg,752,464
PMC6209377,pone.0206768.g001.jpg,714,535
PMC6209377,pone.0206768.t001.jpg,786,409
PMC3199410,ad-23-S131-g001.jpg,467,402
PMC3199410,ad-23-S131-g002.jpg,632,269
PMC3199410,ad-23-S131-i001.jpg,672,109
PMC3199410,ad-23-S131-g003.jpg,632,269
PMC6368072,dp0901a05g002.jpg,650,373
PMC6368072,dp0901a05g001.jpg,650,867
PMC7776749,pl3.jpg,791,330
PMC7776749,pl4.jpg,791,208
PMC7776749,gr2.jpg,750,577
PMC7776749,pl1.jpg,791,368
PMC7776749,pl2.jpg,722,271
PMC7776749,gr1.jpg,714,213
PMC7776749,pl5.jpg,722,316
PMC8810251,1349-7235-61-0125-g002.jpg,551,411
PMC8810251,1349-7235-61-0125-g001.jpg,738,554
PMC8810251,1349-7235-61-0125-g003.jpg,551,445
PMC8810251,1349-7235-61-0125-g004.jpg,661,489
PMC8347063,materials-14-04140-g004.jpg,711,396
PMC8347063,materials-14-04140-g005.jpg,735,413
PMC8347063,materials-14-04140-g002.jpg,716,487
PMC8347063,materials-14-04140-g001.jpg,765,916
PMC8347063,materials-14-04140-g003.jpg,700,295
PMC9308975,cureus-0014-00000026292-i03.jpg,750,750
PMC9308975,cureus-0014-00000026292-i05.jpg,750,500
PMC9308975,cureus-0014-00000026292-i04.jpg,750,750
PMC9308975,cureus-0014-00000026292-i06.jpg,750,462
PMC9308975,cureus-0014-00000026292-i01.jpg,750,750
PMC9308975,cureus-0014-00000026292-i02.jpg,750,750
PMC7700507,ijerph-17-08665-g010.jpg,724,605
PMC7700507,ijerph-17-08665-g007.jpg,731,494
PMC7700507,ijerph-17-08665-g015.jpg,714,480
PMC7700507,ijerph-17-08665-g004.jpg,687,1170
PMC7700507,ijerph-17-08665-g003.jpg,782,592
PMC7700507,ijerph-17-08665-g002.jpg,686,517
PMC7700507,ijerph-17-08665-g009.jpg,756,613
PMC7700507,ijerph-17-08665-g014.jpg,688,523
PMC7700507,ijerph-17-08665-g008.jpg,695,469
PMC7700507,ijerph-17-08665-g006.jpg,730,555
PMC7700507,ijerph-17-08665-g013.jpg,776,584
PMC7700507,ijerph-17-08665-g012.jpg,722,551
PMC7700507,ijerph-17-08665-g005.jpg,731,633
PMC7700507,ijerph-17-08665-g011.jpg,720,483
PMC7700507,ijerph-17-08665-g001.jpg,685,521
PMC9821103,jcm-12-00278-g005.jpg,800,783
PMC9821103,jcm-12-00278-g003.jpg,800,818
PMC9821103,jcm-12-00278-g007.jpg,800,762
PMC9821103,jcm-12-00278-g004.jpg,800,772
PMC9821103,jcm-12-00278-g001.jpg,733,688
PMC9821103,jcm-12-00278-g006.jpg,800,866
PMC9821103,jcm-12-00278-g002.jpg,714,658
PMC10052682,jcm-12-02292-g002.jpg,736,605
PMC10052682,jcm-12-02292-g001.jpg,772,272
PMC10298619,JCAS-16-62-g004.jpg,645,481
PMC10298619,JCAS-16-62-g002.jpg,646,433
PMC10298619,JCAS-16-62-g001.jpg,644,483
PMC10298619,JCAS-16-62-g003.jpg,644,442
PMC9832939,cureus-0015-00000033643-i01.jpg,750,590
PMC9832939,cureus-0015-00000033643-i02.jpg,750,524
PMC6132091,CCR3-6-1923-g001.jpg,709,532
