pmid,pmcid,title,journal,insert_time,has_targz
17573960,PMC1931441,Prognostic factors associated with the survival of oral and pharyngeal carcinoma in Taiwan.,BMC Cancer,2023-12-17-22-12-56,True
18493443,PMC2362576,Verrucous carcinoma of the larynx presenting as a hairy whitish tumor.,Diagn Ther Endosc,2023-12-17-22-12-56,True
19222847,PMC2649116,"Serous adenocarcinoma of the fallopian tube, associated with verrucous carcinoma of the uterine cervix: a case report of synchronic rare gynecological tumors.",World J Surg Oncol,2023-12-17-22-12-56,True
20396454,PMC2853822,Oral verrucous carcinoma: a study of 12 cases.,Eur J Dent,2023-12-17-22-12-56,True
20502907,PMC2966949,Temporal bone verrucous carcinoma: outcomes and treatment controversy.,Eur Arch Otorhinolaryngol,2023-12-17-22-12-56,True
21151509,PMC2989749,"A Troubling Diagnosis of Verrucous Squamous Cell Carcinoma (""the Bad Kind"" of Keratosis) and the Need of Clinical and Pathological Correlations: A Review of the Literature with a Case Report.",J Skin Cancer,2023-12-17-22-12-56,True
21404972,PMC3470101,Squamous papilloma: case report and review of literature.,Int J Oral Sci,2023-12-17-22-12-56,True
22028577,PMC3199427,Treatment of verrucous carcinoma of the lower lip with topical imiquimod (aldara®) and debulking therapy.,Ann Dermatol,2023-12-17-22-12-56,True
22346275,PMC3276794,Surgical treatment for 11 cases of penile verrucous carcinoma.,Ann Dermatol,2023-12-17-22-12-56,True
22529578,PMC3329704,Verrucous hyperplasia: A clinico-pathological study.,J Oral Maxillofac Pathol,2023-12-17-22-12-56,True
22557899,PMC3341761,Verrucous lesions of the oral cavity treated with surgery: Analysis of clinico-pathologic features and outcome.,Contemp Clin Dent,2023-12-17-22-12-56,True
22720181,PMC3375038,Oral verrucous carcinoma mimicking a chronic candidiasis: a case report.,Case Rep Oncol Med,2023-12-17-22-12-56,True
23401817,PMC3562618,Verrucous carcinoma of the vulva: a case report.,Case Rep Obstet Gynecol,2023-12-17-22-12-56,True
23641380,PMC3624719,Verrucous carcinoma on the helix of pinna.,N Am J Med Sci,2023-12-17-22-12-56,True
23653876,PMC3638567,Verrucous carcinoma of the foot with bone invasion: a case report.,Case Rep Oncol Med,2023-12-17-22-12-56,True
23722120,PMC3731085,Cyclin B1 overexpression in conventional oral squamous cell carcinoma and verrucous carcinoma- A correlation with clinicopathological features.,Med Oral Patol Oral Cir Bucal,2023-12-17-22-12-56,True
23741670,PMC3673377,Melanoacanthoma: Uncommon presentation of an uncommon condition.,Indian Dermatol Online J,2023-12-17-22-12-56,True
23798825,PMC3687183,Comparing modified papanicolaou stain with ayoub-shklar and haematoxylin-eosin stain for demonstration of keratin in paraffin embedded tissue sections.,J Oral Maxillofac Pathol,2023-12-17-22-12-56,True
23878575,PMC3714813,Snus (nass) and oral cancer: A case series report.,Dent Res J (Isfahan),2023-12-17-22-12-56,True
24024191,PMC3760177,"Low rate of detection of mucosal high-risk-type human papillomavirus in Korean patients with extragenital Bowen's disease and squamous cell carcinoma, especially in digital cases.",Biomed Res Int,2023-12-17-22-12-56,True
24049289,PMC3764746,Papillary squamotransitional cell carcinoma of the uterine cervix: A histomorphological and immunohistochemical study of nine cases.,Indian J Med Paediatr Oncol,2023-12-17-22-12-56,True
24082233,PMC3778828,A case of verrucous carcinoma on the finger.,Indian J Dermatol,2023-12-17-22-12-56,True
24159412,PMC3789409,Intra-abdominal localisation of a buschke-lowenstein tumour: case presentation and review of the literature.,Case Rep Transplant,2023-12-17-22-12-56,True
24223590,PMC3800582,Verrucous papillary lesions: dilemmas in diagnosis and terminology.,Int J Dent,2023-12-17-22-12-56,True
24339464,PMC3841663,Pseudoepitheliomatous keratotic and micaceous balanitis.,Indian J Sex Transm Dis AIDS,2023-12-17-22-12-56,True
24350715,PMC4000115,Verrucous carcinoma of the head and neck - not a human papillomavirus-related tumour?,J Cell Mol Med,2023-12-17-22-12-56,True
24354693,PMC3895673,Verrucous carcinoma arising in an extended giant condyloma acuminatum (Buschke-Löwenstein tumor): a case report and review of the literature.,J Med Case Rep,2023-12-17-22-12-56,True
24421975,PMC3886051,Histopathological change of oral malignant tumour and epithelial dysplasia subjected to photodynamic therapy.,J Oral Maxillofac Res,2023-12-17-22-12-56,True
24474899,PMC3901627,Verrucous carcinoma of the esophagus: a potential diagnostic dilemma.,Case Rep Gastroenterol,2023-12-17-22-12-56,True
24534848,PMC3975986,Cytoplasmic expression of HuR may be a valuable diagnostic tool for determining the potential for malignant transformation of oral verrucous borderline lesions.,Oncol Rep,2023-12-17-22-12-56,True
24847393,PMC4024435,[The Buschke-Lowenstein tumor anorectal: to about 16 cases and review of the literature].,Pan Afr Med J,2023-12-17-22-12-56,True
24847397,PMC4024438,[Verrucous carcinoma of the nail bed: uncommon feature of epidermoid carcinoma].,Pan Afr Med J,2023-12-17-22-12-56,True
24860768,PMC4030361,Verrucous carcinoma of the finger: A rare site of occurrence.,Indian Dermatol Online J,2023-12-17-22-12-56,True
24880446,PMC4192576,Verrucous carcinoma of the oral mucosa: an epidemiological and follow-up study of patients treated with surgery in 5 last years.,Med Oral Patol Oral Cir Bucal,2023-12-17-22-12-56,True
24926183,PMC4011412,Marjolin's ulcer: clinical and pathologic features of 83 cases and review of literature.,Med J Islam Repub Iran,2023-12-17-22-12-56,True
24968418,PMC3855215,An unusual case of bilateral verrucous carcinoma of the foot (epithelioma cuniculatum).,J Surg Case Rep,2023-12-17-22-12-56,True
25214794,PMC4159496,An individual drug-therapy and genetic testing report of temporal bone verrucous carcinoma.,Onco Targets Ther,2023-12-17-22-12-56,True
25328599,PMC4198271,[Verrucous carcinoma of the vulva: report of four cases].,Pan Afr Med J,2023-12-17-22-12-56,True
25400860,PMC4231312,[Verrucous squamous carcinoma of the eyelid: report of a case].,Pan Afr Med J,2023-12-17-22-12-56,True
25477967,PMC4244974,A giant verrucous carcinoma of the penis presenting with urinary sepsis and angina.,Case Rep Med,2023-12-17-22-12-56,True
25621035,PMC4301498,Stromal myofibroblasts in potentially malignant and malignant lesions of the oral cavity.,Oncol Lett,2023-12-17-22-12-56,True
25789024,PMC4356329,Diagnosis and treatment of penile verrucous carcinoma.,Oncol Lett,2023-12-17-22-12-56,True
25814709,PMC4372913,Multiple synchronous verrucous carcinomas of the scalp in the background of generalized verruca vulgaris.,Indian J Dermatol,2023-12-17-22-12-56,True
25878469,PMC4385717,Comparison of special stains for keratin with routine hematoxylin and eosin stain.,J Int Oral Health,2023-12-17-22-12-56,True
25938088,PMC4409961,Oral verrucous carcinoma and ameloblastoma: a rare coincidence.,Iran J Otorhinolaryngol,2023-12-17-22-12-56,True
26097339,PMC4455162,Role of human papillomavirus in oral squamous cell carcinoma and oral potentially malignant disorders: A review of the literature.,Indian J Dent,2023-12-17-22-12-56,True
26161220,PMC4484201,Oral verrucous carcinoma complicating a repetitive injury by the dental prosthesis: a case report.,Pan Afr Med J,2023-12-17-22-12-56,True
26171095,PMC4473813,Necessity of Distinguishing Verrucous Carcinoma From Verrucous Skin Lesion Overlaying Residual Skin Staples in an Area of Sensory Loss: A Case Report.,Eplasty,2023-12-17-22-12-56,True
26229388,PMC4513768,Pseudoepitheliomatous Hyperplasia: Relevance in Oral Pathology.,J Int Oral Health,2023-12-17-22-12-56,True
26392650,PMC4555894,Penile cutaneous horn: An enigma-newer insights and perspectives.,Indian J Sex Transm Dis AIDS,2023-12-17-22-12-56,True
26430380,PMC4570003,Verrucous carcinoma and squamous cell papilloma of the oral cavity: Report of two cases and review of literature.,Eur J Dent,2023-12-17-22-12-56,True
26692616,PMC4660564,A rare case of verrucous carcinoma of penis in an human immunodeficiency virus- infected patient.,Indian J Sex Transm Dis AIDS,2023-12-17-22-12-56,True
26734805,PMC4755187,VERRUCOUS CARCINOMA OF THE ESOPHAGUS INVOLVING THE ENTIRE ESOPHAGUS.,Arq Bras Cir Dig,2023-12-17-22-12-56,True
26904547,PMC4749678,Verrucous Carcinoma of the Vulva: A Case Report and Review of the Literature.,Front Surg,2023-12-17-22-12-56,True
27031060,PMC4867206,The development of proliferative verrucous leukoplakia in oral lichen planus. A preliminary study.,Med Oral Patol Oral Cir Bucal,2023-12-17-22-12-56,True
