pmcid,label,caption,graphic
PMC1931441,Figure 1,"Survival days for 302 Aborigines community (130 deaths), 556 Hakka community (215 deaths) and 8181 Hokkien community (3761 deaths), according to oral and pharyngeal carcinoma deaths (N = 4106), which act as endpoints (p = 0.0051).",1471-2407-7-101-1
PMC1931441,Figure 2,"(A) Survival days for 233 Aborigines community males (98 deaths), 467 Hakka community males (193 deaths) and 7280 Hokkien community males (3469 deaths), according to oral and pharyngeal carcinoma deaths (N = 3760), which act as endpoints (p = 0.0114). (B) Survival days for 69 Aborigines community females (32 deaths), 89 Hakka community females (22 deaths) and 901 Hokkien community females (292 deaths), according to oral and pharyngeal carcinoma deaths (N = 346), which act as endpoints (p = 0.0123).",1471-2407-7-101-2
PMC1931441,Figure 3,"Survival days of mouth site for 128 Aborigines community (67 deaths), 246 Hakka community (94 deaths) and 3571 Hokkien community (1700 deaths), according to oral and pharyngeal carcinoma deaths (N = 1861), which act as endpoints (p = 0.0100).",1471-2407-7-101-3
PMC2649116,Figure 1,The left salpinx shows a tumor mass with cauliflower like surface; the ovary is normal (white arrow). The endocervical wall is infiltrated by a neoplasia with a solid granular cut surface. (black arrow).,1477-7819-7-20-1
PMC2649116,Figure 2,"Microscopic picture of the verrucous carcinoma of the cervix, the exophitic pattern is apparent (HE 4×).",1477-7819-7-20-2
PMC2649116,Figure 3,Microscopic picture of salpinx tumor. The neoplasm shows a papillary pattern with atypia in the cells (HE 10×).,1477-7819-7-20-3
PMC2966949,Fig. 1,"Axial (a) and coronal (b) CT scan of the temporal bone demonstrating soft tissue density with extension from the right external auditory canal to the right epitympanum, mesotympanum, and hypotympanum with dehiscence of the overlying right tegmen tympani and absence of the right ossicular chain",405_2010_1281_Fig1_HTML
PMC2966949,Fig. 2,Axial T2-weighted MRI (a) on a 1.5 T MRI demonstrating a soft tissue mass originating in the right external auditory canal and middle ear with dehiscence of the right tegmen tympani. Coronal T1-weighted MRI (b) showing extension superiorly into the right middle cranial fossa where the mass abuts the dura at the inferior aspect of the right inferolateral temporal lobe,405_2010_1281_Fig2_HTML
PMC2966949,Fig. 3,"Verrucous carcinoma showing marked exophytic growth with keratinization, and a broad rounded rete extending deep into the underlying collagen",405_2010_1281_Fig3_HTML
PMC2853822,Figure 1.,Intraoral aspect of the mass exhibiting cauliflower shape.,page_204_fig_1
PMC2853822,Figure 2.,Leukoplakic area extending to the cheek mucosa.,page_204_fig_2
PMC2853822,Figure 3.,Histopathological appearance of verrucous carcinoma (HE x 50).,page_205_fig_3
PMC2853822,Figure 4.,Appearance of the healing area 2 years postoperatively.,page_205_fig_4
PMC3276794,Fig. 1,The morphologies and invading site of penile verrucous carcinoma. The exophytic tumor of the glans penis invading the coronoid sulcus is shown in (A) from the patient No. 7 in the Table 1. The exophytic tumor located at glans is shown in (B) from the patient No. 6 in the Table 1.,ad-23-S346-g001
PMC3276794,Fig. 2,"Verrucous carcinoma (H&E, ×100). Verrucous carcinoma showing hyperkeratosis, parakeratosis, acanthosis with bulbous downward projections into the dermis and well-differentiated tumor cells.",ad-23-S346-g002
PMC3199427,Fig. 1,"(A) Extensive verrucous, hyperkeraotic tumor on the central aspect of the lower lip. (B) After treatment, all skin lesions disappeared.",ad-23-S68-g001
PMC3199427,Fig. 2,"(A) A biopsy specimen revealed the presence of an endophytic epidermal proliferation with bulbous, blunted projections composed of large, well-differentiated, squamous epithelial cells extending into the reticular dermis (H&E, ×20). (B) Cellular pleomorphism was minimal and mitotic activity was confined to the basal layer (H&E, ×200).",ad-23-S68-g002
PMC3199427,Fig. 3,"(A) Verrucous plaques with fissuring on the right aspect of the lower lip. (B) After treatment, all skin lesions disappeared.",ad-23-S68-g003
