pmcid,figure_name,width,height
PMC1931441,1471-2407-7-101-2.jpg,600,849
PMC1931441,1471-2407-7-101-1.jpg,600,849
PMC1931441,1471-2407-7-101-3.jpg,600,850
PMC2649116,1477-7819-7-20-2.jpg,600,450
PMC2649116,1477-7819-7-20-1.jpg,600,450
PMC2649116,1477-7819-7-20-3.jpg,600,450
PMC2853822,page_205_fig_4.jpg,508,371
PMC2853822,page_204_fig_2.jpg,509,374
PMC2853822,page_204_fig_1.jpg,507,373
PMC2853822,page_205_fig_3.jpg,506,754
PMC2966949,405_2010_1281_Fig1_HTML.jpg,480,232
PMC2966949,405_2010_1281_Fig2_HTML.jpg,484,265
PMC2966949,405_2010_1281_Fig3_HTML.jpg,484,387
PMC3276794,ad-23-S346-g002.jpg,467,351
PMC3276794,ad-23-S346-i001.jpg,664,292
PMC3276794,ad-23-S346-g001.jpg,469,236
PMC2989749,JSC2011-370605.002.jpg,519,400
PMC2989749,JSC2011-370605.001.jpg,498,542
PMC3199427,ad-23-S68-g001.jpg,469,167
PMC3199427,ad-23-S68-g004.jpg,438,828
PMC3199427,ad-23-S68-g002.jpg,632,235
PMC3199427,ad-23-S68-g003.jpg,469,155
PMC3341761,CCD-3-60-g003.jpg,554,345
PMC3341761,CCD-3-60-g002.jpg,560,264
PMC3341761,CCD-3-60-g007.jpg,785,629
PMC3341761,CCD-3-60-g006.jpg,785,629
PMC3341761,CCD-3-60-g004.jpg,560,364
PMC3341761,CCD-3-60-g001.jpg,619,370
PMC3341761,CCD-3-60-g005.jpg,561,449
PMC3375038,CRIM.ONCMED2012-190272.001.jpg,600,439
PMC3375038,CRIM.ONCMED2012-190272.003.jpg,600,440
PMC3375038,CRIM.ONCMED2012-190272.004.jpg,600,444
PMC3375038,CRIM.ONCMED2012-190272.002.jpg,600,439
PMC3624719,NAJMS-5-153-g001.jpg,742,524
PMC3329704,JOMFP-15-187-g003.jpg,710,568
PMC3329704,JOMFP-15-187-g010.jpg,576,339
PMC3329704,JOMFP-15-187-g006.jpg,710,568
PMC3329704,JOMFP-15-187-g009.jpg,573,344
PMC3329704,JOMFP-15-187-g004.jpg,710,568
PMC3329704,JOMFP-15-187-g002.jpg,710,568
PMC3329704,JOMFP-15-187-g008.jpg,573,341
PMC3329704,JOMFP-15-187-g001.jpg,779,546
PMC3329704,JOMFP-15-187-g007.jpg,577,340
PMC3329704,JOMFP-15-187-g005.jpg,710,568
PMC3638567,CRIM.ONCMED2013-135307.002.jpg,600,602
PMC3638567,CRIM.ONCMED2013-135307.003.jpg,600,793
PMC3638567,CRIM.ONCMED2013-135307.001.jpg,600,460
PMC3731085,medoral-18-e585-t001.jpg,1200,657
PMC3731085,medoral-18-e585-g003.jpg,697,460
PMC3731085,medoral-18-e585-t002.jpg,1200,989
PMC3731085,medoral-18-e585-g001.jpg,708,454
PMC3731085,medoral-18-e585-g002.jpg,700,444
PMC3673377,IDOJ-4-119-g003.jpg,641,484
PMC3673377,IDOJ-4-119-g005.jpg,514,686
PMC3673377,IDOJ-4-119-g001.jpg,668,895
PMC3673377,IDOJ-4-119-g004.jpg,645,484
PMC3673377,IDOJ-4-119-g002.jpg,651,485
PMC3714813,DRJ-10-116-g003.jpg,680,483
PMC3714813,DRJ-10-116-g004.jpg,662,492
PMC3714813,DRJ-10-116-g007.jpg,633,492
PMC3714813,DRJ-10-116-g002.jpg,660,492
PMC3714813,DRJ-10-116-g001.jpg,680,489
PMC3714813,DRJ-10-116-g005.jpg,634,491
PMC3714813,DRJ-10-116-g006.jpg,668,492
PMC3778828,IJD-58-412b-g003.jpg,676,538
PMC3778828,IJD-58-412b-g001.jpg,658,538
PMC3778828,IJD-58-412b-g002.jpg,742,518
PMC3789409,CRIM.TRANSPLANTATION2013-187682.002.jpg,600,416
PMC3789409,CRIM.TRANSPLANTATION2013-187682.001.jpg,600,460
PMC3687183,JOMFP-17-23-g007.jpg,544,395
PMC3687183,JOMFP-17-23-g006.jpg,544,395
PMC3687183,JOMFP-17-23-g016.jpg,544,395
PMC3687183,JOMFP-17-23-g015.jpg,544,394
PMC3687183,JOMFP-17-23-g002.jpg,543,394
PMC3687183,JOMFP-17-23-g013.jpg,544,394
PMC3687183,JOMFP-17-23-g012.jpg,544,394
PMC3687183,JOMFP-17-23-g014.jpg,544,394
PMC3687183,JOMFP-17-23-g001.jpg,544,394
PMC3687183,JOMFP-17-23-g005.jpg,544,394
PMC3687183,JOMFP-17-23-g010.jpg,1157,147
PMC3687183,JOMFP-17-23-g008.jpg,544,394
PMC3687183,JOMFP-17-23-g004.jpg,544,394
PMC3687183,JOMFP-17-23-g011.jpg,1155,116
PMC3687183,JOMFP-17-23-g003.jpg,544,395
PMC3687183,JOMFP-17-23-g009.jpg,544,394
PMC3687183,JOMFP-17-23-g017.jpg,543,394
PMC3800582,IJD2013-298249.003.jpg,600,460
PMC3800582,IJD2013-298249.001.jpg,600,563
PMC3800582,IJD2013-298249.002.jpg,600,459
PMC4000115,jcmm0018-0635-f1.jpg,622,825
PMC3764746,IJMPO-34-66-g002.jpg,639,477
PMC3764746,IJMPO-34-66-g003.jpg,742,485
PMC3764746,IJMPO-34-66-g005.jpg,742,554
