pmid,pmcid,title,journal,insert_time,has_targz,disease
25927045,PMC4411912,Multiple warty dyskeratomas: case report.,Iran J Public Health,2023-12-17-22-12-56,True,Match
26015711,PMC4439671,Genodermatoses.,J Pharm Bioallied Sci,2023-12-17-22-12-56,True,NotMatch
27559500,PMC4976404,Cystic acantholytic dyskeratosis of the vulva: An unusual presentation of a follicular adnexal neoplasm.,Indian Dermatol Online J,2023-12-17-22-12-56,True,NotMatch
28326204,PMC5343251,An Unusual Location of Subungual Warty Dyskeratoma: A Case Report and Review of the Literature.,Case Rep Dermatol Med,2023-12-17-22-12-56,True,Match
28752125,PMC5518153,Oral warty dyskeratoma of the retromolar trigone: An unusual presentation of a rare lesion.,JAAD Case Rep,2023-12-17-22-12-56,True,Match
28831426,PMC5555285,Warty (follicular) dyskeratoma on the mons pubis.,Int J Womens Dermatol,2023-12-17-22-12-56,True,NotMatch
31149593,PMC6536085,A Case of Warty Dyskeratoma on an Unusual Location.,Indian Dermatol Online J,2023-12-17-22-12-56,True,Match
31777373,PMC6857555,Multiple warty dyskeratoma on the scalp.,An Bras Dermatol,2023-12-17-22-12-56,True,Match
32670533,PMC7348662,Oral warty dyskeratoma: An unusual presentation.,Dermatol Reports,2023-12-17-22-12-56,True,Match
33408834,PMC7772768,A case of post-inflammatory warty dyskeratoma of the chest: Other dermoscopic features.,Dermatol Reports,2023-12-17-22-12-56,True,Match
35626429,PMC9140982,Oral Warty Dyskeratoma-A Systematic Review of the Literature.,Diagnostics (Basel),2023-12-17-22-12-56,True,Match
37305894,PMC10250683,Warty dyskeratoma: The relationship between its dermoscopic and histopathological findings.,Clin Case Rep,2023-12-17-22-12-56,True,Match
