pmcid,figure_name,width,height
PMC4411912,ijph-43-1145-g001.jpg,630,494
PMC4976404,IDOJ-7-272-g002.jpg,538,405
PMC4976404,IDOJ-7-272-g003.jpg,539,406
PMC4976404,IDOJ-7-272-g001.jpg,538,397
PMC4976404,IDOJ-7-272-g004.jpg,1010,317
PMC5343251,CRIDM2017-3613109.001.jpg,734,867
PMC5343251,CRIDM2017-3613109.002.jpg,752,575
PMC5518153,gr2.jpg,711,324
PMC5518153,gr1.jpg,602,451
PMC5555285,gr2.jpg,792,732
PMC5555285,gr3.jpg,792,597
PMC5555285,gr1.jpg,792,460
PMC6857555,gr2.jpg,702,281
PMC6857555,gr1.jpg,755,568
PMC7772768,dr-12-2-8791-g001.jpg,500,373
PMC7348662,dr-12-1-8236-g003.jpg,500,278
PMC7348662,dr-12-1-8236-g004.jpg,500,278
PMC7348662,dr-12-1-8236-g002.jpg,500,284
PMC7348662,dr-12-1-8236-g001.jpg,500,494
PMC6536085,IDOJ-10-343-g002.jpg,539,404
PMC6536085,IDOJ-10-343-g001.jpg,539,808
PMC6536085,IDOJ-10-343-g003.jpg,539,404
PMC6536085,IDOJ-10-343-g004.jpg,539,404
PMC10250683,CCR3-11-e7495-g001.jpg,220,314
PMC10250683,CCR3-11-e7495-g003.jpg,589,1145
PMC10250683,CCR3-11-e7495-g002.jpg,196,382
PMC9140982,diagnostics-12-01273-g001.jpg,759,616
PMC9140982,diagnostics-12-01273-g003.jpg,723,320
PMC9140982,diagnostics-12-01273-g002.jpg,725,552
PMC9140982,diagnostics-12-01273-g004.jpg,729,428
