pmcid,figure_name,width,height
PMC7109564,gr2.jpg,711,353
PMC7109564,gr3.jpg,602,501
PMC7109564,gr1.jpg,602,602
PMC3791969,dp0303a08g009.jpg,666,500
PMC3791969,dp0303a08g007.jpg,666,500
PMC3791969,dp0303a08g010.jpg,666,500
PMC3791969,dp0303a08g008.jpg,666,500
PMC3791969,dp0303a08g006.jpg,666,500
PMC3791969,dp0303a08g002.jpg,800,450
PMC3791969,dp0303a08g011.jpg,666,500
PMC3791969,dp0303a08g001.jpg,666,500
PMC3791969,dp0303a08g003.jpg,666,500
PMC3791969,dp0303a08g004.jpg,666,500
PMC3791969,dp0303a08g005.jpg,666,500
