pmid,pmcid,title,journal,insert_time
10063320,PMC4531912,A case of primary leiomyosarcoma of the lesser omentum.,Korean J Intern Med,2023-12-17-22-15-55
10408415,PMC2363096,Prognostic significance of bcl-2 expression in leiomyosarcoma of the uterus.,Br J Cancer,2023-12-17-22-16-00
10468118,PMC2423977,Liver resections for metastases from intraabdominal leiomyosarcoma.,HPB Surg,2023-12-17-22-15-55
10866273,PMC4618570,Hydrolysis profiles of formalin fixed paraffin-embedded tumors based on IOD (integrated optical density) and nuclear texture feature measurements.,Anal Cell Pathol,2023-12-17-22-15-55
12441005,PMC138801,Leiomyosarcoma presenting as a spontaneously ruptured renal tumor-case report.,BMC Urol,2023-12-17-22-16-00
12514345,PMC2713850,"Retroperitoneal malignant mesenchymoma: a case of mesenchymal mixed tumor with osteosarcoma, leiomyosarcoma, liposarcoma and fibrosarcoma.",Korean J Radiol,2023-12-17-22-15-55
12647647,PMC4531685,A case of primary myxoid leiomyosarcoma of the liver.,Korean J Intern Med,2023-12-17-22-15-55
12716472,PMC5927104,Calponin h1 suppresses tumor growth of Src-induced transformed 3Y1 cells in association with a decrease in angiogenesis.,Jpn J Cancer Res,2023-12-17-22-16-00
12808321,PMC3055040,Pararenal leiomyosarcoma of the inferior vena cava.,J Korean Med Sci,2023-12-17-22-15-55
12808340,PMC3055059,Bizarre leiomyoma of the scrotum.,J Korean Med Sci,2023-12-17-22-16-00
12856853,PMC3015475,Retroperitoneal leiomyosarcoma mimicking acute appendicitis: laparoscopic management.,JSLS,2023-12-17-22-16-00
13021563,PMC5979701,Leiomyosarcoma of the stomach; brief review including report of a case with multiple metastases.,Glasgow Med J,2023-12-17-22-15-55
13277862,PMC5977898,Cutaneous leiomyosarcoma with lymphatic spread: a report of two cases.,Glasgow Med J,2023-12-17-22-15-55
14042721,PMC2070995,DIFFERENCES IN BIOLOGICAL CHARACTERISTICS OF VARIOUS HISTOLOGICAL TYPES OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-15-55
1419607,PMC1977430,Sarcomas in north west England: III. Survival.,Br J Cancer,2023-12-17-22-16-00
14823410,PMC5973126,Leiomyosarcoma of the stomach: report of a case.,Glasgow Med J,2023-12-17-22-15-55
14937824,PMC5189777,Epidermoid carcinoma and leiomyosarcoma in the same kidney.,Ind Med Gaz,2023-12-17-22-15-55
15187996,PMC2409972,Primary breast sarcoma: clinicopathologic series from the Mayo Clinic and review of the literature.,Br J Cancer,2023-12-17-22-16-00
15638946,PMC546237,An unusual presentation of a malignant jejunal tumor and a different management strategy.,World J Surg Oncol,2023-12-17-22-15-55
15730563,PMC552326,A giant subcutaneous leiomyosarcoma arising in the inguinal region.,World J Surg Oncol,2023-12-17-22-15-55
16075155,PMC5936496,Subcutaneous leiomyosarcoma of the frenulum.,ScientificWorldJournal,2023-12-17-22-15-55
16393338,PMC1343561,Leiomyosarcoma of the inferior vena cava: clinical experience with four cases.,World J Surg Oncol,2023-12-17-22-15-55
16549959,PMC2667582,Hyaline vascular-type Castleman disease presenting as an esophageal submucosal tumor: case report.,Korean J Radiol,2023-12-17-22-16-00
1657118,PMC2423635,Selective regional chemotherapy of unresectable hepatic tumours using lipiodol.,HPB Surg,2023-12-17-22-16-00
16859566,PMC1557590,Breast spindle cell tumours: about eight cases.,Diagn Pathol,2023-12-17-22-16-00
16925805,PMC1570367,Radiation-induced leiomyosarcoma of the oropharynx.,Diagn Pathol,2023-12-17-22-15-55
16981999,PMC1584249,Uncommon sarcomas of the uterine cervix: a review of selected entities.,Diagn Pathol,2023-12-17-22-16-00
17359542,PMC1839099,Diagnostic and prognostic gene expression signatures in 177 soft tissue sarcomas: hypoxia-induced transcription profile signifies metastatic potential.,BMC Genomics,2023-12-17-22-16-00
17496995,PMC1779506,Primary intracranial leiomyosarcoma: report of a case and review of the literature.,Sarcoma,2023-12-17-22-15-55
17565683,PMC1924523,Primary omental gastrointestinal stromal tumor (GIST).,World J Surg Oncol,2023-12-17-22-16-00
17594170,PMC2628099,Leiomyosarcoma arising from the blind end of a bifid renal pelvis.,Yonsei Med J,2023-12-17-22-15-55
17910774,PMC2117013,Leiomyosarcoma of the adrenal vein: a novel approach to surgical resection.,World J Surg Oncol,2023-12-17-22-16-00
18045454,PMC2221972,Locally advanced leiomyosarcoma of the spleen. A case report and review of the literature.,World J Surg Oncol,2023-12-17-22-15-55
18053181,PMC2213634,Malignant perivascular epithelioid cell tumor (PEComa) of the uterus with late renal and pulmonary metastases: a case report with review of the literature.,Diagn Pathol,2023-12-17-22-16-00
18081931,PMC2245960,Leiomyosarcoma of the skin with osteoclast-like giant cells: a case report.,J Med Case Rep,2023-12-17-22-15-55
18182067,PMC2730932,Differential expression of microRNAs in myometrium and leiomyomas and regulation by ovarian steroids.,J Cell Mol Med,2023-12-17-22-16-00
18299934,PMC2277445,Metinel node--the first lymph node draining a metastasis--contains tumor-reactive lymphocytes.,Ann Surg Oncol,2023-12-17-22-16-00
18339203,PMC2292680,Pseudosarcomatous myofibroblastic lesion of the urinary bladder: a rare entity posing a diagnostic challenge and therapeutic dilemma.,Diagn Pathol,2023-12-17-22-15-55
18382610,PMC2276596,Coexistence of two rare sarcomas: primary leiomyosarcoma of bone and epithelioid hemangioendothelioma of the liver.,Sarcoma,2023-12-17-22-15-55
1844647,PMC3049718,Leiomyosarcoma arising in the great saphenous vein--a case report.,J Korean Med Sci,2023-12-17-22-15-55
18460215,PMC2412854,Identification of heterogeneity among soft tissue sarcomas by gene expression profiles from different tumors.,J Transl Med,2023-12-17-22-16-00
18464918,PMC2366071,Radiation-Induced Leiomyosarcoma after Breast Cancer Treatment and TRAM Flap Reconstruction.,Sarcoma,2023-12-17-22-15-55
18493430,PMC2362566,Endoscopy in the diagnosis of small intestinal tumors.,Diagn Ther Endosc,2023-12-17-22-16-00
18493479,PMC2362608,"Endoscopic diagnosis of leiomyosarcoma of the esophagus, a rare neoplasm.",Diagn Ther Endosc,2023-12-17-22-15-55
18493530,PMC2362761,Gastric cancer profile in kashmiri population with special dietary habits.,Diagn Ther Endosc,2023-12-17-22-16-00
18495007,PMC2409359,Exophytic growth of a neglected giant subcutaneous Leiomyosarcoma of the lower extremity. A case report.,Int Semin Surg Oncol,2023-12-17-22-15-55
18521202,PMC2373583,Prostatic leiomyosarcoma: the case for combined modality therapy.,Sarcoma,2023-12-17-22-15-55
18521207,PMC2395350,The location and appearance of second malignancies in patients with bilateral retinoblastoma.,Sarcoma,2023-12-17-22-16-00
18521209,PMC2395351,EORTC Group Phase II Study of Oral Etoposide for Pretreated Soft Tissue Sarcoma.,Sarcoma,2023-12-17-22-16-00
18521255,PMC2395391,Pulmonary tumour embolism complicating a case of leiomyosarcoma.,Sarcoma,2023-12-17-22-15-55
18521275,PMC2395418,Reliable establishment of human sarcoma xenografts in the nude rat.,Sarcoma,2023-12-17-22-15-55
18521299,PMC2395440,Retroperitoneal Leiomyosarcoma Associated with an Elevated beta-HCG Serum Level Mimicking Extragonadal Germ Cell Tumor.,Sarcoma,2023-12-17-22-15-55
18521305,PMC2395453,Leiomyosarcoma of the cephalic vein.,Sarcoma,2023-12-17-22-15-55
18521306,PMC2395449,Leiomyosarcoma as a second metachronous malignant neoplasm following colon adenocarcinoma. A case report and review of the literature.,Sarcoma,2023-12-17-22-15-55
18521310,PMC2395456,Primary leiomyosarcoma of the adrenal gland.,Sarcoma,2023-12-17-22-15-55
18521318,PMC2395464,"Response to article published in vol. 5, no. 1. Leiomyosarcoma of the cephalic vein.",Sarcoma,2023-12-17-22-15-55
18521332,PMC2395479,Leiomyosarcoma of the penis.,Sarcoma,2023-12-17-22-15-55
18521338,PMC2395487,Differential Expression of IRS-1 and IRS-2 in Uterine Leiomyosarcomas with Distinct Oncogenic Phenotypes: Lack of Correlation with Downstream Signaling Events.,Sarcoma,2023-12-17-22-16-00
18521340,PMC2395483,"The relation between histological, tumor-biological and clinical parameters in deep and superficial leiomyosarcoma and leiomyoma.",Sarcoma,2023-12-17-22-16-00
18521345,PMC2395491,Leiomyosarcoma of bone arising in association with a bone infarct.,Sarcoma,2023-12-17-22-15-55
18521382,PMC2395527,Radiation-induced leiomyosarcoma: does antimetabolite chemotherapy contribute? A report of three cases.,Sarcoma,2023-12-17-22-15-55
18521389,PMC2395600,Adult pelvic sarcomas: a heterogeneous collection of sarcomas?,Sarcoma,2023-12-17-22-16-00
18521408,PMC2395615,Leiomyosarcoma of the great saphenous vein: a case report and review of the literature.,Sarcoma,2023-12-17-22-15-55
18521440,PMC2408370,AP2 protein expression as a diagnostic marker in soft tissue tumours.,Sarcoma,2023-12-17-22-16-00
18521442,PMC2408371,Leiomyosarcoma of the Oropharynx and Neurogenic Tumors in a Young Patient With Turner's Syndrome.,Sarcoma,2023-12-17-22-15-55
18607118,PMC2627197,Leiomyosarcoma of the ovarian vein: a case report with radiological findings.,Korean J Radiol,2023-12-17-22-15-55
18782437,PMC2542396,Symplastic scrotal leiomyoma: a case report.,J Med Case Rep,2023-12-17-22-16-00
1892759,PMC1977501,Sarcomas in north west England: I. Histopathological peer review.,Br J Cancer,2023-12-17-22-16-00
18954426,PMC2583979,Intravascular leiomyosarcoma of the brachiocephalic region -- report of an unusual tumour localisation: case report and review of the literature.,World J Surg Oncol,2023-12-17-22-15-55
