pmcid,label,caption,graphic,disease,modality
PMC2713850,Fig. 1,"A 47-year-old man with retroperitoneal malignant mesenchymoma.A. Plain abdominal radiograph demonstrates a large mass with multiple, dense, large, stippled calcifications in the left-side abdomen.B. Contrast-enhanced abdominal CT scan at the renal level depicts a large conglomerate mass with densely calcified nodules, shown at histopathologic correlation to be consistent with osteosarcoma, in the left-side reteroperitoneum. The mass invades the left kidney (arrows).C. Contrast-enhanced abdominal CT scan, caudal to that seen in (B), depicts lobulated non-calcified soft tissue nodules (arrows) with strong peripheral enhancement and, in some areas, central low attenuation. The nodules correspond to leiomyosarcoma, liposarcoma, and fibrosarcoma.D. Microscopically, the osteosarcomatous component consists of a central malignant osteoid within a background of malignant spindle cells (original magnification, ×100; hematoxylin-eosin staining).E. Microscopically, the leiomyosarcomatous component contains typical blunt-ended nuclei with mitotic configuration (original magnification, ×100; hematoxylin-eosin staining).F. Microscopically, the liposarcomatous component contains occasional scattered lipoblasts between fat cells (original magnification, ×100; hematoxylin-eosin staining).",kjr-3-264-g001,Match,Match
PMC2409972,Figure 1,"Overall survival following surgery, according to tumour size (⩽5 vs >5 cm). The numbers in parentheses indicate the number of patients still at risk at selected time points.",91-6601920f1,NotMatch,NotMatch
PMC5979701,Fig. 1.,,glasgowmedj76352-0032-a,Empty,Empty
PMC5979701,Fig. 2.,,glasgowmedj76352-0032-b,Empty,Empty
PMC5979701,Fig. 3.,,glasgowmedj76352-0032-c,Empty,Empty
PMC5973126,Fig. 1.,,glasgowmedj76307-0038-a,Empty,Empty
PMC5973126,Fig. 2.,,glasgowmedj76307-0038-b,Empty,Empty
PMC4531912,Fig. 1.,Abdominal CT scan showed a 12×8×8 cm-sized heterogeneous cystic mass in the left upper quadrant of the abdomen. There was marked displacement of the stomach to posterior and inferior side.,kjim-14-1-88-14f1,NotMatch,NotMatch
PMC4531912,Fig. 2.,Endoscopic ultrasonography showed a large cystic mass near the stomach and liver. The wall echo of the stomach near the mass was normal.,kjim-14-1-88-14f2,NotMatch,NotMatch
PMC4531912,Fig. 3.,"A 12×8×8 cm-sized, pale gray-colored, lobulated mass was visualized on the operation field.",kjim-14-1-88-14f3,NotMatch,NotMatch
