pmcid,figure_name,width,height
PMC5979701,glasgowmedj76352-0032-a.jpg,554,673
PMC5979701,glasgowmedj76352-0031.jpg,695,1201
PMC5979701,glasgowmedj76352-0033.jpg,695,1201
PMC5979701,glasgowmedj76352-0034.jpg,695,1201
PMC5979701,glasgowmedj76352-0029.jpg,695,1201
PMC5979701,glasgowmedj76352-0032-b.jpg,555,573
PMC5979701,glasgowmedj76352-0032.jpg,695,1201
PMC5979701,glasgowmedj76352-0032-c.jpg,553,548
PMC5979701,glasgowmedj76352-0030.jpg,695,1201
PMC2713850,kjr-3-264-g001.jpg,665,709
PMC4531685,kjim-17-4-278-14f1.jpg,625,469
PMC4531685,kjim-17-4-278-14f3.jpg,626,447
PMC4531685,kjim-17-4-278-14f6.jpg,623,527
PMC4531685,kjim-17-4-278-14f4.jpg,312,634
PMC4531685,kjim-17-4-278-14f2.jpg,664,238
PMC4531685,kjim-17-4-278-14f5.jpg,627,443
PMC138801,1471-2490-2-13-2.jpg,500,759
PMC138801,1471-2490-2-13-1.jpg,500,391
PMC5973126,glasgowmedj76307-0038.jpg,699,1161
PMC5973126,glasgowmedj76307-0038-a.jpg,652,347
PMC5973126,glasgowmedj76307-0037.jpg,699,1161
PMC5973126,glasgowmedj76307-0038-b.jpg,654,344
PMC2409972,91-6601920t1.jpg,793,367
PMC2409972,91-6601920f1.jpg,773,356
PMC2409972,91-6601920t2.jpg,793,920
PMC552326,1477-7819-3-14-1.jpg,426,640
PMC552326,1477-7819-3-14-4.jpg,576,450
PMC552326,1477-7819-3-14-2.jpg,600,400
PMC552326,1477-7819-3-14-3.jpg,502,331
PMC4531912,kjim-14-1-88-14f2.jpg,650,469
PMC4531912,kjim-14-1-88-14f3.jpg,656,471
PMC4531912,kjim-14-1-88-14f5.jpg,637,456
PMC4531912,kjim-14-1-88-14f4.jpg,639,446
PMC4531912,kjim-14-1-88-14f1.jpg,648,470
PMC546237,1477-7819-3-3-3.jpg,323,249
PMC546237,1477-7819-3-3-1.jpg,290,225
PMC546237,1477-7819-3-3-2.jpg,280,209
PMC5977898,glasgowmedj76386-0028-b.jpg,630,969
PMC5977898,glasgowmedj76386-0031.jpg,716,1198
PMC5977898,glasgowmedj76386-0027.jpg,716,1198
PMC5977898,glasgowmedj76386-0029.jpg,716,1198
PMC5977898,glasgowmedj76386-0028-a.jpg,634,945
PMC5977898,glasgowmedj76386-0029-a.jpg,609,904
PMC5977898,glasgowmedj76386-0028.jpg,716,1198
PMC5977898,glasgowmedj76386-0029-b.jpg,635,967
PMC5977898,glasgowmedj76386-0032.jpg,716,1198
PMC5977898,glasgowmedj76386-0029-d.jpg,632,975
PMC5977898,glasgowmedj76386-0029-c.jpg,631,966
PMC5977898,glasgowmedj76386-0030.jpg,716,1198
PMC1343561,1477-7819-4-1-2.jpg,600,413
PMC1343561,1477-7819-4-1-1.jpg,600,488
PMC1343561,1477-7819-4-1-3.jpg,600,337
PMC1557590,1746-1596-1-13-1.jpg,600,399
PMC1557590,1746-1596-1-13-3.jpg,600,792
PMC1557590,1746-1596-1-13-5.jpg,600,615
PMC1557590,1746-1596-1-13-4.jpg,600,812
PMC1557590,1746-1596-1-13-2.jpg,600,396
PMC2667582,kjr-7-73-g001.jpg,666,1064
PMC1584249,1746-1596-1-30-1.jpg,600,450
PMC5189777,indmedgaz73134-0079.jpg,1064,1441
PMC5189777,indmedgaz73134-0070.jpg,1064,1441
PMC5189777,indmedgaz73134-0078-g.jpg,742,1036
PMC5189777,indmedgaz73134-0079-b.jpg,648,579
PMC5189777,indmedgaz73134-0071.jpg,1064,1441
PMC5189777,indmedgaz73134-0079-a.jpg,693,614
PMC5189777,indmedgaz73134-0079-c.jpg,656,581
PMC5189777,indmedgaz73134-0078.jpg,1064,1441
PMC5189777,indmedgaz73134-0078-h.jpg,662,569
PMC5189777,indmedgaz73134-0072.jpg,1064,1441
PMC5189777,indmedgaz73134-0078-i.jpg,650,548
PMC1570367,1746-1596-1-22-4.jpg,600,905
PMC1570367,1746-1596-1-22-3.jpg,600,905
PMC1570367,1746-1596-1-22-2.jpg,600,652
PMC1570367,1746-1596-1-22-1.jpg,600,465
PMC1924523,1477-7819-5-66-2.jpg,595,437
PMC1924523,1477-7819-5-66-4.jpg,491,361
PMC1924523,1477-7819-5-66-3.jpg,600,435
PMC1924523,1477-7819-5-66-5.jpg,600,478
PMC1924523,1477-7819-5-66-1.jpg,600,458
PMC2628099,ymj-48-557-g001.jpg,564,198
PMC2628099,ymj-48-557-g002.jpg,420,512
PMC2628099,ymj-48-557-g004.jpg,583,263
PMC2628099,ymj-48-557-g003.jpg,435,650
PMC2117013,1477-7819-5-109-4.jpg,600,450
PMC2117013,1477-7819-5-109-1.jpg,600,502
PMC2117013,1477-7819-5-109-3.jpg,600,450
PMC2117013,1477-7819-5-109-5.jpg,600,450
PMC2117013,1477-7819-5-109-2.jpg,600,450
PMC2221972,1477-7819-5-135-2.jpg,600,450
PMC2221972,1477-7819-5-135-1.jpg,600,450
PMC1839099,1471-2164-8-73-1.jpg,600,217
PMC1839099,1471-2164-8-73-2.jpg,600,422
PMC1839099,1471-2164-8-73-4.jpg,600,420
PMC1839099,1471-2164-8-73-3.jpg,600,352
PMC1779506,SRCM2006-52140.002.jpg,464,715
PMC1779506,SRCM2006-52140.001.jpg,439,471
PMC2213634,1746-1596-2-45-2.jpg,600,450
PMC2213634,1746-1596-2-45-3.jpg,600,450
PMC2213634,1746-1596-2-45-1.jpg,600,450
PMC2730932,jcmm0012-0227-f4.jpg,360,647
PMC2730932,jcmm0012-0227-f1a.jpg,360,736
PMC2730932,jcmm0012-0227-f3.jpg,360,667
PMC2730932,jcmm0012-0227-f2.jpg,720,462
PMC2245960,1752-1947-1-180-2.jpg,600,323
PMC2245960,1752-1947-1-180-1.jpg,600,450
PMC2245960,1752-1947-1-180-3.jpg,600,455
PMC2277445,10434_2007_9788_Fig1_HTML.jpg,467,699
PMC2277445,10434_2007_9788_Fig3_HTML.jpg,472,622
PMC2277445,10434_2007_9788_Fig2_HTML.jpg,466,271
PMC2292680,1746-1596-3-11-1.jpg,600,480
PMC2292680,1746-1596-3-11-3.jpg,600,480
PMC2292680,1746-1596-3-11-4.jpg,600,480
PMC2292680,1746-1596-3-11-5.jpg,600,480
PMC2292680,1746-1596-3-11-2.jpg,600,480
PMC2412854,1479-5876-6-23-1.jpg,600,1200
PMC2412854,1479-5876-6-23-3.jpg,600,1110
PMC2412854,1479-5876-6-23-2.jpg,600,859
PMC2412854,1479-5876-6-23-4.jpg,600,1722
PMC2366071,SRCM2008-456950.001.jpg,532,1028
PMC2366071,SRCM2008-456950.002.jpg,420,579
PMC2276596,SRCM2008-416085.001.jpg,520,428
PMC2276596,SRCM2008-416085.002.jpg,527,779
PMC2409359,1477-7800-5-11-4.jpg,600,763
PMC2409359,1477-7800-5-11-6.jpg,600,450
PMC2409359,1477-7800-5-11-1.jpg,600,449
PMC2409359,1477-7800-5-11-5.jpg,600,978
PMC2409359,1477-7800-5-11-2.jpg,600,525
PMC2409359,1477-7800-5-11-3.jpg,600,266
PMC2542396,1752-1947-2-295-1.jpg,600,450
PMC2627197,kjr-9-S14-g001.jpg,666,897
PMC2584078,1757-1626-1-280-1.jpg,600,451
PMC2584078,1757-1626-1-280-2.jpg,600,448
PMC2583979,1477-7819-6-113-3.jpg,600,469
PMC2583979,1477-7819-6-113-1.jpg,600,430
PMC2583979,1477-7819-6-113-4.jpg,600,453
PMC2583979,1477-7819-6-113-5.jpg,600,453
PMC2583979,1477-7819-6-113-2.jpg,600,550
PMC2590612,1757-1626-1-301-2.jpg,600,450
PMC2590612,1757-1626-1-301-1.jpg,600,384
PMC2583339,SRCM2008-412503.002.jpg,444,313
PMC2583339,SRCM2008-412503.001.jpg,441,314
PMC2615012,1477-7819-6-131-2.jpg,600,450
PMC2615012,1477-7819-6-131-1.jpg,600,450
PMC2615012,1477-7819-6-131-3.jpg,600,450
PMC2630927,1477-7819-7-3-1.jpg,600,245
PMC2630927,1477-7819-7-3-2.jpg,600,450
PMC2630927,1477-7819-7-3-3.jpg,600,450
PMC2630927,1477-7819-7-3-4.jpg,600,596
PMC2628904,1477-7819-6-139-6.jpg,600,450
PMC2628904,1477-7819-6-139-2.jpg,600,524
PMC2628904,1477-7819-6-139-5.jpg,600,549
PMC2628904,1477-7819-6-139-3.jpg,600,1104
PMC2628904,1477-7819-6-139-1.jpg,600,450
PMC2628904,1477-7819-6-139-4.jpg,600,539
PMC2672058,1756-9966-28-51-3.jpg,600,626
PMC2672058,1756-9966-28-51-2.jpg,600,327
PMC2672058,1756-9966-28-51-1.jpg,600,248
PMC2683835,1477-7819-7-45-3.jpg,600,450
PMC2683835,1477-7819-7-45-1.jpg,600,450
PMC2683835,1477-7819-7-45-2.jpg,600,450
PMC2683835,1477-7819-7-45-4.jpg,600,450
PMC2586161,SRCM2008-458709.002.jpg,418,177
PMC2586161,SRCM2008-458709.003.jpg,559,336
PMC2586161,SRCM2008-458709.001.jpg,416,173
PMC2684223,IJU-24-104-g005.jpg,420,319
PMC2684223,IJU-24-104-g002.jpg,411,395
PMC2684223,IJU-24-104-g004.jpg,577,213
PMC2684223,IJU-24-104-g001.jpg,419,395
PMC2684223,IJU-24-104-g003.jpg,576,214
PMC2710329,1477-7819-7-56-1.jpg,600,450
PMC2710329,1477-7819-7-56-2.jpg,600,450
PMC2705766,SRCM2009-385164.001.jpg,453,381
PMC2705766,SRCM2009-385164.003.jpg,426,312
PMC2705766,SRCM2009-385164.002.jpg,505,667
PMC4516537,jcmm0013-3898-f2.jpg,480,222
PMC4516537,jcmm0013-3898-f4.jpg,360,655
PMC4516537,jcmm0013-3898-f1.jpg,480,393
PMC4516537,jcmm0013-3898-f3.jpg,480,367
PMC2733082,grsb-2008-297f1.jpg,574,265
PMC2733082,grsb-2008-297f2.jpg,424,432
PMC2733082,grsb-2008-297f3.jpg,530,293
PMC3015936,jsls-13-2-226-g06.jpg,515,388
PMC3015936,jsls-13-2-226-g05.jpg,515,388
PMC3015936,jsls-13-2-226-g03.jpg,515,343
PMC3015936,jsls-13-2-226-g01.jpg,515,345
PMC3015936,jsls-13-2-226-g02.jpg,515,344
PMC3015936,jsls-13-2-226-g04.jpg,515,388
PMC2816170,gap09301.jpg,482,327
PMC2816170,gap09307.jpg,448,580
PMC2816170,gap09303.jpg,480,909
PMC2816170,gap09302.jpg,482,646
PMC2816170,gap09308.jpg,450,711
PMC2816170,gap09305.jpg,560,524
PMC2816170,gap09306.jpg,464,640
PMC2816170,gap09304.jpg,481,736
PMC2783156,1757-1626-2-207-5.jpg,600,497
PMC2783156,1757-1626-2-207-2.jpg,600,425
PMC2783156,1757-1626-2-207-4.jpg,600,511
PMC2783156,1757-1626-2-207-1.jpg,600,449
PMC2783156,1757-1626-2-207-3.jpg,600,581
PMC2783111,1757-1626-2-155-1.jpg,600,867
PMC2790134,SRCM2009-764379.001.jpg,470,347
PMC2801456,SRCM2009-348910.001.jpg,464,341
PMC2801456,SRCM2009-348910.002.jpg,467,333
PMC2838855,1757-1626-3-71-2.jpg,600,174
PMC2838855,1757-1626-3-71-1.jpg,600,194
PMC2838855,1757-1626-3-71-3.jpg,600,278
PMC2850337,1471-2407-10-65-1.jpg,600,562
PMC2850337,1471-2407-10-65-2.jpg,600,605
PMC2827092,1757-1626-0002-0000009288-1.jpg,600,446
PMC2827092,1757-1626-0002-0000009288-2.jpg,600,454
PMC2827092,1757-1626-0002-0000009288-3.jpg,600,450
PMC2825506,1757-1626-3-52-1.jpg,576,767
PMC2825506,1757-1626-3-52-3.jpg,375,283
PMC2825506,1757-1626-3-52-2.jpg,584,447
PMC2685770,1476-7120-7-20-1.jpg,600,390
PMC2685770,1476-7120-7-20-3.jpg,600,427
PMC2685770,1476-7120-7-20-2.jpg,600,390
PMC2847558,1477-7819-8-16-3.jpg,600,475
PMC2847558,1477-7819-8-16-1.jpg,600,475
PMC2847558,1477-7819-8-16-2.jpg,600,475
PMC2847381,BCA2010-386860.sch.001.jpg,461,181
PMC2847381,BCA2010-386860.004.jpg,649,653
PMC2847381,BCA2010-386860.001.jpg,477,741
PMC2847381,BCA2010-386860.005.jpg,470,224
PMC2847381,BCA2010-386860.002.jpg,658,273
PMC2847381,BCA2010-386860.003.jpg,432,687
PMC2892659,CRM2010-252364.003.jpg,456,334
PMC2892659,CRM2010-252364.004.jpg,456,339
PMC2892659,CRM2010-252364.002.jpg,453,330
PMC2892659,CRM2010-252364.001.jpg,456,336
PMC2902476,1477-7819-8-56-1.jpg,512,512
PMC3003215,SJG-16-226-g002.jpg,698,532
PMC3003215,SJG-16-226-g001.jpg,605,306
PMC2917442,1752-1947-4-222-3.jpg,600,474
PMC2917442,1752-1947-4-222-1.jpg,600,522
PMC2917442,1752-1947-4-222-4.jpg,600,450
PMC2917442,1752-1947-4-222-5.jpg,600,450
PMC2917442,1752-1947-4-222-2.jpg,600,485
PMC2918843,cro0003-0049-f02.jpg,529,195
PMC2918843,cro0003-0049-f01.jpg,529,193
PMC2934590,UA-2-36-g001.jpg,720,513
PMC2842181,ci10000901.jpg,510,329
PMC2842181,ci10000902.jpg,446,357
PMC2842181,ci10000904.jpg,598,247
PMC2842181,ci10000903.jpg,598,385
PMC2955565,1477-7819-8-84-1.jpg,600,494
PMC2955565,1477-7819-8-84-2.jpg,600,304
PMC2954974,1746-1596-5-64-1.jpg,600,1141
PMC2964688,1749-8090-5-80-5.jpg,600,364
PMC2964688,1749-8090-5-80-2.jpg,600,403
PMC2964688,1749-8090-5-80-1.jpg,600,384
PMC2964688,1749-8090-5-80-3.jpg,600,439
PMC2964688,1749-8090-5-80-4.jpg,600,373
PMC3019051,JMedLife-03-178-g0013.jpg,405,246
PMC3019051,JMedLife-03-178-g006.jpg,449,422
PMC3019051,JMedLife-03-178-g0014.jpg,463,393
PMC3019051,JMedLife-03-178-g008.jpg,428,371
PMC3019051,JMedLife-03-178-g007.jpg,448,372
PMC3019051,JMedLife-03-178-g001.jpg,449,360
PMC3019051,JMedLife-03-178-g005.jpg,446,412
PMC3019051,JMedLife-03-178-g002.jpg,448,372
PMC3019051,JMedLife-03-178-g009.jpg,432,371
PMC3019051,JMedLife-03-178-g0015.jpg,489,334
PMC3019051,JMedLife-03-178-g004.jpg,444,396
PMC3019051,JMedLife-03-178-g0012.jpg,431,343
PMC3019051,JMedLife-03-178-g003.jpg,444,386
PMC3019051,JMedLife-03-178-g0010.jpg,431,381
PMC3019051,JMedLife-03-178-g0011.jpg,431,379
PMC2965433,CRM2010-534102.001.jpg,492,309
PMC2965433,CRM2010-534102.002.jpg,487,280
PMC2978451,IJU-26-438-g002.jpg,771,238
PMC2978451,IJU-26-438-g001.jpg,742,420
PMC3012034,1477-7819-8-103-3.jpg,600,484
PMC3012034,1477-7819-8-103-1.jpg,600,472
PMC3012034,1477-7819-8-103-2.jpg,600,435
PMC4012261,cjc-30-01-027-g006.jpg,778,1067
PMC4012261,cjc-30-01-027-g003.jpg,768,342
PMC4012261,cjc-30-01-027-g007.jpg,773,980
PMC4012261,cjc-30-01-027-g001.jpg,767,695
PMC4012261,cjc-30-01-027-g002.jpg,761,511
PMC4012261,cjc-30-01-027-g005.jpg,748,960
PMC4012261,cjc-30-01-027-g004.jpg,789,455
PMC3049743,1477-7819-9-20-5.jpg,600,450
PMC3049743,1477-7819-9-20-1.jpg,600,450
PMC3049743,1477-7819-9-20-2.jpg,600,450
PMC3049743,1477-7819-9-20-3.jpg,600,450
PMC3049743,1477-7819-9-20-6.jpg,600,800
PMC3049743,1477-7819-9-20-4.jpg,600,450
PMC2990217,PRI2010-652398.003.jpg,684,1500
PMC2990217,PRI2010-652398.001.jpg,432,342
PMC2990217,PRI2010-652398.002.jpg,745,1615
PMC3033174,mjhid-1-2-e2009012f3.jpg,633,184
PMC3033174,mjhid-1-2-e2009012f1.jpg,630,329
PMC3033174,mjhid-1-2-e2009012f2.jpg,603,353
PMC3062098,PRI2011-561548.001.jpg,503,820
PMC3062098,PRI2011-561548.006.jpg,438,336
PMC3062098,PRI2011-561548.004.jpg,661,882
PMC3062098,PRI2011-561548.002.jpg,411,444
PMC3062098,PRI2011-561548.003.jpg,431,431
PMC3062098,PRI2011-561548.007.jpg,432,336
PMC3062098,PRI2011-561548.008.jpg,429,330
PMC3062098,PRI2011-561548.005.jpg,438,339
PMC3055234,1471-2407-11-76-2.jpg,600,646
PMC3055234,1471-2407-11-76-3.jpg,600,453
PMC3055234,1471-2407-11-76-6.jpg,600,458
PMC3055234,1471-2407-11-76-1.jpg,600,223
